"Kd (nM)"	"Relative e.s.s."
1000000.000000	1.21855983772819
10000.000000	1.21805273833671
1000.000000	1.21653144016227
500.000000	1.21501014198783
200.000000	1.20943204868154
100.000000	1.20131845841785
10.000000	1.11054766734280
1.000000	1.00557809330629
0.100000	1.00202839756592
0.010000	1.00557809330629
0.001000	1.00202839756592
0.000100	1.00050709939148
0.000010	1.00000000000000
0.000001	1.00000000000000
1.000000e-009	1.00000000000000
