"Time (h)"	"Time (h)"	"ThT intensity"	"ThT intensity"	"ThT intensity"	"ThT intensity"	"ThT intensity"	"Oligomer Fit"	"Oligomer Fit"	"Oligomer Fit"	"Oligomer Fit"	"Oligomer Fit"	"MDS (normalized)"	"MDS (normalized)"	"MDS (normalized)"	"MDS (normalized)"	"MDS (normalized)"
0.36000000	0.12767145	0.00000000000000														
1.43750000	0.51538820	0.00672182006205	0.08060438929105		0.17068965517241	0.15391084945332										
3.68750000	0.47324236	0.33402275077560	0.37257267608871	0.16062047569804	0.35693860386880											
6.16666667	1.04083300		0.29886246122027	0.25828335056877	0.58389402859546											
24.50000000		0.61231759163507	0.98858324715615													
49.75000000		0.79581753418362	0.92468114443295													
120.33333300	0.57735027	1.00000000000000	0.99487073422958	0.86892346509672												
216.33333300	63.88531390	0.68505113179363	1.00000000000000	1.00000000000000												
																
0.25000000												0.00878234				
0.33300000												0.09874199				
0.50000000												0.17327320				
0.75000000												0.58390695				
1.50000000												0.87847140				
1.50000000												0.81865654				
2.00000000												0.71303109				
3.00000000												0.65471952				
3.75000000												0.79143919				
4.00000000												0.67861381				
4.00000000												1.00000000				
5.00000000												0.55217976				
6.50000000												0.90220745				
7.00000000												0.83361025				
24.00000000												0.57963446				
25.00000000												0.17351056				
48.00000000												0.06028958				
51.50000000												0.18537859				
120.00000000												0.12319013				
120.00000000												0.29575125				
121.00000000												0.22193211				
169.00000000												0.14740090				
191.00000000												0.00000000				
289.00000000												0.04652267				
																
																
																
0.25000000							0.00000000000000									
0.35000000							0.14547595952404									
0.45000000							0.26748063404192									
0.55000000							0.36925757198453									
0.65000000							0.45369473762075									
0.75000000							0.52334859938254									
0.85000000							0.58046882630031									
0.95000000							0.62702319917120									
1.05000000							0.66472237506305									
1.15000000							0.69504418079121									
1.25000000							0.71925715181560									
1.35000000							0.73844307627264									
1.45000000							0.75351834827199									
1.55000000							0.76525397889177									
1.65000000							0.77429415633634									
1.75000000							0.78117328744517									
1.85000000							0.78633149028528									
1.95000000							0.79012854123090									
2.05000000							0.79285630922769									
2.15000000							0.79474973454820									
2.25000000							0.79599642914716									
2.35000000							0.79674499077500									
2.45000000							0.79711213351198									
2.55000000							0.79718874368137									
2.65000000							0.79704497262627									
2.75000000							0.79673447709882									
2.85000000							0.79629791456457									
2.95000000							0.79576579513017									
3.05000000							0.79516078461096									
3.15000000							0.79449954498463									
3.25000000							0.79379418959408									
3.35000000							0.79305342137403									
3.45000000							0.79228341341776									
3.55000000							0.79148848263996									
3.65000000							0.79067159932385									
3.75000000							0.78983476809946									
3.85000000							0.78897930945807									
3.95000000							0.78810606529206									
4.05000000							0.78721554714622									
4.15000000							0.78630804183248									
4.25000000							0.78538368573196									
4.35000000							0.78444251640960									
4.45000000							0.78348450801489									
4.55000000							0.78250959525640									
4.65000000							0.78151768943765									
4.75000000							0.78050868905679									
4.85000000							0.77948248673809									
4.95000000							0.77843897372492									
5.05000000							0.77737804277597									
5.15000000							0.77629959003165									
5.25000000							0.77520351622605									
5.35000000							0.77408972748917									
5.45000000							0.77295813589572									
5.55000000							0.77180865985888									
5.65000000							0.77064122442975									
5.75000000							0.76945576153884									
5.85000000							0.76825221020159									
5.95000000							0.76703051670004									
6.05000000							0.76579063474789									
6.15000000							0.76453252564241									
6.25000000							0.76325615840518									
6.35000000							0.76196150991253									
6.45000000							0.76064856501563									
6.55000000							0.75931731665052									
6.65000000							0.75796776593756									
6.75000000							0.75659992227023									
6.85000000							0.75521380339287									
6.95000000							0.75380943546713									
7.05000000							0.75238685312678									
7.15000000							0.75094609952078									
7.25000000							0.74948722634421									
7.35000000							0.74801029385708									
7.45000000							0.74651537089071									
7.55000000							0.74500253484160									
7.65000000							0.74347187165287									
7.75000000							0.74192347578296									
7.85000000							0.74035745016189									
7.95000000							0.73877390613484									
8.05000000							0.73717296339339									
8.15000000							0.73555474989431									
8.25000000							0.73391940176618									
8.35000000							0.73226706320405									
8.45000000							0.73059788635225									
8.55000000							0.72891203117571									
8.65000000							0.72720966532005									
8.75000000							0.72549096396082									
8.85000000							0.72375610964213									
8.95000000							0.72200529210517									
9.05000000							0.72023870810707									
9.15000000							0.71845656123035									
9.25000000							0.71665906168368									
9.35000000							0.71484642609428									
9.45000000							0.71301887729249									
9.55000000							0.71117664408910									
9.65000000							0.70931996104593									
9.75000000							0.70744906824027									
9.85000000							0.70556421102364									
9.95000000							0.70366563977564									
10.05000000							0.70175360965327									
10.15000000							0.69982838033640									
10.25000000							0.69789021577004									
10.35000000							0.69593938390387									
10.45000000							0.69397615642973									
10.55000000							0.69200080851751									
10.65000000							0.69001361855021									
10.75000000							0.68801486785855									
10.85000000							0.68600484045577									
10.95000000							0.68398382277311									
11.05000000							0.68195210339660									
11.15000000							0.67990997280551									
