pH	RALS
8.54	3240.1
8.54	3613.555
8.33	3146.038
8.12	3944.843
7.94	4266.226
7.79	3981.982
7.65	3306.774
7.54	3765.143
7.45	3488.711
7.37	4078.42
7.3	4441.129
7.23	3909.848
7.17	5614.122
7.12	4653.728
7.07	4862.875
7.02	7167.622
6.98	6392.48
6.94	7000.051
6.9	7844.729
6.87	8833.172
6.84	10482.8
6.81	11225.24
6.79	13024.43
6.75	12766.68
6.72	15122.3
6.69	15534.87
6.68	16244.22
6.69	18144.42
6.68	17682.27
6.65	18596.57
6.62	20561.52
6.59	20332.74
6.57	24156.29
6.54	24585.15
6.52	26195.19
6.49	28118.08
6.47	28450.74
6.45	29928.71
6.43	31159.6
6.41	31731.42
6.38	33760.68
6.36	32021.08
6.34	33555.76
6.32	34325.75
6.29	31780.75
6.27	30446.62
6.26	32373.43
6.23	29111.36
6.21	27046.6
6.19	25782.61
6.17	25345.25
6.15	25023.72
6.13	23954.22
6.11	20817.33
6.09	20363.61
6.07	18757.49
6.05	17181.97
6.03	17417.47
6.01	16297.36
5.99	16115.42
5.97	12539.34
5.95	12390.76
5.93	11047.3
5.91	10566.06
5.9	9951.748
5.88	9530.817
5.86	8161.328
5.83	7699.591
5.8	7617.289
5.79	7525.894
5.78	6443.765
5.8	6473.249
5.78	6080.803
5.75	5242.192
5.74	4847.6
5.72	4921.322
5.7	4399.34
5.68	4559.512
5.66	3907.409
5.64	4586.182
5.63	4306.814
5.61	3887.105
5.6	3474.306
5.59	3811.871
5.57	3358.528
5.55	3560.635
5.53	3747.112
5.51	3041.08
5.5	3479.118
5.49	3100.412
5.48	2897.512
5.47	3216.082
5.45	2662.458
5.44	2514.398
5.43	2840.988
5.42	2715.502
5.41	2613.503
5.4	3301.145
5.38	2935.948
5.38	2657.345
5.37	3438.542
5.36	2458.529
5.35	2386.891
5.33	2488.646
5.32	2370.671
5.31	3039.112
5.3	2595.023
5.29	1955.094
5.29	2554.828
5.28	2389.042
5.28	2506.398
5.26	2640.957
5.25	2194.886
5.25	2381.169
5.24	2378.368
5.23	2735.689
5.22	2491.692
5.22	3114.822
5.21	2414.737
5.2	3062.248
5.19	3944.362
5.18	2653.182
5.17	2322.225
5.17	2669.565
5.16	3124.498
5.15	2366.4
5.15	2071.592
5.14	2457.368
5.14	2198.983
5.13	2003.742
5.12	2329.898
5.12	2150.366
5.11	2846.44
5.11	1954.286
5.1	2243.275
5.1	2796.948
5.08	2940.698
5.07	2442.834
5.07	2718.511
5.06	2506.049
5.05	2613.277
5.05	2804.948
5.04	1871.268
5.03	2623.12
5.02	2856.538
5.02	2229.72
5.02	3001.912
5.01	3184.498
5.01	2518.7
5	2904.677
5	2092.905
4.99	2796.878
4.98	2561.332
4.98	2403.148
4.97	3695.774
4.97	1921.072
4.96	2223.732
4.96	2748.058
4.95	2701.997
4.95	2444.135
4.94	3322.391
4.94	2726.495
4.93	3304.286
4.93	2398.908
4.92	2891.562
4.91	2416.3
4.91	2230.222
4.9	2628.528
4.9	2379.458
4.89	2044.017
4.89	2461.062
4.88	2635.975
4.88	2901.838
4.87	2711.374
4.87	2142.346
4.87	2841.423
4.86	2232.614
4.86	2946.085
4.85	4768.714
4.85	1998.858
4.84	2177.077
4.84	2400.605
4.83	2199.637
4.83	3726.882
4.83	3484.371
4.83	3287.269
4.82	3312.645
4.82	2626.163
4.82	2699.643
4.81	2355.488
4.81	2976.286
4.8	2295.925
4.8	2424.22
4.8	2440.709
4.79	3882.812
4.78	2533.385
	
	
	
	
	
	
	
	
	
