"Wavelength (nm)"	"Absorbance (AU)"
312.5674	0.0243
312.8664	0.0244
313.1653	0.0252
313.4642	0.0249
313.7631	0.0254
314.0620	0.0249
314.3608	0.0244
314.6597	0.0247
314.9586	0.0242
315.2574	0.0229
315.5562	0.0234
315.8550	0.0240
316.1538	0.0241
316.4525	0.0243
316.7513	0.0242
317.0500	0.0242
317.3488	0.0239
317.6475	0.0235
317.9462	0.0237
318.2448	0.0236
318.5435	0.0235
318.8422	0.0237
319.1408	0.0236
319.4394	0.0235
319.7380	0.0228
320.0366	0.0227
320.3352	0.0229
320.6338	0.0231
320.9323	0.0235
321.2309	0.0233
321.5294	0.0235
321.8279	0.0233
322.1263	0.0231
322.4248	0.0229
322.7233	0.0227
323.0217	0.0227
323.3201	0.0224
323.6186	0.0226
323.9170	0.0220
324.2153	0.0218
324.5137	0.0210
324.8120	0.0212
325.1104	0.0216
325.4087	0.0217
325.7070	0.0218
326.0053	0.0221
326.3036	0.0220
326.6018	0.0216
326.9001	0.0205
327.1983	0.0205
327.4965	0.0212
327.7947	0.0216
328.0929	0.0217
328.3911	0.0218
328.6892	0.0215
328.9874	0.0217
329.2855	0.0214
329.5836	0.0211
329.8817	0.0213
330.1798	0.0209
330.4778	0.0213
330.7759	0.0212
331.0739	0.0216
331.3719	0.0210
331.6699	0.0213
331.9679	0.0212
332.2659	0.0215
332.5639	0.0209
332.8618	0.0208
333.1597	0.0205
333.4576	0.0207
333.7555	0.0205
334.0534	0.0205
334.3513	0.0203
334.6491	0.0207
334.9470	0.0204
335.2448	0.0209
335.5426	0.0204
335.8404	0.0202
336.1382	0.0201
336.4359	0.0204
336.7336	0.0201
337.0313	0.0201
337.3291	0.0200
337.6268	0.0199
337.9244	0.0201
338.2221	0.0201
338.5198	0.0199
338.8174	0.0196
339.1150	0.0201
339.4126	0.0201
339.7102	0.0198
340.0078	0.0193
340.3053	0.0201
340.6029	0.0201
340.9004	0.0195
341.1979	0.0193
341.4954	0.0199
341.7929	0.0193
342.0903	0.0186
342.3878	0.0189
342.6852	0.0190
342.9826	0.0193
343.2800	0.0193
343.5774	0.0186
343.8748	0.0192
344.1721	0.0187
344.4695	0.0181
344.7668	0.0181
345.0641	0.0183
345.3614	0.0179
345.6587	0.0177
345.9559	0.0178
346.2532	0.0178
346.5504	0.0181
346.8476	0.0178
347.1448	0.0173
347.4420	0.0180
347.7392	0.0181
348.0363	0.0182
348.3335	0.0180
348.6306	0.0183
348.9277	0.0182
349.2248	0.0180
349.5219	0.0183
349.8189	0.0174
350.1160	0.0174
