time/h	150 nM B6	150 nM B6	150 nM B6	150 nM B6	75 nM B6	75 nM B6	75 nM B6	75 nM B6	38 nM B6	38 nM B6	38 nM B6	38 nM B6	19 nM B6	19 nM B6	19 nM B6	19 nM B6	9.4 nM B6	9.4 nM B6	9.4 nM B6	9.4 nM B6	4.7 nM B6	4.7 nM B6	4.7 nM B6	4.7 nM B6	2.3 nM B6	2.3 nM B6	2.3 nM B6	2.3 nM B6	Ab42 alone	Ab42 alone	Ab42 alone	Ab42 alone
0.0000	12813	10568	11845	10934	9978.0	10178	10243	10245	9695.0	9788.0	10167	10179	9528.0	9617.0	9957.0	10474	9338.0	9429.0	9156.0	9529.0	9579.0	9160.0	9190.0	9590.0	8995.0	8912.0	9255.0	9138.0	9295.0	9606.0	9311.0	9161.0
0.020834	11582	10456	11891	10558	10153	9981.0	10248	10394	9551.0	9510.0	9946.0	10276	9792.0	9858.0	10065	10375	9259.0	9249.0	9099.0	9517.0	9576.0	8851.0	9482.0	9892.0	9072.0	9323.0	9165.0	9644.0	8816.0	8958.0	8853.0	8767.0
0.041666	11812	10506	11666	10342	9512.0	10275	10360	10916	9535.0	9594.0	9693.0	9830.0	9078.0	9422.0	10059	9772.0	9269.0	9156.0	9134.0	9433.0	9065.0	9003.0	9571.0	9414.0	9317.0	8939.0	8858.0	9276.0	9013.0	8770.0	9223.0	8911.0
0.062500	11557	10289	11551	10437	9444.0	9803.0	10176	10379	9215.0	9500.0	9715.0	9967.0	9545.0	9456.0	9765.0	9569.0	9514.0	9537.0	8995.0	9407.0	9243.0	8856.0	9152.0	9467.0	8952.0	8843.0	8959.0	9159.0	8963.0	8956.0	8755.0	8951.0
0.083334	11816	10134	11492	10633	9725.0	9871.0	10007	10310	9642.0	9317.0	9654.0	9769.0	9176.0	9332.0	9849.0	9961.0	9105.0	9148.0	9224.0	9547.0	9086.0	8952.0	8814.0	9458.0	9060.0	8937.0	8914.0	9173.0	9020.0	8890.0	9204.0	9107.0
0.10417	11391	10352	11687	10218	9213.0	9710.0	10130	9999.0	9449.0	9621.0	9364.0	9944.0	9615.0	9245.0	9791.0	9804.0	9292.0	9082.0	9253.0	9357.0	9220.0	8697.0	9239.0	9611.0	8906.0	9137.0	9082.0	9768.0	9236.0	8991.0	8870.0	9092.0
0.12500	10888	9889.0	11273	10460	9387.0	9873.0	9940.0	10243	9512.0	9174.0	9642.0	9967.0	8948.0	9340.0	9678.0	10011	9374.0	9435.0	9105.0	9315.0	8986.0	9028.0	9123.0	9607.0	8953.0	9090.0	9234.0	9555.0	9148.0	8839.0	8950.0	8605.0
0.14584	10818	9859.0	11551	10471	9479.0	9513.0	9910.0	10037	9207.0	9469.0	9454.0	10002	9186.0	9411.0	9818.0	10121	9420.0	9294.0	9429.0	9282.0	8400.0	8874.0	9301.0	9170.0	9017.0	8997.0	9156.0	9482.0	9273.0	8948.0	9201.0	9085.0
0.16666	11049	9653.0	11194	10001	9649.0	9954.0	9630.0	10195	9454.0	9148.0	9483.0	9994.0	8980.0	9756.0	9776.0	10282	9237.0	8944.0	9229.0	9532.0	8788.0	8677.0	9315.0	9232.0	8874.0	8746.0	9088.0	9602.0	9052.0	9111.0	8786.0	9119.0
0.18750	10864	9928.0	11139	10514	9752.0	9505.0	9773.0	10210	9316.0	9428.0	9663.0	9860.0	9261.0	9334.0	9300.0	9816.0	9058.0	8989.0	9071.0	9356.0	9232.0	8941.0	9280.0	9184.0	8885.0	8697.0	9095.0	9623.0	9155.0	9105.0	8978.0	9158.0
0.20834	10912	9798.0	11297	10349	9413.0	9631.0	9716.0	9878.0	9624.0	9601.0	9767.0	9823.0	9300.0	9836.0	9840.0	9742.0	9266.0	8995.0	8988.0	9267.0	8918.0	8895.0	9328.0	9633.0	9043.0	8879.0	9070.0	10062	8893.0	9082.0	9031.0	9037.0
0.22916	10654	9983.0	11038	10366	9358.0	9934.0	9923.0	9963.0	9478.0	9191.0	9591.0	9741.0	9129.0	9374.0	9669.0	9618.0	9018.0	9394.0	8984.0	9170.0	8967.0	8705.0	9148.0	9243.0	8430.0	9019.0	8887.0	9450.0	9437.0	8846.0	9083.0	8948.0
0.25000	10455	9710.0	11246	10409	9530.0	9754.0	10039	9889.0	9379.0	9235.0	9704.0	9905.0	9117.0	9452.0	9633.0	10202	9405.0	9125.0	9357.0	9482.0	9016.0	8930.0	9223.0	9544.0	8608.0	9449.0	9117.0	9931.0	9345.0	9272.0	8857.0	8819.0
0.27084	10715	10029	11534	10407	9460.0	9736.0	10098	10006	9527.0	9500.0	9668.0	9954.0	9072.0	9503.0	9462.0	10009	9305.0	9026.0	9069.0	9333.0	9430.0	8919.0	8724.0	9326.0	9168.0	9075.0	9428.0	9864.0	9252.0	9124.0	8926.0	8908.0
0.29166	10718	9787.0	11011	10201	9249.0	9502.0	9841.0	10204	9026.0	9437.0	9446.0	9842.0	9300.0	9446.0	9532.0	10240	9198.0	9242.0	9343.0	9436.0	9084.0	8962.0	9266.0	9432.0	9001.0	9207.0	9266.0	9782.0	9495.0	9340.0	9125.0	8752.0
0.31250	10489	9690.0	11250	10164	9461.0	9598.0	9906.0	10056	9619.0	9170.0	9426.0	9759.0	9226.0	8879.0	9608.0	9900.0	8945.0	9346.0	9254.0	9188.0	9207.0	8764.0	9197.0	9300.0	8872.0	8830.0	9136.0	9681.0	9638.0	9146.0	8901.0	9196.0
0.33334	10044	9875.0	11264	9739.0	9243.0	9574.0	9774.0	9688.0	9483.0	9173.0	9628.0	9756.0	9308.0	9524.0	9511.0	10060	9125.0	9226.0	8984.0	9329.0	9173.0	8937.0	9046.0	9172.0	9267.0	9486.0	9067.0	9832.0	9469.0	9506.0	9030.0	9018.0
0.35416	10330	9916.0	11359	10083	9394.0	9683.0	10238	10253	9449.0	9585.0	9406.0	9877.0	9423.0	9580.0	9590.0	10132	9269.0	9291.0	9185.0	9456.0	9063.0	8903.0	9020.0	9652.0	9027.0	8941.0	9018.0	9924.0	9420.0	9193.0	8878.0	8692.0
0.37500	10066	10155	11040	10132	9335.0	9496.0	9715.0	9975.0	9094.0	9181.0	9674.0	9926.0	8915.0	9194.0	9910.0	9868.0	9060.0	9403.0	9232.0	9181.0	8858.0	9566.0	9087.0	9561.0	9049.0	8976.0	9395.0	10050	9339.0	9338.0	9313.0	8979.0
0.39584	10508	9985.0	11457	10420	9461.0	9654.0	9911.0	9978.0	9435.0	8874.0	9590.0	9767.0	9135.0	9312.0	9803.0	9969.0	9505.0	8947.0	9175.0	9054.0	9367.0	9329.0	9254.0	9582.0	8985.0	9219.0	9201.0	9831.0	9857.0	9478.0	9370.0	9286.0
0.41666	10140	9688.0	10902	9902.0	9604.0	9926.0	10037	10077	9473.0	9440.0	9617.0	9541.0	9548.0	9458.0	9839.0	10263	9352.0	9598.0	8937.0	9329.0	9137.0	9227.0	9408.0	9393.0	8797.0	8720.0	9489.0	9824.0	9719.0	9251.0	9242.0	8940.0
0.43750	9881.0	9641.0	11369	10267	9396.0	9778.0	9585.0	9993.0	9826.0	9229.0	9853.0	9931.0	9249.0	9545.0	9793.0	10009	9207.0	9358.0	9311.0	9544.0	9399.0	9273.0	9104.0	9322.0	9133.0	9247.0	9364.0	9651.0	9608.0	9401.0	9439.0	9142.0
0.45834	10245	10120	11129	9813.0	9267.0	10048	10014	10267	9483.0	9359.0	9484.0	9798.0	9277.0	9402.0	10010	10379	8999.0	9353.0	9048.0	9422.0	9217.0	8833.0	9244.0	9400.0	8945.0	9308.0	9308.0	9987.0	9415.0	9308.0	9516.0	9140.0
0.47916	10181	9625.0	11202	10235	9671.0	10010	10301	9997.0	9392.0	9407.0	9861.0	9674.0	9255.0	9402.0	9826.0	9996.0	9112.0	9443.0	9218.0	9312.0	9307.0	9370.0	9282.0	9591.0	8928.0	9086.0	9377.0	9667.0	9652.0	9494.0	9410.0	9213.0
0.50000	9974.0	9431.0	11196	10327	9348.0	9590.0	10105	9871.0	9644.0	9597.0	9622.0	9863.0	9259.0	9073.0	9792.0	9845.0	9023.0	9380.0	8818.0	9165.0	9436.0	9082.0	9125.0	9473.0	9004.0	9166.0	9079.0	9949.0	9826.0	9065.0	9466.0	9332.0
0.52084	10297	9794.0	11230	10147	9149.0	9732.0	9845.0	9997.0	9439.0	9658.0	9833.0	10101	9304.0	9008.0	9448.0	10233	9134.0	9033.0	9139.0	9308.0	9489.0	8849.0	9108.0	9524.0	8933.0	8856.0	9334.0	10036	9702.0	9407.0	9643.0	9177.0
0.54166	10195	9792.0	11284	10168	9388.0	9747.0	10139	9895.0	9501.0	9315.0	9324.0	9809.0	9197.0	9337.0	9253.0	9993.0	9196.0	9025.0	9167.0	9331.0	9441.0	9203.0	8823.0	9646.0	8997.0	9198.0	9096.0	9892.0	9479.0	9623.0	9941.0	9548.0
0.56250	10378	9672.0	11266	10169	9553.0	9379.0	9960.0	10145	9636.0	9478.0	9600.0	10012	8853.0	9376.0	9835.0	9963.0	9517.0	9092.0	9327.0	9299.0	9086.0	8930.0	9264.0	9453.0	8877.0	8972.0	9283.0	10296	9797.0	9819.0	9831.0	9427.0
0.58334	10267	9946.0	11076	10242	9445.0	9614.0	9928.0	9992.0	9747.0	9430.0	9790.0	9804.0	9565.0	9432.0	9495.0	10175	9418.0	9251.0	8893.0	9531.0	9060.0	9203.0	9111.0	9572.0	8837.0	9074.0	9213.0	10182	9816.0	9685.0	9808.0	9496.0
0.60416	10059	9852.0	11179	10237	9503.0	9677.0	9516.0	9882.0	9441.0	9489.0	9538.0	9685.0	9450.0	9265.0	9689.0	10157	9302.0	9159.0	9090.0	9288.0	9270.0	9135.0	9520.0	9532.0	9194.0	8965.0	9520.0	9911.0	10142	9692.0	9851.0	9612.0
0.62500	10213	9587.0	11229	9996.0	9938.0	9687.0	9590.0	10174	9068.0	9415.0	9719.0	10187	9366.0	9481.0	9313.0	9852.0	9456.0	9441.0	9058.0	9392.0	9340.0	8984.0	9261.0	9956.0	8541.0	9065.0	9388.0	9862.0	10241	9785.0	10106	9739.0
0.64584	10082	9738.0	11364	10356	9400.0	9649.0	10210	10270	9418.0	9868.0	9430.0	9938.0	9268.0	9525.0	9681.0	9907.0	9303.0	9385.0	9090.0	9125.0	9268.0	8793.0	9011.0	9395.0	8859.0	8957.0	9305.0	10095	10112	10536	10392	9575.0
0.66666	9972.0	9597.0	11245	10284	9380.0	9756.0	9832.0	9971.0	9453.0	9541.0	9558.0	9958.0	9409.0	9287.0	9597.0	9986.0	9453.0	9313.0	9315.0	9741.0	9202.0	8987.0	9291.0	9717.0	8768.0	9303.0	9448.0	10126	10193	9947.0	10603	9563.0
0.68750	9947.0	9873.0	11372	10103	9487.0	9664.0	10316	10190	9790.0	9921.0	9512.0	9930.0	9481.0	9419.0	9627.0	10180	9276.0	9257.0	8983.0	9555.0	9185.0	9203.0	9425.0	9208.0	8829.0	9173.0	9334.0	10248	10657	10166	10748	9790.0
0.70834	10047	9776.0	11416	10049	9480.0	9169.0	10471	9983.0	9416.0	9396.0	9567.0	9902.0	9454.0	9364.0	9601.0	10245	9414.0	9474.0	9015.0	9344.0	9560.0	9187.0	9100.0	9397.0	8837.0	9230.0	9361.0	10073	11074	10630	11299	9966.0
0.72916	9958.0	10004	11524	9925.0	9395.0	9692.0	9617.0	9978.0	9647.0	9176.0	9563.0	9768.0	9116.0	9493.0	9692.0	10069	9417.0	9513.0	9017.0	9063.0	9155.0	9048.0	9050.0	9321.0	8955.0	9240.0	9370.0	10064	10880	10804	11325	9901.0
0.75000	9909.0	10144	11205	10096	9378.0	9922.0	9853.0	9985.0	9567.0	9569.0	9503.0	9589.0	9104.0	9392.0	9641.0	10122	9081.0	8883.0	8691.0	9217.0	9342.0	9177.0	9283.0	9575.0	8843.0	9145.0	9224.0	10086	11061	11095	11841	9994.0
0.77084	10194	9953.0	11041	9812.0	9280.0	9627.0	9821.0	10139	9378.0	9253.0	9674.0	9959.0	9197.0	9480.0	9645.0	10434	9392.0	9076.0	9152.0	9413.0	9194.0	9006.0	9334.0	9580.0	8772.0	8783.0	9561.0	10162	11356	11503	12530	10436
0.79166	10019	9892.0	11239	10194	9551.0	9569.0	10029	10161	9285.0	9571.0	9264.0	9715.0	9751.0	9330.0	9611.0	9884.0	9351.0	9078.0	8844.0	9311.0	9201.0	9049.0	9427.0	9372.0	8606.0	9117.0	9282.0	10182	11615	11630	12384	10392
0.81250	9984.0	10074	11514	9688.0	9639.0	9633.0	10041	10058	9612.0	9110.0	9459.0	10113	9406.0	9655.0	9913.0	9981.0	9350.0	9460.0	9077.0	9365.0	9251.0	9059.0	9473.0	9653.0	8772.0	8945.0	9704.0	9877.0	11718	12128	13163	10636
0.83334	10026	9645.0	11116	10316	9359.0	9355.0	9937.0	10053	9188.0	9676.0	9524.0	9679.0	9442.0	9332.0	9655.0	9956.0	9473.0	9275.0	9196.0	9315.0	9168.0	9021.0	8947.0	9338.0	8752.0	9283.0	9245.0	10300	11946	12515	13010	10887
0.85416	10000	9727.0	11284	9894.0	9220.0	9676.0	9733.0	10080	9045.0	9253.0	9455.0	9804.0	9419.0	9306.0	9511.0	10557	9303.0	9442.0	9312.0	9322.0	9337.0	9045.0	9236.0	9514.0	8690.0	8991.0	9289.0	9816.0	12631	12810	13688	11426
0.87500	10204	9693.0	11296	9837.0	9482.0	9552.0	9625.0	10226	9638.0	9181.0	9673.0	9664.0	9345.0	9735.0	9934.0	10021	9364.0	9468.0	8987.0	9201.0	9271.0	8990.0	8948.0	9248.0	8784.0	8863.0	9595.0	9975.0	12898	13097	14097	11731
0.89584	10257	9730.0	11356	9991.0	9166.0	9396.0	9831.0	10007	9329.0	9112.0	9433.0	9849.0	9409.0	9490.0	9864.0	9819.0	9434.0	9215.0	8955.0	9341.0	9085.0	9009.0	9069.0	9516.0	8928.0	9411.0	10069	9962.0	13434	13884	14602	11220
0.91666	10086	9698.0	11360	9973.0	9340.0	9661.0	9692.0	10016	9501.0	9434.0	9528.0	10115	9505.0	9323.0	9596.0	10184	9503.0	9192.0	9127.0	9424.0	9328.0	8981.0	9337.0	9147.0	9020.0	8988.0	9797.0	10161	14014	14121	16284	12121
0.93750	9988.0	9608.0	11665	9699.0	9675.0	9682.0	9816.0	10095	9158.0	9398.0	9114.0	9403.0	9370.0	9270.0	9305.0	9941.0	9505.0	9397.0	8833.0	9330.0	9217.0	9107.0	9080.0	9463.0	8540.0	8814.0	9700.0	10417	14846	14730	16128	12571
0.95834	9984.0	9917.0	11235	9780.0	9397.0	9075.0	9700.0	9971.0	9676.0	9619.0	9628.0	9878.0	9306.0	9240.0	9712.0	10289	9500.0	8989.0	8715.0	9119.0	9303.0	9107.0	9317.0	9097.0	8943.0	9153.0	9713.0	10374	14848	15468	17547	13205
0.97916	10153	9947.0	11383	9636.0	9285.0	9837.0	10032	10343	9508.0	9538.0	9262.0	9931.0	9231.0	9472.0	9544.0	10265	9247.0	9070.0	9111.0	9251.0	9404.0	9381.0	8989.0	9547.0	8785.0	9096.0	9623.0	10161	16107	16435	17707	13471
1.0000	9915.0	9526.0	11185	9987.0	9583.0	9733.0	9810.0	9956.0	9363.0	9293.0	9872.0	9853.0	9400.0	9388.0	9891.0	10066	9405.0	9395.0	9135.0	9411.0	9022.0	9310.0	9232.0	9234.0	8687.0	9137.0	9945.0	10429	16137	16337	18822	13714
1.0208	10189	9658.0	11465	9826.0	9632.0	10065	9960.0	10182	9644.0	9629.0	9465.0	10011	9510.0	9399.0	9435.0	10256	9181.0	9544.0	8869.0	9029.0	8996.0	9178.0	9012.0	9561.0	9000.0	9026.0	10073	10364	16736	17578	19648	14298
1.0417	10054	9639.0	11266	9970.0	9372.0	9388.0	9912.0	10089	9549.0	9220.0	9703.0	9646.0	9463.0	9650.0	9433.0	10242	8862.0	9359.0	8809.0	9429.0	9135.0	9403.0	9348.0	9411.0	8688.0	9183.0	10235	10487	18040	18410	20120	15382
1.0625	9691.0	9528.0	11488	9768.0	9159.0	9672.0	9691.0	10026	9291.0	9337.0	9743.0	9784.0	9430.0	9309.0	9368.0	9840.0	9197.0	9140.0	8945.0	9066.0	9008.0	9415.0	9287.0	9345.0	8890.0	9197.0	10079	10025	18164	18910	20938	15795
1.0833	9996.0	9696.0	11141	10029	9349.0	9646.0	9780.0	10022	9196.0	9357.0	9856.0	9821.0	9462.0	9147.0	9793.0	10096	9210.0	8933.0	8947.0	8890.0	9160.0	9194.0	9121.0	9175.0	8993.0	9246.0	10250	10386	19144	19836	22445	16676
1.1042	9945.0	9905.0	10976	10079	9216.0	9819.0	9511.0	10022	9462.0	9721.0	9705.0	9670.0	8801.0	9559.0	9673.0	10059	9085.0	9067.0	8922.0	9007.0	8946.0	9232.0	8991.0	9442.0	8850.0	9091.0	10302	10696	20123	20314	23157	17618
1.1250	9886.0	9219.0	11303	10123	9517.0	9568.0	9735.0	10033	9644.0	9632.0	9544.0	9945.0	9090.0	9486.0	9277.0	9987.0	9561.0	9242.0	9178.0	9726.0	9078.0	9471.0	9191.0	9479.0	8757.0	9131.0	10183	10359	20467	21235	23527	18622
1.1458	10217	9761.0	11482	9954.0	9541.0	9893.0	9577.0	10147	9759.0	9586.0	9645.0	9488.0	9194.0	9389.0	9537.0	9985.0	8935.0	9018.0	9176.0	9308.0	9519.0	9461.0	8733.0	9138.0	9339.0	9003.0	10057	10557	21292	22297	24836	18955
1.1667	10069	9438.0	11303	9868.0	9366.0	9432.0	10094	10103	9469.0	9311.0	9607.0	9563.0	9204.0	9406.0	9816.0	9925.0	9083.0	9182.0	8940.0	9325.0	9163.0	9737.0	9037.0	9300.0	9039.0	8930.0	10642	10769	22284	22992	25348	20055
1.1875	10082	9819.0	11274	9742.0	9431.0	9849.0	9473.0	9820.0	9379.0	9362.0	9602.0	10157	9003.0	9533.0	9219.0	9853.0	9207.0	9114.0	9144.0	9152.0	9085.0	9301.0	9296.0	9386.0	8719.0	8796.0	10537	10826	22455	24015	26399	21003
1.2083	9970.0	9702.0	11041	9871.0	9084.0	9590.0	9897.0	10016	9501.0	9586.0	9596.0	10186	9119.0	9815.0	9484.0	9879.0	9311.0	9084.0	9184.0	9428.0	9201.0	9137.0	9199.0	8975.0	8972.0	8995.0	10405	10847	23063	24483	27472	21509
1.2292	9842.0	9485.0	10961	9967.0	9346.0	9578.0	9762.0	9784.0	9481.0	9431.0	9479.0	9380.0	9535.0	9325.0	9459.0	10132	9309.0	9042.0	8996.0	9348.0	9144.0	9334.0	8908.0	9359.0	9254.0	9246.0	10695	10897	23484	25196	27515	23067
1.2500	10215	9675.0	11715	10048	9651.0	9432.0	10103	10064	9895.0	9076.0	9608.0	9762.0	9215.0	9414.0	9579.0	10006	9402.0	9016.0	9174.0	9282.0	9254.0	9185.0	9268.0	9408.0	8934.0	9198.0	10500	11100	23982	26342	28706	23865
1.2709	9964.0	9656.0	11325	9817.0	9169.0	9459.0	9506.0	10364	9481.0	9520.0	9527.0	9762.0	9369.0	9260.0	9621.0	9798.0	8928.0	9334.0	9018.0	9268.0	9007.0	9266.0	9071.0	9366.0	9042.0	9072.0	10819	11206	23856	27031	28839	25114
1.2916	9896.0	9613.0	11209	9838.0	9017.0	9299.0	9947.0	9964.0	9370.0	9434.0	9718.0	9736.0	9122.0	9053.0	9656.0	10052	8918.0	8930.0	8992.0	8959.0	8906.0	9505.0	9016.0	9015.0	9168.0	8875.0	11059	10809	24683	27158	29857	26102
1.3125	9902.0	9632.0	11286	9942.0	9261.0	9227.0	9789.0	10047	9488.0	9238.0	9378.0	9777.0	9222.0	9438.0	9593.0	10277	9068.0	9332.0	8812.0	9315.0	9653.0	9017.0	8854.0	9303.0	9568.0	8964.0	10852	10922	24954	27928	30099	27380
1.3334	9970.0	9893.0	11130	10043	9030.0	9431.0	9999.0	10057	9347.0	9309.0	9348.0	9499.0	9375.0	9337.0	9524.0	10151	9089.0	9111.0	9125.0	9453.0	9221.0	9778.0	9248.0	9402.0	9301.0	9200.0	10987	11198	25519	28305	30090	28137
1.3541	9880.0	9497.0	11309	10038	9524.0	9292.0	9788.0	9756.0	9287.0	9449.0	9550.0	9699.0	9189.0	9314.0	9218.0	9998.0	9330.0	9097.0	9090.0	9183.0	9241.0	9174.0	9039.0	9179.0	9391.0	9012.0	11413	11364	25585	29074	30957	28915
1.3750	9959.0	9700.0	11238	9818.0	9580.0	9624.0	9827.0	10094	9416.0	9330.0	9261.0	9657.0	9171.0	9239.0	9672.0	10367	9412.0	9207.0	9074.0	9390.0	9296.0	9166.0	9399.0	9099.0	9376.0	9163.0	11402	11495	25784	28921	31167	29516
1.3959	9822.0	10007	11489	10037	9137.0	9552.0	9744.0	9652.0	9325.0	8840.0	9393.0	9686.0	8913.0	9165.0	9489.0	10120	9400.0	8996.0	9054.0	9043.0	9115.0	9071.0	9092.0	9385.0	9641.0	9175.0	11558	11390	26150	29294	31403	30565
1.4166	9739.0	9910.0	11013	9637.0	9305.0	9629.0	9927.0	9949.0	9210.0	9599.0	9701.0	9663.0	9169.0	9246.0	9736.0	10264	9185.0	9009.0	8837.0	9302.0	9004.0	9165.0	9306.0	9423.0	9628.0	9195.0	11286	11629	26639	30248	31474	31775
1.4375	9753.0	9830.0	11376	9857.0	9447.0	9459.0	9912.0	10193	9105.0	9278.0	9611.0	9404.0	9156.0	9331.0	9861.0	9989.0	9545.0	9195.0	9127.0	9003.0	9202.0	9361.0	9028.0	9210.0	9676.0	9636.0	11957	11825	26424	30387	31354	32910
1.4584	10133	9573.0	11335	9954.0	9621.0	9655.0	9676.0	9871.0	9264.0	9454.0	9186.0	9900.0	8989.0	9330.0	9220.0	9959.0	9026.0	9047.0	8999.0	9115.0	8780.0	9151.0	8952.0	9246.0	9594.0	9504.0	12456	12022	27268	30899	31907	32780
1.4791	9893.0	9798.0	10914	10028	9539.0	9935.0	9580.0	9972.0	9191.0	9145.0	9575.0	9944.0	9101.0	9386.0	9571.0	9756.0	8998.0	9195.0	9226.0	9128.0	9039.0	9398.0	8965.0	9322.0	10103	9592.0	12668	12243	27042	31002	31623	34210
1.5000	10162	9627.0	11227	9937.0	9614.0	9325.0	9703.0	9850.0	9533.0	9155.0	9713.0	9786.0	9135.0	8966.0	9639.0	9605.0	8975.0	9081.0	8732.0	8793.0	8830.0	9040.0	8751.0	9211.0	9975.0	9830.0	12775	12140	27514	31310	31893	34128
1.5209	9860.0	10018	11397	9970.0	9154.0	9198.0	9762.0	9720.0	9435.0	9119.0	9424.0	9681.0	9152.0	9329.0	9653.0	9707.0	9338.0	9488.0	9087.0	8774.0	8930.0	9334.0	8807.0	9142.0	10634	9827.0	12993	12673	27481	31033	32226	34953
1.5416	9831.0	9840.0	11295	9357.0	9328.0	9202.0	9928.0	10049	9384.0	9410.0	9466.0	9715.0	9082.0	9023.0	9476.0	9514.0	9316.0	8942.0	9023.0	8980.0	9025.0	9430.0	9331.0	9100.0	10720	9872.0	13934	12951	27683	31936	32644	35580
1.5625	9690.0	9495.0	11151	9862.0	9308.0	9358.0	10058	9684.0	9201.0	9375.0	9636.0	9541.0	9144.0	9533.0	9768.0	10343	9197.0	9126.0	8587.0	9027.0	9094.0	9379.0	9079.0	9577.0	11049	9622.0	13611	13351	27459	31959	32563	36136
1.5834	10136	9588.0	10864	9994.0	9562.0	9685.0	9617.0	9879.0	9399.0	8974.0	9438.0	9956.0	9109.0	9147.0	9482.0	10266	9320.0	8891.0	8822.0	9203.0	9179.0	9601.0	8940.0	9266.0	10975	10216	14589	13866	27836	32027	32991	37078
1.6041	10020	9519.0	11087	9991.0	9085.0	9205.0	9509.0	9996.0	9410.0	9004.0	9748.0	9726.0	9104.0	9227.0	9369.0	10000	9008.0	9056.0	9127.0	9255.0	9123.0	9393.0	9253.0	9365.0	11429	10342	14689	14160	28213	32288	32406	37247
1.6250	10199	9678.0	11182	9854.0	9119.0	9467.0	9757.0	9756.0	9576.0	9740.0	9628.0	9665.0	9000.0	9144.0	9548.0	9992.0	9035.0	9131.0	9253.0	9054.0	9214.0	9569.0	8983.0	9093.0	11553	10894	15691	15058	28635	31903	33344	37199
1.6459	10132	9717.0	11356	10058	9682.0	9403.0	9688.0	9749.0	8938.0	9222.0	9608.0	9517.0	9224.0	8938.0	9510.0	9855.0	9407.0	9257.0	8683.0	9159.0	8946.0	9258.0	9185.0	9478.0	12465	10953	16261	14788	28363	32162	33305	37911
1.6666	9773.0	9818.0	11241	9845.0	9079.0	9116.0	9745.0	9687.0	9344.0	9535.0	9435.0	9839.0	9263.0	9232.0	9374.0	10029	9204.0	9152.0	8970.0	9295.0	8611.0	9289.0	8958.0	9113.0	12792	11517	16146	15686	27868	32956	32874	37913
1.6875	10332	9636.0	11084	9944.0	9549.0	9288.0	9963.0	9558.0	9240.0	8959.0	9775.0	9946.0	9197.0	8973.0	9789.0	9697.0	9267.0	9173.0	8781.0	8759.0	9141.0	9283.0	9221.0	9279.0	12913	11928	16882	15822	28468	32898	33505	38608
1.7084	9733.0	9401.0	11006	9934.0	9230.0	9609.0	9951.0	10110	9193.0	9195.0	9682.0	9579.0	8995.0	9406.0	9318.0	9503.0	8913.0	9085.0	9275.0	9089.0	9150.0	9172.0	9175.0	9321.0	13411	11892	17323	16636	28181	33037	33597	38112
1.7291	9930.0	9638.0	11270	10054	9138.0	9432.0	9457.0	9841.0	9339.0	9577.0	9608.0	9734.0	9099.0	9337.0	9148.0	10256	9240.0	9484.0	8812.0	8756.0	8616.0	9136.0	8747.0	9113.0	13998	12169	17956	16095	28287	32929	33520	38987
1.7500	9885.0	9660.0	10903	9817.0	9541.0	9161.0	9919.0	9753.0	9285.0	9419.0	9598.0	9727.0	9267.0	9438.0	9425.0	9739.0	9331.0	8957.0	9057.0	9022.0	8827.0	9217.0	8876.0	9279.0	14493	12927	18305	17532	28483	33510	33227	38928
1.7709	9996.0	9596.0	10909	9968.0	9038.0	9460.0	10275	9726.0	9103.0	9324.0	9447.0	9680.0	9046.0	9233.0	9543.0	9863.0	9107.0	8799.0	9030.0	9134.0	9029.0	8982.0	8786.0	9658.0	14920	13470	18440	17588	28909	32678	33440	38838
1.7916	10129	9534.0	11382	10047	9217.0	9605.0	9820.0	9855.0	9439.0	9528.0	9284.0	9295.0	9188.0	9175.0	9533.0	9804.0	9174.0	8832.0	9327.0	9202.0	9547.0	9329.0	9065.0	9157.0	15293	13608	19177	17814	29446	33375	33022	39725
1.8125	9874.0	9855.0	11151	9695.0	9400.0	9351.0	9719.0	9852.0	9313.0	9095.0	9596.0	9623.0	9078.0	9097.0	9558.0	9800.0	9335.0	9186.0	9014.0	9243.0	8811.0	9401.0	9296.0	9448.0	16028	14562	19512	18940	28997	33807	33308	39395
1.8334	10024	9837.0	11154	9798.0	9655.0	9605.0	9478.0	9401.0	9038.0	9410.0	9787.0	9598.0	8821.0	9015.0	9422.0	9906.0	9222.0	9281.0	9096.0	9299.0	9143.0	9468.0	9155.0	9193.0	16523	15380	20256	19453	28172	33224	33564	39888
1.8541	9804.0	9898.0	11054	9845.0	9160.0	9629.0	10060	9579.0	9120.0	9185.0	9682.0	9791.0	9228.0	8907.0	9311.0	9864.0	9139.0	9095.0	8949.0	9162.0	9151.0	9381.0	8708.0	9191.0	17000	15696	20813	20014	28797	33293	33151	39636
1.8750	10046	9607.0	10868	9962.0	9425.0	9378.0	9327.0	9753.0	9034.0	9163.0	9415.0	9360.0	9236.0	9178.0	9626.0	9708.0	9038.0	8997.0	9024.0	8779.0	9228.0	9256.0	9183.0	9051.0	17770	16677	21027	19898	28552	34125	33125	40406
1.8959	9544.0	9399.0	11066	9847.0	9211.0	9471.0	9837.0	9888.0	8944.0	9291.0	9533.0	9562.0	8901.0	9317.0	9536.0	9775.0	9103.0	8933.0	9370.0	9111.0	9018.0	9114.0	9023.0	9072.0	17961	17483	20891	20266	28755	34048	34064	40821
