9.51	2789.623
9.51	925.98
9.41	1858.44
9.31	744.6569
9.2	892.4138
9.07	2868.465
8.91	1128.651
8.68	2817.566
8.43	1173.531
8.18	1447.226
7.98	1789.202
7.81	839.2
7.67	1252.371
7.56	2626.692
7.46	930.6785
7.37	881.6338
7.29	731.54
7.22	768.3554
7.15	1348.268
7.08	780.0508
7.02	1030.003
6.96	1059.038
6.91	769.2354
6.85	1790.257
6.79	2028.98
6.73	1472.597
6.68	718.3446
6.62	725.2262
6.58	785.8769
6.52	1586.377
6.47	1598.228
6.41	1359.854
6.35	1287.025
6.29	1321.56
6.24	1258.708
6.18	735.9908
6.11	876.6923
6.04	726.62
5.96	743.5
5.87	1216.889
5.77	2101.574
5.66	1193.228
5.52	1214.528
5.34	1537.557
5.13	1535.274
4.89	1446.675
4.66	1367.749
4.47	1445.675
