wavenumber (1/cm)	full-length (a.u.)	NTD (a.u.)	CTD (a.u.)
1658	5.64E-02	1.12E-02	1.70E-03
1658.48	5.63E-02	1.11E-02	1.69E-03
1658.96	5.62E-02	1.10E-02	1.67E-03
1659.45	5.60E-02	1.09E-02	1.65E-03
1659.93	5.57E-02	1.08E-02	1.63E-03
1660.41	5.52E-02	1.06E-02	1.61E-03
1660.89	5.46E-02	1.03E-02	1.56E-03
1661.37	5.38E-02	1.00E-02	1.50E-03
1661.86	5.29E-02	9.64E-03	1.40E-03
1662.34	5.18E-02	9.20E-03	1.27E-03
1662.82	5.05E-02	8.72E-03	1.13E-03
1663.3	4.93E-02	8.25E-03	1.00E-03
1663.79	4.81E-02	7.81E-03	9.02E-04
1664.27	4.70E-02	7.44E-03	8.39E-04
1664.75	4.60E-02	7.11E-03	8.06E-04
1665.23	4.51E-02	6.84E-03	7.92E-04
1665.71	4.43E-02	6.59E-03	7.86E-04
1666.2	4.36E-02	6.36E-03	7.83E-04
1666.68	4.30E-02	6.12E-03	7.80E-04
1667.16	4.23E-02	5.87E-03	7.75E-04
1667.64	4.15E-02	5.58E-03	7.64E-04
1668.12	4.06E-02	5.25E-03	7.39E-04
1668.61	3.94E-02	4.86E-03	6.85E-04
1669.09	3.81E-02	4.45E-03	5.92E-04
1669.57	3.67E-02	4.02E-03	4.63E-04
1670.05	3.53E-02	3.62E-03	3.19E-04
1670.53	3.41E-02	3.28E-03	1.89E-04
1671.02	3.31E-02	3.00E-03	9.50E-05
1671.5	3.22E-02	2.78E-03	4.22E-05
1671.98	3.15E-02	2.60E-03	2.44E-05
1672.46	3.08E-02	2.44E-03	2.74E-05
1672.95	3.01E-02	2.29E-03	4.14E-05
1673.43	2.95E-02	2.12E-03	5.55E-05
1673.91	2.88E-02	1.93E-03	6.60E-05
1674.39	2.79E-02	1.71E-03	6.61E-05
1674.87	2.70E-02	1.46E-03	5.34E-05
1675.36	2.59E-02	1.21E-03	2.98E-05
1675.84	2.49E-02	9.94E-04	8.00E-06
1676.32	2.39E-02	8.23E-04	0.00E+00
1676.8	2.31E-02	6.99E-04	1.46E-05
1677.28	2.25E-02	6.11E-04	5.11E-05
1677.77	2.20E-02	5.46E-04	1.07E-04
1678.25	2.15E-02	4.93E-04	1.79E-04
1678.73	2.10E-02	4.45E-04	2.65E-04
1679.21	2.05E-02	4.01E-04	3.62E-04
1679.7	1.99E-02	3.60E-04	4.67E-04
1680.18	1.93E-02	3.26E-04	5.72E-04
1680.66	1.86E-02	3.00E-04	6.73E-04
1681.14	1.81E-02	2.81E-04	7.64E-04
1681.62	1.77E-02	2.68E-04	8.49E-04
1682.11	1.73E-02	2.55E-04	9.31E-04
1682.59	1.69E-02	2.34E-04	1.01E-03
1683.07	1.64E-02	1.98E-04	1.08E-03
1683.55	1.57E-02	1.45E-04	1.10E-03
1684.03	1.46E-02	8.03E-05	1.06E-03
1684.52	1.35E-02	2.49E-05	9.89E-04
1685	1.25E-02	0.00E+00	9.41E-04
1685.48	1.18E-02	1.47E-05	9.63E-04
1685.96	1.14E-02	6.03E-05	1.06E-03
1686.44	1.11E-02	1.25E-04	1.21E-03
1686.93	1.09E-02	1.97E-04	1.39E-03
1687.41	1.07E-02	2.71E-04	1.56E-03
1687.89	1.03E-02	3.42E-04	1.71E-03
1688.37	9.93E-03	4.09E-04	1.82E-03
1688.86	9.45E-03	4.72E-04	1.89E-03
1689.34	8.93E-03	5.37E-04	1.92E-03
1689.82	8.41E-03	6.07E-04	1.95E-03
1690.3	7.92E-03	6.90E-04	1.96E-03
1690.78	7.46E-03	7.85E-04	1.97E-03
1691.27	7.05E-03	8.89E-04	1.98E-03
1691.75	6.66E-03	9.95E-04	1.97E-03
1692.23	6.32E-03	1.10E-03	1.94E-03
1692.71	6.01E-03	1.19E-03	1.88E-03
1693.19	5.73E-03	1.28E-03	1.79E-03
1693.68	5.47E-03	1.36E-03	1.68E-03
1694.16	5.18E-03	1.44E-03	1.55E-03
1694.64	4.85E-03	1.53E-03	1.40E-03
1695.12	4.43E-03	1.65E-03	1.24E-03
1695.6	3.94E-03	1.81E-03	1.05E-03
