Distance / mm	5 nM	13 nM	21 nM	37 nM	69 nM	131 nM	256 nM	512 nM	1 uM	2 uM	4 uM	8 uM	16 uM	32 uM
6.5521	99.775	26.575	56.062	24.300	39.875	44.713	52.737	71.275	75.700	98.275	169.40	244.13	253.80	248.29
6.6806	101.78	26.750	55.138	23.850	38.838	43.862	56.950	69.900	77.963	98.863	160.63	245.70	243.75	248.06
6.8090	101.91	26.800	53.625	23.587	40.388	40.675	58.463	70.000	78.000	97.350	155.48	246.44	233.75	247.59
6.9375	101.30	26.900	52.963	23.425	39.700	40.875	53.775	72.275	77.213	96.175	153.31	247.01	227.86	246.50
7.0660	101.34	26.987	52.912	23.312	38.975	41.850	53.237	73.100	74.887	95.400	151.80	246.43	223.02	242.49
7.1944	100.88	27.263	52.963	22.788	40.350	42.975	52.150	74.475	70.588	94.387	153.61	245.68	220.31	237.60
7.3229	99.512	27.175	51.975	22.425	40.388	45.487	49.237	75.750	66.738	92.463	155.77	244.57	218.59	234.70
7.4514	99.750	27.550	51.700	22.138	42.338	47.000	50.025	74.850	64.812	92.825	159.57	244.29	219.64	238.15
7.5798	99.113	27.850	50.150	22.038	46.375	47.875	50.237	73.825	63.575	92.975	161.16	244.46	222.25	241.99
7.7083	97.838	27.625	49.150	22.050	44.688	42.900	51.112	71.963	62.213	92.338	164.26	243.79	225.43	240.82
7.8368	96.588	27.013	48.487	22.038	41.350	35.775	46.725	70.325	61.487	92.725	171.75	241.90	227.35	240.23
7.9653	96.363	26.000	47.100	21.938	37.675	32.000	44.625	68.650	60.737	93.675	175.43	240.06	226.94	240.11
8.0937	94.912	25.200	46.562	21.737	34.963	30.425	44.100	67.912	60.275	93.900	173.84	239.46	227.96	241.32
8.2222	92.875	24.700	46.025	21.825	33.000	30.175	43.725	66.762	59.588	92.025	171.76	237.49	230.06	243.20
8.3507	92.412	23.712	45.550	22.100	31.237	29.250	43.675	65.988	59.200	90.750	169.55	238.51	231.93	246.36
8.4792	91.075	23.163	45.325	22.425	28.525	29.712	43.713	64.912	57.862	88.688	166.09	236.82	234.49	249.86
8.6077	90.450	22.275	45.112	23.175	25.700	30.913	44.162	63.888	57.100	88.262	164.51	236.39	238.46	252.01
8.7361	90.012	21.950	44.963	21.500	24.450	32.138	44.050	63.125	56.112	87.738	163.86	235.27	242.51	253.19
8.8646	89.950	21.938	44.625	21.225	24.150	33.438	43.487	63.200	55.162	86.938	162.79	233.95	247.10	253.96
8.9931	88.787	22.000	44.162	21.000	23.850	34.300	43.100	62.650	54.425	86.125	160.85	233.94	251.59	254.70
9.1215	88.762	22.038	44.250	20.750	23.837	34.975	43.188	62.162	54.138	85.463	159.71	233.63	254.31	254.99
9.2500	90.175	22.112	43.912	20.712	23.650	36.125	43.550	62.000	55.312	84.975	159.29	234.15	254.98	255.00
9.3785	89.463	22.288	43.963	20.650	23.550	37.400	43.700	61.287	54.950	84.075	157.45	234.16	254.80	255.00
9.5069	88.838	22.587	44.388	20.650	23.788	37.575	43.537	61.075	53.675	84.113	156.93	235.18	254.93	255.00
9.6354	88.912	22.538	44.400	20.562	24.013	36.713	43.463	60.562	53.562	84.588	155.71	233.79	254.76	255.00
9.7639	90.550	22.538	44.375	22.188	24.175	36.725	43.800	60.350	53.625	86.025	155.41	234.49	254.81	255.00
9.8923	91.475	22.400	44.275	24.538	24.362	37.825	43.562	60.225	53.062	85.225	155.10	235.32	254.81	255.00
10.021	91.500	22.625	44.975	22.875	24.712	39.213	43.500	60.375	53.125	83.725	155.30	235.43	254.89	255.00
10.149	91.700	22.812	45.550	21.212	25.025	40.575	43.338	60.062	53.000	82.637	154.82	235.69	254.87	255.00
10.278	92.662	22.812	45.638	21.013	25.462	42.662	42.987	60.400	53.237	82.137	154.45	235.73	254.86	255.00
10.406	92.300	22.500	44.787	21.062	25.500	43.688	42.513	61.775	53.575	82.012	154.57	235.12	254.85	255.00
10.535	92.037	21.862	42.900	21.125	25.800	43.525	42.562	61.550	55.263	81.912	153.69	234.76	254.79	255.00
10.663	93.225	21.450	42.175	21.375	25.913	43.175	42.537	62.638	55.088	82.775	153.76	234.14	254.70	255.00
10.792	92.775	21.212	41.450	21.250	26.013	43.250	42.338	65.262	54.062	82.400	154.43	233.24	254.56	255.00
10.920	91.675	21.050	40.862	21.513	26.350	43.237	42.425	66.575	54.125	82.787	155.81	232.57	254.66	255.00
11.049	89.238	20.875	40.225	21.600	26.638	41.688	42.400	62.912	54.562	83.325	155.80	231.06	254.64	255.00
11.177	83.562	21.075	39.638	21.812	26.825	41.138	42.537	60.737	55.112	84.062	156.31	231.01	254.65	255.00
11.306	76.900	21.138	39.162	22.038	27.000	41.237	43.188	59.938	55.375	84.363	156.51	230.06	254.61	255.00
11.434	73.850	21.325	38.537	22.462	27.550	40.987	44.938	59.888	55.812	85.512	158.13	229.36	254.57	255.00
11.563	71.550	21.625	37.713	23.125	28.112	40.250	42.450	59.912	56.013	86.975	158.07	229.87	254.68	255.00
11.691	69.613	22.087	37.213	23.688	28.800	40.175	41.725	60.250	56.325	88.050	158.14	230.12	254.59	255.00
11.819	67.975	22.350	37.000	24.362	29.525	40.550	41.562	60.100	56.600	88.137	158.71	230.94	254.49	255.00
11.948	67.700	22.600	36.800	25.038	30.362	40.812	41.550	60.200	57.175	88.713	158.36	232.01	254.68	255.00
12.076	68.525	22.775	36.612	25.775	31.288	40.975	41.562	61.138	58.225	89.387	159.06	233.77	254.75	255.00
12.205	69.037	23.038	36.375	26.050	31.788	41.525	41.650	61.188	59.263	90.000	159.75	234.80	254.76	255.00
12.333	67.375	23.075	36.362	26.850	32.662	41.987	41.862	61.688	61.287	91.625	160.44	236.16	254.79	255.00
12.462	65.438	23.225	36.475	28.075	33.125	41.513	42.037	61.675	65.912	91.838	160.43	237.32	254.77	255.00
12.590	65.000	23.513	36.938	31.950	34.062	41.750	42.213	62.450	69.025	92.812	161.19	239.81	254.80	255.00
12.719	64.625	23.700	37.138	35.062	35.850	41.975	42.362	63.112	71.850	93.800	162.57	242.04	254.85	255.00
12.847	63.700	24.025	37.350	35.650	37.650	42.175	42.350	63.338	70.662	95.200	162.96	243.80	254.94	255.00
12.976	63.388	24.150	37.475	31.625	38.938	42.375	42.662	63.775	68.025	96.625	163.44	245.56	254.98	255.00
13.104	64.025	24.500	37.688	28.062	39.800	42.787	43.025	64.075	65.025	97.588	165.41	247.19	254.99	255.00
13.233	65.387	24.712	37.513	27.263	39.912	44.025	42.812	64.562	63.763	99.562	167.93	248.37	255.00	255.00
13.361	66.900	24.950	37.625	26.825	39.938	44.862	42.812	64.662	63.763	101.03	168.09	248.49	255.00	255.00
13.490	66.338	25.375	37.775	26.375	39.662	45.888	43.338	65.162	64.438	102.84	169.04	248.76	255.00	255.00
13.618	65.700	25.987	38.312	26.125	39.425	46.338	43.688	65.700	64.662	104.80	168.56	248.54	255.00	255.00
13.747	66.738	26.050	38.250	26.337	39.688	46.375	44.963	66.475	65.412	107.56	170.73	249.41	255.00	255.00
13.875	72.713	26.013	38.088	26.650	39.800	46.188	45.812	67.150	66.488	108.46	171.65	249.44	255.00	255.00
14.003	82.550	26.362	38.025	27.150	39.838	46.325	46.213	67.812	67.213	109.45	173.76	249.93	255.00	255.00
14.132	88.025	26.362	37.938	27.487	39.950	47.237	46.638	68.250	67.675	111.84	176.01	250.04	255.00	255.00
14.260	86.512	26.700	37.963	27.763	39.950	46.588	47.475	69.588	69.088	114.09	176.91	251.45	255.00	255.00
