Distance / mm	5 nM	13 nM	21 nM	37 nM	69 nM	131 nM	256 nM	512 nM	1 uM	2 uM	4 uM	8 uM	16 uM	32 uM
28.906	255.00	255.00	255.00	255.00	255.00	255.00	227.80	223.31	177.88	148.25	116.28	53.300	26.663	31.763
29.035	255.00	255.00	255.00	255.00	255.00	255.00	231.18	223.89	176.93	146.59	113.64	51.737	26.163	34.763
29.163	255.00	255.00	255.00	255.00	255.00	255.00	233.76	224.14	176.34	144.50	110.89	50.025	25.600	31.413
29.292	255.00	255.00	255.00	255.00	255.00	255.00	236.11	222.70	173.73	142.48	108.06	48.425	25.100	27.325
29.420	255.00	255.00	255.00	255.00	255.00	255.00	237.45	222.80	170.73	140.56	105.10	46.888	24.925	25.850
29.549	255.00	255.00	255.00	255.00	255.00	255.00	238.23	222.85	166.89	138.46	102.64	45.250	24.538	25.188
29.677	255.00	255.00	255.00	255.00	255.00	255.00	239.77	222.40	165.10	137.35	100.34	44.075	24.538	25.225
29.806	255.00	255.00	255.00	255.00	255.00	255.00	239.52	221.68	163.01	135.50	97.900	42.750	24.212	24.962
29.934	255.00	255.00	255.00	255.00	255.00	255.00	239.80	221.49	160.82	132.90	95.800	41.562	23.862	24.312
30.062	255.00	255.00	255.00	255.00	255.00	255.00	238.46	219.59	158.30	129.41	92.812	40.175	23.575	23.775
30.191	255.00	255.00	255.00	255.00	255.00	255.00	237.12	218.11	156.65	127.21	90.113	39.500	23.275	23.500
30.319	255.00	255.00	255.00	255.00	255.00	255.00	235.12	216.55	154.13	124.28	88.213	38.263	23.050	23.212
30.448	255.00	255.00	255.00	255.00	255.00	255.00	232.93	214.00	151.68	121.28	85.188	36.850	22.688	22.938
30.576	255.00	255.00	255.00	255.00	255.00	255.00	231.26	211.59	149.94	118.35	82.613	35.688	22.388	22.938
30.705	255.00	255.00	255.00	255.00	255.00	255.00	229.31	208.57	147.30	116.16	79.938	34.638	22.087	23.138
30.833	255.00	255.00	255.00	255.00	255.00	255.00	226.90	205.59	143.82	114.00	77.512	33.662	22.062	23.038
30.962	255.00	255.00	255.00	255.00	255.00	255.00	224.01	202.06	140.01	111.34	75.162	32.737	22.388	22.700
31.090	255.00	255.00	255.00	255.00	255.00	255.00	222.10	198.64	137.19	109.15	73.200	32.200	21.700	23.075
31.219	255.00	255.00	255.00	255.00	255.00	255.00	219.65	194.49	134.19	106.99	70.675	32.013	21.087	24.875
31.347	255.00	255.00	255.00	255.00	255.00	255.00	217.07	191.69	131.04	104.40	68.550	31.487	20.825	24.862
31.476	255.00	255.00	255.00	255.00	254.21	255.00	213.79	187.45	127.72	101.74	66.787	31.375	20.625	22.925
31.604	255.00	255.00	255.00	255.00	252.71	255.00	210.14	183.82	124.56	99.125	64.950	33.500	20.525	22.075
31.733	255.00	255.00	255.00	255.00	254.36	255.00	206.51	180.04	121.44	96.438	63.050	38.750	20.288	21.712
31.861	255.00	255.00	255.00	255.00	255.00	255.00	201.91	176.31	117.40	94.338	61.200	43.062	20.138	21.325
31.990	255.00	255.00	255.00	255.00	255.00	255.00	197.30	172.25	114.03	92.375	59.325	39.475	20.212	21.163
32.118	255.00	255.00	255.00	255.00	255.00	255.00	191.75	166.98	110.63	89.537	57.362	31.100	20.188	21.000
32.247	255.00	255.00	255.00	255.00	255.00	255.00	186.38	162.31	107.90	87.488	56.013	26.987	20.388	21.013
32.375	255.00	255.00	255.00	255.00	255.00	255.00	180.25	157.95	104.63	84.438	54.188	25.700	20.087	21.675
32.503	255.00	255.00	255.00	255.00	255.00	255.00	174.73	153.54	101.94	82.662	52.912	24.888	19.413	22.850
32.632	255.00	255.00	255.00	255.00	255.00	255.00	168.89	149.00	98.975	79.750	51.513	24.175	19.237	21.750
32.760	255.00	255.00	255.00	255.00	255.00	255.00	163.15	144.73	96.050	77.287	50.175	23.450	19.025	20.587
32.889	255.00	255.00	255.00	255.00	255.00	255.00	156.48	140.27	93.425	75.188	48.875	22.737	18.688	21.275
33.017	255.00	255.00	255.00	255.00	255.00	255.00	150.50	135.91	90.675	73.188	47.588	22.250	18.625	22.350
33.146	255.00	255.00	255.00	255.00	255.00	255.00	144.20	131.38	87.912	71.050	46.287	21.900	18.500	20.188
33.274	255.00	255.00	255.00	255.00	255.00	254.99	137.79	127.21	85.662	68.738	45.188	21.425	18.337	19.413
33.403	255.00	255.00	255.00	255.00	255.00	254.54	132.38	122.64	83.012	67.200	44.150	21.175	18.300	19.200
33.531	255.00	254.98	255.00	254.98	255.00	252.25	126.38	118.30	79.925	64.912	43.175	21.038	18.112	19.050
33.660	255.00	254.96	255.00	254.45	254.99	247.88	121.14	114.59	77.825	63.125	42.537	22.025	18.075	19.050
33.788	255.00	254.31	255.00	252.64	254.93	241.70	115.53	110.66	75.825	61.213	42.338	23.688	17.950	19.062
33.917	255.00	251.43	254.84	249.48	253.70	234.84	110.36	106.40	73.863	59.638	42.088	24.225	17.913	19.188
34.045	255.00	244.79	252.80	244.48	249.48	225.89	105.44	102.54	71.325	57.900	39.925	23.875	17.775	19.212
34.174	255.00	236.57	247.91	237.62	241.27	214.73	101.57	99.925	69.113	56.625	39.312	20.625	17.825	19.263
34.302	255.00	226.52	240.94	227.93	230.56	203.82	97.262	95.863	67.575	55.513	38.438	19.250	17.700	19.237
34.431	255.00	217.11	233.15	218.37	219.31	193.19	93.650	92.425	66.025	53.650	37.600	19.000	17.638	19.225
34.559	255.00	206.77	224.70	206.63	207.11	182.93	90.450	89.525	64.312	52.225	36.862	18.775	17.538	19.100
34.687	255.00	194.80	215.51	193.40	193.90	171.25	87.175	86.575	62.700	50.725	35.950	18.487	17.425	18.837
34.816	255.00	182.07	205.34	179.30	180.52	159.76	84.637	84.137	61.375	49.525	35.375	18.312	17.462	18.950
34.944	255.00	169.15	193.37	165.01	166.29	149.32	82.200	81.750	59.825	48.300	34.737	18.200	17.500	19.100
35.073	255.00	155.76	181.50	152.65	153.06	140.16	79.650	79.562	58.350	47.375	34.150	18.200	17.487	19.513
35.201	255.00	143.30	168.86	139.90	140.11	130.66	76.825	76.863	56.725	46.025	33.812	19.075	17.350	20.837
35.330	255.00	133.04	156.60	128.81	129.21	122.30	74.775	75.562	55.912	45.588	34.588	19.475	17.312	22.150
35.458	255.00	122.29	143.36	118.51	118.53	114.11	72.550	74.037	54.825	44.500	35.150	18.275	17.225	20.062
35.587	255.00	113.19	132.45	108.91	108.55	107.22	70.400	71.637	53.825	43.862	34.088	18.038	17.125	19.163
35.715	255.00	104.41	122.38	99.812	99.113	101.03	68.550	69.575	52.775	42.825	34.312	17.650	17.062	18.688
35.844	255.00	95.950	112.71	91.287	91.412	95.262	66.675	67.850	51.775	41.775	36.100	17.413	17.200	18.587
35.972	255.00	88.088	103.06	83.812	83.925	89.988	64.938	66.463	50.700	40.938	34.950	17.138	17.200	18.513
36.101	255.00	80.825	94.463	76.650	76.738	86.075	63.125	65.050	49.537	40.188	35.250	16.950	17.212	18.475
36.229	255.00	74.300	86.988	70.262	71.200	82.375	61.487	63.963	48.900	39.737	37.388	16.938	17.237	18.487
36.358	255.00	68.250	79.225	64.037	65.750	78.325	59.700	62.463	47.963	39.062	35.138	16.862	17.138	18.775
36.486	255.00	62.750	72.488	58.862	60.638	75.350	58.412	61.362	47.550	38.463	36.750	16.913	17.188	18.788
36.615	255.00	57.513	66.363	53.900	56.025	72.325	57.263	60.000	46.737	37.938	36.787	16.725	17.100	19.375
36.743	255.00	52.825	61.062	49.475	52.263	69.450	56.375	59.088	46.050	37.350	36.450	16.737	17.100	20.850
36.872	254.43	48.662	55.875	45.338	48.950	67.025	55.275	57.850	45.338	36.812	38.250	16.663	17.025	20.087
37.000	250.10	44.862	51.550	41.688	45.825	64.812	54.475	57.037	44.850	36.450	39.812	16.775	17.013	18.862
37.128	241.04	41.100	47.625	38.825	42.925	62.375	54.575	56.150	44.537	39.237	40.500	16.800	17.025	18.562
37.257	229.35	38.237	43.888	36.200	40.787	60.188	53.925	55.463	43.763	38.662	42.475	17.013	16.987	18.325
37.385	216.23	35.400	40.463	33.775	38.562	58.638	52.688	55.062	43.263	35.188	40.000	18.475	17.038	18.300
37.514	201.84	32.737	37.325	31.538	36.325	56.875	51.412	54.287	42.550	34.362	36.662	18.913	17.050	18.200
37.642	188.59	30.462	35.050	29.712	34.737	55.713	50.888	53.787	42.162	33.812	35.250	17.600	17.087	18.175
37.771	174.82	28.312	33.312	28.038	33.250	54.438	50.138	52.963	41.388	33.438	36.875	17.175	16.938	18.375
37.899	161.50	26.562	31.362	26.712	32.438	53.625	49.838	52.250	40.938	33.162	42.400	16.987	16.800	18.487
38.028	147.00	24.638	28.862	25.362	33.375	52.750	49.000	50.950	40.263	32.425	49.213	16.837	16.737	18.538
38.156	133.79	23.375	26.900	24.300	32.975	51.888	48.700	50.287	39.875	32.375	50.638	16.825	16.812	18.850
38.285	120.32	22.237	25.413	23.312	29.800	50.987	48.025	49.325	39.237	32.125	49.237	16.925	16.900	18.775
38.413	109.64	21.237	24.050	22.475	28.062	50.213	47.225	48.625	38.812	31.375	44.037	16.938	17.050	18.550
38.542	99.250	20.062	23.025	21.675	27.250	49.362	46.763	48.100	38.375	31.175	43.312	16.888	17.150	18.550
38.670	90.188	18.938	22.013	20.900	26.425	48.525	46.088	47.675	38.050	30.775	46.612	16.812	17.150	18.337
38.799	81.988	18.188	21.300	20.362	26.050	47.888	45.850	47.838	37.825	30.587	40.513	16.875	17.138	18.475
38.927	74.650	17.438	20.388	19.888	27.837	46.975	45.000	48.675	37.438	30.325	37.888	16.900	17.062	18.325
39.056	68.363	17.025	19.750	19.325	28.550	46.100	44.438	48.600	37.287	30.237	39.550	17.250	17.112	18.225
39.184	62.350	16.587	19.062	18.925	28.487	45.487	43.525	46.900	36.662	29.888	34.725	17.100	17.062	18.125
39.312	57.300	16.312	18.688	18.550	29.350	45.025	43.037	46.125	36.388	29.663	35.463	17.050	17.138	18.150
39.441	52.963	16.000	18.200	18.462	27.100	44.375	42.150	45.237	36.000	29.225	37.675	17.325	17.212	18.188
39.569	49.388	15.738	17.888	18.425	24.575	43.900	41.438	44.475	35.725	28.925	35.412	17.500	17.237	18.138
39.698	45.838	15.312	17.350	18.125	23.837	43.525	40.812	43.838	35.362	28.650	30.362	17.275	17.212	18.250
39.826	42.675	15.137	17.175	18.087	25.025	42.812	40.200	43.625	35.125	28.450	28.175	17.050	17.237	18.237
39.955	39.838	14.988	16.825	18.013	23.625	42.013	39.500	43.250	34.800	28.275	26.425	17.075	17.225	18.150
40.083	37.213	14.837	16.837	17.800	22.913	41.500	39.062	42.537	34.463	27.850	24.438	17.125	17.250	17.950
40.212	35.325	14.488	17.300	18.300	22.712	41.250	39.050	42.075	34.362	27.975	21.438	17.438	17.462	18.100
40.340	33.275	14.288	17.025	19.850	22.550	40.688	38.213	41.237	33.825	27.562	20.538	17.900	17.538	18.100
40.469	31.700	14.288	16.837	20.300	22.400	40.175	37.700	40.713	33.700	27.388	20.188	18.475	17.612	18.475
40.597	30.150	14.137	16.913	18.212	22.188	39.138	37.287	39.987	33.575	26.962	19.888	18.050	17.675	18.850
40.726	28.763	14.113	17.475	17.500	21.925	37.900	36.900	39.338	33.162	26.888	19.650	18.725	17.837	18.862
40.854	27.650	14.025	17.638	17.350	21.562	37.388	36.400	38.750	32.963	26.700	19.388	19.237	17.900	18.500
40.983	26.725	13.938	17.125	17.112	21.538	37.312	36.263	38.562	32.825	26.913	19.288	18.850	17.913	18.312
41.111	25.862	13.762	16.587	17.087	22.487	36.800	36.075	38.250	32.475	27.350	19.013	18.337	17.875	18.212
41.240	25.150	13.800	17.038	16.987	21.712	36.037	35.150	37.838	32.362	26.400	18.950	18.225	17.888	18.100
41.368	24.575	13.950	16.487	16.875	21.263	35.650	34.375	37.188	32.188	26.188	19.025	18.413	17.987	18.013
41.497	24.150	13.913	16.300	16.837	21.087	34.875	33.463	36.350	31.837	25.925	18.975	18.513	18.013	18.025
41.625	23.825	13.962	16.325	16.812	21.050	34.388	32.925	35.775	31.775	25.725	18.900	18.913	18.200	18.212
41.753	25.175	13.925	16.325	16.875	20.987	33.838	32.525	35.388	31.650	25.650	18.850	19.038	18.325	18.575
41.882	27.250	13.812	16.475	16.925	20.962	33.562	32.125	35.263	31.812	25.987	18.987	19.350	18.562	20.200
