time/h	Ab42 alone	Ab42 alone	Ab42 alone	Ab42 alone	47 nM CTDSTA	47 nM CTDSTA	47 nM CTDSTA	47 nM CTDSTA	94 nM CTDSTA	94 nM CTDSTA	94 nM CTDSTA	94 nM CTDSTA	187 nM CTDSTA	187 nM CTDSTA	187 nM CTDSTA	187 nM CTDSTA	375 nM CTDSTA	375 nM CTDSTA	375 nM CTDSTA	375 nM CTDSTA	750 nM CTDSTA	750 nM CTDSTA	750 nM CTDSTA	750 nM CTDSTA	1500 nM CTDSTA	1500 nM CTDSTA	1500 nM CTDSTA	1500 nM CTDSTA	3000 nM CTDSTA	3000 nM CTDSTA	3000 nM CTDSTA	3000 nM CTDSTA	Fit 0	Fit 47	Fit 94	Fit 187	Fit 375	Fit 750	Fit 1500	Fit 3000
6.0306						1.0058			0.99038	1.0132		1.0081	1.0106	0.99995	1.0009	0.99735	0.98409	0.99128	0.96991	0.97021	0.71041	0.78957	0.77668	0.76738	0.26773	0.28653	0.24926	0.24636	0.081381	0.10312	0.076960	0.093872								
6.0667						1.0254			1.0044	1.0156		1.0133	1.0040	0.99774	1.0168	0.97188	0.98955	0.99698	0.98534	0.98185	0.72100	0.81657	0.81072	0.77312	0.26244	0.29375	0.23903	0.24846	0.084250	0.10791	0.085186	0.092786								
6.1028						0.99984			0.99694	1.0160		1.0097	0.99630	1.0038	1.0059	0.99341	0.99213	0.98855	0.98952	0.96481	0.73710	0.80816	0.79545	0.77762	0.25678	0.30634	0.24967	0.24823	0.085617	0.10728	0.086155	0.096390								
6.1389						1.0144			0.99504	1.0047		1.0180	0.98414	1.0085	1.0220	0.98223	0.99410	1.0021	0.99442	0.98904	0.74887	0.83141	0.81483	0.79002	0.27332	0.30163	0.24219	0.24688	0.089770	0.11117	0.085621	0.10441								
6.1750						1.0052			1.0119	1.0159		1.0086	1.0155	0.99807	1.0035	0.97593	0.99974	1.0011	0.99189	0.96324	0.75879	0.83294	0.81192	0.80040	0.28830	0.30392	0.25773	0.25538	0.087485	0.12302	0.087699	0.098529								
6.2111									0.99629			0.99704	0.99797	0.99573	1.0099	0.99142	0.98703	1.0090	0.96603	0.96804	0.76511	0.85484	0.83023	0.81212	0.28455	0.30519	0.25954	0.27028	0.096575	0.11914	0.090928	0.10719								
6.2472									1.0079			1.0143	1.0044	1.0107	1.0056	0.98659	0.99948	1.0019	0.98716	0.97027	0.77829	0.85887	0.83712	0.80641	0.28087	0.31688	0.26684	0.26183	0.096191	0.12042	0.091251	0.10496								
6.2833									0.97594			1.0238	1.0027	1.0017	1.0044	1.0017	0.98822	1.0016	0.98284	0.97682	0.77576	0.84876	0.85237	0.82517	0.29129	0.33105	0.26819	0.27555	0.099126	0.11928	0.085930	0.10006								
6.3194									0.99534			1.0084	0.98883	1.0027	1.0139	1.0027	0.98084	0.99484	0.99060	0.98273	0.78853	0.88735	0.85169	0.81798	0.27546	0.31331	0.27362	0.28837	0.10293	0.12528	0.097456	0.10627								
6.3556									1.0048			1.0124	1.0011	1.0036	1.0028	0.98391	1.0041	0.99902	0.97564	0.97651	0.80269	0.87366	0.86110	0.83848	0.28925	0.34097	0.28599	0.27118	0.097592	0.12391	0.096585	0.10976								
6.3917									0.99023				1.0031	0.99653	1.0044	0.98783	1.0110	0.99984	0.98330	0.97337	0.80779	0.87992	0.87121	0.84250	0.29073	0.34530	0.27436	0.28200	0.10248	0.13174	0.098396	0.11700								
6.4278									0.99482				1.0122	1.0170	0.99538	0.98613	1.0071	0.99675	0.98920	0.97419	0.82785	0.90135	0.87652	0.84599	0.31237	0.33865	0.28890	0.30562	0.10496	0.13674	0.096515	0.11795								
6.4639									0.98462				0.99693	0.99757	1.0069	0.98936	0.99471	1.0025	1.0109	0.97103	0.83412	0.89692	0.88268	0.85920	0.30780	0.34194	0.29671	0.30197	0.10581	0.13372	0.10140	0.11864								
6.5000									0.99718				0.99830	1.0014	1.0242	0.97589	0.98590	1.0026	0.98411	0.97141	0.85810	0.91066	0.89032	0.85456	0.31296	0.34804	0.29693	0.29745	0.10530	0.13045	0.099589	0.12083								
6.5361									0.99801				1.0026	0.98935	1.0179	0.99545	1.0141	0.99908	0.98174	0.98988	0.84369	0.91634	0.88156	0.87242	0.33310	0.35507	0.30176	0.29755	0.10430	0.13378	0.10210	0.12545								
6.5722									1.0004				1.0020	1.0204	1.0018	0.98417	1.0008	0.99973	0.97110	0.99134	0.84891	0.93071	0.90292	0.86569	0.32210	0.35562	0.29640	0.30232	0.11234	0.13712	0.10828	0.13224								
6.6083									1.0022				0.99960	1.0058	1.0189	0.99687	0.99114	1.0095	0.98255	0.99537	0.85890	0.91201	0.90694	0.88654	0.33685	0.36857	0.31068	0.31454	0.11242	0.15203	0.10749	0.12474								
6.6444									0.99708				1.0206	1.0104	0.99637	0.98729	1.0041	1.0021	0.99663	0.99291	0.86412	0.92975	0.90637	0.88985	0.34083	0.37398	0.31456	0.31047	0.10970	0.14389	0.11152	0.13064								
6.6806									0.99761				1.0278	1.0146	1.0139	1.0015	1.0037	1.0007	0.98025	0.98446	0.89522	0.94257	0.90687	0.89801	0.33958	0.36658	0.31660	0.32004	0.12169	0.14706	0.11314	0.13014								
6.7167									1.0034				1.0205	1.0194	1.0291	1.0001	1.0019	1.0045	0.96932	0.98575	0.88789	0.95095	0.91415	0.90423	0.34701	0.37321	0.33979	0.32341	0.12074	0.15249	0.11083	0.12762								
6.7528									0.98644				0.99973	1.0043	0.99652	1.0084	0.98530	0.99238	1.0006	0.99750	0.89721	0.95656	0.93394	0.90522	0.35050	0.38013	0.34055	0.31729	0.11055	0.14615	0.11844	0.13086								
6.7889									1.0090				1.0256	1.0101	1.0114	0.99243	0.99523	0.99723	0.98276	0.99608	0.90200	0.95871	0.93279	0.90147	0.34532	0.39207	0.33254	0.34076	0.12668	0.15278	0.11639	0.14142								
6.8250									1.0043				0.99732	1.0237		0.98443	1.0047	1.0122	0.99488	1.0046	0.90032	0.95679	0.93217	0.92268	0.36304	0.38227	0.33961	0.32846	0.13103	0.15261	0.12550	0.13397								
6.8611									1.0067				1.0061	1.0143		0.99070	1.0002	0.99778	1.0027	0.98975	0.91348	0.95994	0.92635	0.92585	0.36521	0.38198	0.35770	0.34926	0.13200	0.16410	0.11868	0.13987								
6.8972									0.99954				1.0031	0.99366		1.0072	1.0064	1.0059	0.99525	0.99438	0.93870	0.95869	0.93761	0.91050	0.37325	0.39874	0.34259	0.33744	0.12513	0.16506	0.12192	0.14564								
6.9333									1.0071				1.0153	1.0059		0.98323	0.99590	1.0051	0.99225	0.99904	0.94511	0.98362	0.94050	0.92798	0.36194	0.40173	0.34742	0.34458	0.12825	0.16102	0.12162	0.13909								
6.9694									1.0050				1.0107	1.0024		1.0068	0.98725	1.0108	0.99592	0.99573	0.94962	0.96349	0.95268	0.94577	0.38282	0.41723	0.34512	0.35638	0.12895	0.16831	0.12886	0.15206								
7.0056									1.0062							1.0039	1.0029	1.0007	0.99018	0.99509	0.95038	0.96983	0.95533	0.93091	0.37373	0.41125	0.35259	0.35393	0.14034	0.17103	0.13111	0.14940								
7.0417									0.99985							0.99748	0.99870	1.0144	1.0039	0.98553	0.93017	0.99663	0.97077	0.93030	0.37715	0.41137	0.36456	0.36773	0.13914	0.17952	0.12903	0.15848								
7.0778									1.0111							1.0055	0.99751	0.99564	0.96928	0.97865	0.94222	0.97508	0.97150	0.93863	0.39275	0.42570	0.36295	0.36648	0.13930	0.17532	0.13271	0.15258								
7.1139									1.0143							0.99384	0.98991	1.0053	0.99350	0.98740	0.96193	1.0041	0.97234	0.96195	0.39438	0.42754	0.37091	0.36438	0.14002	0.18330	0.13470	0.16079								
7.1500									1.0051							0.99552	0.99130	0.99051	0.99467	0.98583	0.96160	0.99593	0.96943	0.95701	0.39657	0.43146	0.36622	0.37835	0.14571	0.18785	0.13223	0.16924								
7.1861									0.98830							1.0096	1.0036	0.99456	0.99855	0.99640	0.95557	0.99661	0.98041	0.95892	0.40520	0.43507	0.37420	0.37345	0.15031	0.19070	0.13627	0.16030								
7.2222									1.0010							1.0064	0.99297	1.0010	0.98904	0.97679	0.97950	0.98655	0.97981	0.94071	0.40842	0.45525	0.38223	0.38210	0.14486	0.19534	0.13798	0.16858								
7.2583									0.99417							1.0086	0.99477	0.99200	1.0154	0.97875	0.98434	0.99908	0.99717	0.96211	0.42212	0.44618	0.38996	0.39530	0.15712	0.19210	0.15032	0.16848								
7.2944									1.0009							0.98970	1.0107	0.99837	0.99507	0.99795	0.97571	0.99243	0.98540	0.95282	0.41442	0.45368	0.39486	0.40100	0.14936	0.19349	0.14339	0.17576								
7.3306									0.99928							0.99175	0.99557	1.0033	0.99433	1.0056	0.99215	0.99556	0.99882	0.96037	0.43292	0.45933	0.39198	0.39010	0.15556	0.20597	0.14020	0.16977								
7.3667									0.98610							0.99410	1.0075	0.98910	0.99106	0.99001	0.98650	0.99533	0.97749	0.97894	0.43034	0.46427	0.39711	0.41209	0.15988	0.20486	0.14857	0.17679								
7.4028									1.0081							1.0001	1.0051	0.99133	0.98061	0.98831	0.97395	0.99113	0.99099	0.98090	0.43550	0.49294	0.41323	0.40740	0.15727	0.20768	0.14597	0.17629								
7.4389									0.98892							1.0062	1.0011	1.0054	1.0001	1.0036	0.96624	1.0078	0.97978	0.98555	0.44285	0.46586	0.41261	0.41544	0.16434	0.20347	0.15045	0.17820								
7.4750									0.99908							0.98861	1.0038	1.0036	1.0084	0.98971	0.98043	0.99355	1.0005	0.95805	0.44627	0.48196	0.41670	0.41954	0.16884	0.20473	0.16042	0.18862								
7.5111									1.0108							1.0107	1.0008	1.0027	0.99271	0.98755	0.98304	1.0020	0.97679	0.97407	0.45612	0.49778	0.42272	0.42274	0.17301	0.21398	0.16360	0.18108								
7.5472									0.99312							0.99643	0.99878	1.0068	1.0024	0.98906	0.99536	1.0147	1.0050	0.97807	0.45429	0.49783	0.40978	0.42717	0.17731	0.21095	0.15548	0.19795								
7.5833									1.0166							1.0008	1.0008	0.99330	0.98219	0.99876	1.0068	0.98482	0.99533	0.97528	0.46577	0.49573	0.42756	0.41804	0.17114	0.21872	0.16123	0.19254								
7.6194									1.0136							1.0014	0.99654	1.0120	1.0008	0.99409	0.99810	0.99571	1.0037	0.98197	0.46189	0.49750	0.43669	0.43506	0.17116	0.22766	0.16157	0.19954								
7.6556									1.0062							1.0132	0.99070	1.0057	0.98993	1.0012	1.0024	1.0223	0.98986	0.97013	0.47003	0.50944	0.44422	0.43247	0.17921	0.23223	0.16476	0.19579								
7.6917									1.0061							1.0159	1.0056	1.0046	0.98804	0.99218	0.98673	0.98657	0.99241	0.98453	0.47077	0.51068	0.44419	0.44014	0.17866	0.23134	0.16845	0.20143								
7.7278									1.0109							0.99829	0.99557	1.0054	0.98580	0.99274	1.0045	1.0008	0.99580	0.96582	0.47123	0.50590	0.45157	0.45941	0.18522	0.24260	0.17090	0.21132								
7.7639									0.99120							0.99837	0.99045	1.0100	0.99244	0.99254	1.0002	0.99981	1.0066	0.98030	0.49444	0.52914	0.44588	0.44626	0.19708	0.23897	0.17328	0.20835								
7.8000									0.99583							1.0068	1.0087	1.0030	0.98313	1.0066	0.99923	1.0213	0.99613	0.99143	0.50523	0.52237	0.45327	0.44754	0.17896	0.24158	0.17770	0.20473								
7.8361									0.99775							0.99983	1.0147	0.99934	0.98937	1.0072	1.0010	0.99486	0.99822	0.97800	0.49033	0.52894	0.45736	0.46816	0.19247	0.23926	0.17564	0.21654								
7.8722									0.99785							0.99802	1.0042	0.99891	0.99471	0.97899	1.0052	1.0089	1.0023	1.0115	0.49870	0.51791	0.46792	0.45134	0.20263	0.24641	0.18265	0.20878								
7.9083									1.0070							1.0169	0.98810	0.99780	1.0093	0.99164	1.0073	0.98972	1.0182	1.0123	0.50694	0.54362	0.47187	0.47636	0.19534	0.24552	0.18279	0.20911								
7.9444									0.99393							1.0059	1.0009	1.0229	0.98820	0.99472	1.0084	0.98847	1.0005	1.0023	0.50143	0.56754	0.47572	0.48393	0.19866	0.25289	0.18153	0.21589								
7.9806									0.98319							0.99783	1.0032	0.99847	1.0152	1.0099	0.99983	1.0024	1.0101	1.0164	0.52453	0.55538	0.48631	0.47548	0.20108	0.25867	0.19081	0.22515								
8.0167									1.0059							0.98563	0.98596	0.98731	0.99398	1.0088	0.98515	0.97596	1.0147	0.98431	0.52547	0.55279	0.49399	0.46756	0.20618	0.25698	0.18539	0.23768								
8.0528																1.0173	1.0082	1.0122	0.99909	1.0029	1.0039	1.0037	1.0158	1.0001	0.51016	0.56823	0.50085	0.48298	0.19623	0.25990	0.18963	0.22922								
8.0889																1.0139	0.99636	1.0190	1.0025	0.98900	0.99285	1.0008	1.0104	1.0018	0.52693	0.56370	0.49562	0.48398	0.20463	0.25823	0.18984	0.23501								
8.1250																1.0076	1.0044	0.99482	0.99819	1.0034	0.99644	1.0244	1.0121	0.99923	0.52021	0.57030	0.50827	0.48330	0.22083	0.26767	0.19572	0.22930								
8.1611																1.0005	1.0021	1.0031	0.98929	0.99502	1.0137	1.0070	1.0171	1.0048	0.53150	0.57030	0.50618	0.49788	0.21422	0.27417	0.20135	0.24886								
8.1972																1.0099	0.99712	0.99694	1.0016	0.99282	1.0052	1.0117	0.99261	0.99121	0.57004	0.58792	0.50085	0.51092	0.21844	0.28194	0.20253	0.24355								
8.2333																1.0097	0.99362	0.99143	1.0053	0.99171	0.99253	1.0216	0.99855	1.0235	0.55380	0.58829	0.51771	0.50243	0.21325	0.28147	0.20453	0.24450								
8.2694																	0.99422	1.0176	0.99475	0.98460	1.0012	0.99007	0.99999	0.99344	0.55597	0.59145	0.51970	0.50695	0.23008	0.27227	0.20342	0.24562								
8.3056																	1.0105	0.99812	1.0034	1.0110	1.0129	1.0014	0.99505	0.99700	0.55628	0.60050	0.53110	0.50780	0.22466	0.28939	0.20373	0.24132								
8.3417																	0.99850	1.0085	1.0189	0.98738	1.0169	1.0008	1.0108	1.0040	0.57134	0.59639	0.52531	0.51642	0.22781	0.28984	0.21000	0.25067								
8.3778																	1.0001	1.0056	1.0072	1.0036	0.99913	1.0216	1.0109	1.0064	0.56562	0.60117	0.53008	0.51820	0.23492	0.29351	0.21647	0.25434								
8.4139																	0.99251	1.0138	0.99267	0.99797	1.0097	1.0177	0.99513	1.0059	0.57111	0.59390	0.52957	0.51105	0.24036	0.29845	0.21555	0.25716								
8.4500																	1.0091	1.0012	0.99156	1.0007	1.0115	1.0061	1.0095	1.0155	0.58071	0.61739	0.54674	0.52497	0.24464	0.30270	0.22245	0.26060								
8.4861																	1.0075	0.99707	0.99573	1.0091	1.0078	1.0141	0.99977	1.0115	0.57458	0.62357	0.55342	0.51847	0.24484	0.30682	0.22790	0.26780								
8.5222																	1.0045	1.0007	0.98263	0.99679	1.0105	1.0052	1.0066	1.0004	0.58083	0.61896	0.55153	0.54064	0.25848	0.31318	0.22073	0.26981								
8.5583																	0.99418	0.99484	1.0010	0.99627	1.0071	1.0221	1.0046	1.0121	0.58591	0.62001	0.56171	0.54567	0.24629	0.31775	0.22377	0.27830								
8.5944																	1.0046	1.0074	1.0144	1.0078	1.0082	1.0084	0.99500	1.0005	0.58548	0.63951	0.56594	0.54454	0.25730	0.31093	0.22940	0.27640								
8.6306																	0.98521	0.98153	0.99730	1.0087	1.0041	1.0094	1.0019	0.99436	0.60059	0.63296	0.57000	0.55104	0.25615	0.31888	0.24100	0.27102								
8.6667																	1.0084	0.99839	1.0123	0.99879	1.0150	1.0242	0.99518	1.0187	0.60490	0.63261	0.58816	0.55736	0.26072	0.32347	0.23415	0.27488								
8.7028																	1.0023	0.98979	1.0000	1.0059	0.99323	1.0164	1.0224	1.0258	0.61205	0.64016	0.57411	0.56409	0.25438	0.32550	0.23638	0.27806								
8.7389																	1.0021	0.98328	1.0026	0.99156	0.99933	1.0148	1.0056	0.99676	0.60960	0.65205	0.57862	0.56276	0.27249	0.32895	0.24030	0.28556								
8.7750																	0.99261	0.98386	0.99323	1.0069	1.0019	0.99886	1.0062	1.0109	0.61481	0.65185	0.59763	0.56629	0.26889	0.32643	0.24208	0.29653								
8.8111																	1.0141	0.99944	1.0127	1.0016	1.0045	0.99901	1.0076	1.0112	0.62946	0.64044	0.58666	0.58268	0.27073	0.33856	0.24866	0.30010								
8.8472																	1.0002	1.0070	1.0028	0.99976	0.99845	1.0198	1.0123	1.0036	0.63137	0.67345	0.59053	0.57491	0.26701	0.35095	0.24959	0.28554								
8.8833																	1.0033	0.99431	1.0065	1.0051	1.0144	1.0053	0.99266	1.0002	0.63569	0.66565	0.60640	0.56941	0.28322	0.35443	0.24671	0.31025								
8.9194																	1.0004	0.99440	1.0003	1.0008	1.0056	1.0071	1.0078	1.0132	0.63533	0.66052	0.60696	0.60690	0.27026	0.34394	0.25139	0.30360								
8.9556																	0.99985	0.99929	0.97644	1.0045	1.0099	1.0233	1.0008	1.0057	0.63028	0.65930	0.59752	0.58721	0.28152	0.35434	0.25713	0.30587								
8.9917																	0.98965	0.99814	1.0017	1.0048	1.0037	1.0235	1.0192	0.99167	0.63564	0.68491	0.60497	0.60633	0.29431	0.35765	0.25876	0.31564								
9.0278																	0.98935	1.0031	1.0015	1.0070	0.98766	1.0249	1.0195	1.0070	0.64676	0.68431	0.61783	0.60483	0.29641	0.35954	0.26113	0.31974								
9.0639																	0.99122	0.98580	0.99481	1.0063	0.99930	1.0278	1.0035	0.98983	0.67114	0.70192	0.63487	0.60885	0.29684	0.35882	0.27381	0.31938								
9.1000																	1.0024	1.0050	1.0058	0.99020	1.0023	1.0085	1.0003	1.0099	0.66976	0.69049	0.62232	0.61788	0.30353	0.37445	0.27223	0.33135								
9.1361																	1.0078	1.0107	0.99942	0.99816	1.0211	1.0070	0.99346	0.99857	0.67568	0.71069	0.63280	0.61543	0.30310	0.36281	0.27222	0.32321								
9.1722																	0.99124	1.0063	1.0015	1.0073	1.0066	1.0038	1.0069	0.99458	0.67259	0.70892	0.64341	0.62617	0.30939	0.37264	0.27330	0.33162								
9.2083																	0.98266	1.0068	1.0067	1.0033	0.99411	1.0011	0.99133	0.99775	0.67377	0.71343	0.63122	0.63035	0.30865	0.37349	0.26830	0.33757								
9.2444																	0.98860	1.0008	0.98889	1.0093	0.99574	1.0071	1.0198	0.99238	0.70111	0.69423	0.64520	0.65107	0.31919	0.38182	0.28064	0.33278								
9.2806																	0.99555	0.99622	1.0077	0.99778	1.0018	1.0122	1.0073	1.0158	0.68908	0.70810	0.65831	0.64634	0.31636	0.37703	0.28296	0.34278								
9.3167																	1.0031	0.99065	0.99187	0.99788	0.98869	1.0170	1.0077	0.99543	0.69687	0.73085	0.65803	0.63290	0.32083	0.38289	0.29179	0.34723								
9.3528																	0.99805	0.99929	1.0102	1.0030	0.98715	1.0100	0.99912	1.0217	0.70399	0.73875	0.66234	0.66052	0.32651	0.38799	0.27907	0.34657								
9.3889																	1.0089	0.97590	1.0015	1.0036	1.0243	1.0066	1.0023	1.0130	0.69868	0.72940	0.65267	0.64424	0.32703	0.39459	0.30002	0.34945								
9.4250																	1.0089	1.0065	1.0065	0.99373	0.99632	0.98760	0.99940	0.99022	0.70381	0.73239	0.67726	0.64532	0.32648	0.40678	0.29352	0.36120								
9.4611																	1.0034	0.99360	1.0045	1.0088	0.99946	1.0180	1.0168	0.99363	0.71507	0.73566	0.67744	0.65932	0.33298	0.40514	0.29491	0.36591								
9.4972																	1.0148		1.0002		1.0228	0.97273	1.0083	1.0237	0.69740	0.74062	0.67540	0.67011	0.34079	0.39903	0.30181	0.36172								
9.5333																	1.0064		0.99392		1.0008	0.99310	1.0084	0.98669	0.70440	0.74939	0.69295	0.67134	0.34424	0.41250	0.29638	0.36068								
9.5694																	0.98854		0.99771		1.0082	1.0117	1.0001	1.0146	0.71466	0.75384	0.67721	0.66224	0.34241	0.41744	0.30573	0.37770								
9.6056																	0.98074		1.0045		1.0061	1.0007	1.0102	1.0187	0.73962	0.76476	0.69749	0.68221	0.34856	0.42908	0.31572	0.36913								
9.6417																	1.0081		0.98718		0.99720	0.99616	0.99291	0.98298	0.71956	0.77206	0.69961	0.67896	0.34234	0.42400	0.31275	0.37677								
9.6778																	1.0001		0.99600		0.99644	1.0014	0.99717	0.99192	0.73117	0.76660	0.69907	0.68848	0.36437	0.42580	0.32349	0.37843								
9.7139																	0.99831		1.0090		1.0020	0.99313	0.98530	0.99366	0.73760	0.75661	0.71103	0.69841	0.34943	0.41934	0.32777	0.38336								
9.7500																	0.99467		1.0063		0.99775	0.99643	1.0163	1.0041	0.73745	0.78215	0.69900	0.69836	0.35717	0.43962	0.32853	0.39612								
9.7861																	1.0229		0.99358		1.0068	1.0187	0.99248	0.99739	0.73567	0.75571	0.72711	0.69738	0.36951	0.43481	0.33970	0.39015								
9.8222																	1.0130		1.0024		1.0085	1.0006	1.0040	0.99460	0.75420	0.78165	0.71055	0.68369	0.37163	0.44287	0.33155	0.39512								
9.8583																	0.99396		0.99738		0.99863	0.99583	1.0092	1.0093	0.75527	0.78536	0.70943	0.69343	0.37486	0.45640	0.33775	0.40511								
9.8944																			1.0038		1.0122	0.99836	1.0161	1.0058	0.76257	0.79652	0.73787	0.70136	0.38078	0.44743	0.33215	0.40704								
9.9306																			1.0126		0.99767	1.0106	0.99827	1.0069	0.74720	0.78441	0.73943	0.71983	0.38659	0.44641	0.34221	0.41137								
9.9667																			0.99329		0.97887	1.0058	1.0115	0.99792	0.77329	0.78449	0.73963	0.70473	0.37540	0.45778	0.35111	0.41758								
10.003																			0.99580		1.0074	0.99736	1.0191	1.0058	0.78370	0.79343	0.74379	0.71623	0.38695	0.47078	0.34412	0.41288								
10.039																			0.98599		0.98715	0.99037	0.99827	1.0069	0.77778	0.80739	0.75876	0.73687	0.38931	0.46572	0.35467	0.41756								
10.075																			0.99636		0.99617	1.0053	0.99423	1.0014	0.77160	0.80400	0.75126	0.72088	0.39588	0.46502	0.35561	0.42347								
10.111																			0.99465		0.98663	0.99430	1.0083	0.99589	0.78072	0.80898	0.74312	0.73720	0.40688	0.47508	0.36687	0.42623								
10.147																			0.99984		0.99092	0.99546	0.99111	1.0037	0.77479	0.81292	0.75669	0.74247	0.40201	0.48485	0.35757	0.41854								
10.183																			1.0038		0.99494	1.0154	1.0025	0.99940	0.78682	0.81242	0.77366	0.74770	0.41903	0.47549	0.37600	0.43311								
10.219																			1.0026		1.0031	0.99506	0.99363	1.0027	0.79754	0.82049	0.75636	0.76422	0.41386	0.48175	0.36493	0.43672								
10.256																			0.98516		0.99037	1.0087	0.99508	1.0133	0.80226	0.84224	0.78639	0.75087	0.41362	0.49083	0.37477	0.43727								
10.292																			1.0132		0.99027	1.0224	0.98447	1.0022	0.80045	0.83098	0.78116	0.75649	0.42300	0.50098	0.38624	0.45446								
10.328																					0.99566	1.0161	0.99533	1.0083	0.79503	0.83247	0.77251	0.75752	0.41726	0.49343	0.38840	0.45422								
10.364																					1.0024	1.0044	0.99775	0.99913	0.78391	0.83168	0.78200	0.74825	0.43660	0.50296	0.39243	0.44498								
10.400																					0.98680	0.99934	0.98542	1.0032	0.81076	0.84030	0.77613	0.78094	0.42471	0.50609	0.40579	0.46036								
10.436																					0.99807	0.99115	1.0077	1.0044	0.81239	0.83058	0.78338	0.78061	0.42630	0.51521	0.39385	0.47097								
10.472																					1.0007	0.99756	1.0068	1.0162	0.83503	0.84553	0.79172	0.77337	0.43892	0.51612	0.38611	0.45634								
10.508																						0.99896	1.0037	0.99974	0.81173	0.83504	0.77858	0.77382	0.44506	0.51411	0.41992	0.45815								
10.544																						1.0016	0.99283	0.99751	0.82697	0.84493	0.80677	0.77679	0.44684	0.51729	0.41614	0.48175								
10.581																						1.0013	1.0084	0.98427	0.83710	0.85843	0.81674	0.77484	0.44526	0.50550	0.41433	0.47649								
10.617																						0.98777	0.98951	1.0043	0.81877	0.85049	0.83444	0.80101	0.44940	0.53146	0.40636	0.48378								
10.653																						1.0094	1.0040	0.99649	0.84039	0.83888	0.79853	0.77827	0.46903	0.52325	0.43039	0.48808								
10.689																						1.0060	1.0058	0.98940	0.82490	0.85726	0.80335	0.78329	0.47395	0.52626	0.43226	0.47787								
10.725																						1.0044	0.99920	1.0108	0.82926	0.86930	0.82444	0.78886	0.47742	0.54131	0.42642	0.50210								
10.761																						1.0021	1.0041	0.99419	0.84121	0.86409	0.82044	0.79789	0.46577	0.53932	0.44118	0.48290								
10.797																						1.0047	0.99902	0.99179	0.85410	0.87896	0.82638	0.81471	0.47049	0.53986	0.43676	0.49242								
10.833																						1.0039	0.99218	1.0076	0.85698	0.88185	0.82493	0.79114	0.48982	0.54727	0.43157	0.50542								
10.869																						1.0097	0.99930	0.99860	0.85425	0.86673	0.82368	0.80881	0.46529	0.55295	0.43783	0.50643								
10.906																						1.0003	0.99770	0.98446	0.84435	0.86780	0.83567	0.80321	0.48856	0.55262	0.44252	0.51305								
10.942																						0.96902	1.0029	0.98393	0.86793	0.88671	0.84794	0.82628	0.49141	0.57252	0.45574	0.52053								
10.978																						0.99773	1.0036	1.0072	0.87334	0.86551	0.83807	0.81793	0.48796	0.56946	0.44375	0.54112								
11.014																						0.99491	0.99673	1.0186	0.87066	0.88494	0.84125	0.82268	0.49625	0.57916	0.45049	0.51629								
11.050																						0.98865	0.98624	0.99993	0.86939	0.89125	0.85786	0.81446	0.48192	0.57194	0.44912	0.53433								
11.086																						1.0159	0.98617	1.0076	0.86911	0.88953	0.83990	0.83620	0.51496	0.58503	0.46578	0.53386								
11.122																						0.99273	1.0078	1.0072	0.87523	0.88771	0.86049	0.81613	0.48632	0.59363	0.46435	0.54461								
11.158																						0.99450	0.98490	0.98640	0.86852	0.89379	0.85551	0.84238	0.50507	0.58878	0.44836	0.53257								
11.194																						0.99012	1.0081	0.99555	0.87253	0.89000	0.87214	0.82341	0.50635	0.61157	0.47489	0.55206								
11.231																						0.99979	1.0117	0.99206	0.89603	0.90988	0.85398	0.83788	0.49831	0.61803	0.46513	0.54909								
11.267																						0.97859	0.99553	1.0002	0.89080	0.88392	0.87740	0.84283	0.51614	0.62243	0.47555	0.53562								
11.303																						0.99268	0.99900	0.99782	0.90471	0.89877	0.87209	0.85857	0.53591	0.63637	0.48393	0.55752								
11.339																								0.99492	0.88651	0.91133	0.86153	0.85282	0.51274	0.64551	0.48369	0.55935								
11.375																								0.99337	0.89323	0.90291	0.87324	0.83835	0.54021	0.66872	0.46581	0.55759								
11.411																								0.99690	0.89147	0.92119	0.87151	0.86087	0.52922	0.67498	0.49453	0.56413								
11.447																								0.99523	0.89639	0.90896	0.87464	0.85797	0.53479	0.67570	0.47822	0.56473								
11.483																								0.98768	0.89346	0.90826	0.88324	0.83030	0.54218	0.68692	0.51604	0.57172								
11.519																								0.99760	0.89386	0.90542	0.89204	0.83618	0.54166	0.68987	0.49644	0.58251								
11.556																									0.89823	0.90321	0.88658	0.85472	0.55365	0.70744	0.52259	0.56785								
11.592																									0.89996	0.93253	0.89100	0.85922	0.55985	0.70779	0.49533	0.57489								
11.628																									0.91967	0.90166	0.88964	0.86747	0.55909	0.72490	0.55094	0.57691								
11.664																									0.92814	0.93826	0.89000	0.88372	0.55720	0.72934	0.54957	0.59415								
11.700																									0.91913	0.90198	0.88533	0.87412	0.57030	0.74804	0.52365	0.59459								
11.736																									0.91508	0.92560	0.88521	0.88504	0.55338	0.75590	0.53323	0.60166								
11.772																									0.90854	0.90704	0.89005	0.88884	0.55025	0.76411	0.52002	0.59060								
11.808																									0.93565	0.91486	0.89370	0.88814	0.55383	0.76058	0.51668	0.59096								
11.844																									0.93930	0.92887	0.91752	0.88624	0.56613	0.77487	0.53792	0.59250								
11.881																									0.92209	0.93465	0.90490	0.88464	0.56754	0.76894	0.55499	0.59962								
