time/h	Ab42 alone	Ab42 alone	Ab42 alone	Ab42 alone	47 nM S00GSTsmall	47 nM S00GSTsmal	47 nM S00GSTsmal	47 nM S00GSTsmal	94 nM S00GSTsmal	94 nM S00GSTsmal	94 nM S00GSTsmal	94 nM S00GSTsmal	187 nM S00GSTsmal	187 nM S00GSTsmal	187 nM S00GSTsmal	187 nM S00GSTsmal	375 nM S00GSTsmal	375 nM S00GSTsmal	375 nM S00GSTsmal	375 nM S00GSTsmal	750 nM S00GSTsmal	750 nM S00GSTsmal	750 nM S00GSTsmal	750 nM S00GSTsmal	1500 nM S00GSTsmal	1500 nM S00GSTsmal	1500 nM S00GSTsmal	1500 nM S00GSTsmal	3000 nM S00GSTsmal	3000 nM S00GSTsmal	3000 nM S00GSTsmal	3000 nM S00GSTsmal	Fit 0	Fit 47	Fit 94	Fit 187	Fit 375	Fit 750	Fit 1500	Fit 3000
0.63556	0.0052800	0.0095279	0.0068470	-0.00023830	-0.011047	0.011610	0.0017380	0.0089651	-0.0074886	0.0031916	-3.2978e-06	-0.0039338	0.0065499	-0.013869	-0.0025306	-0.0056001	-0.0021291	-0.0067783	0.0059513	-0.011102	-0.0018216	0.0034746	0.0022618	-0.0074488	-0.0026274	0.0077388	-0.0010938	-0.0057630	-0.0087787	-0.0086847	0.0028685	-0.0061129								
0.66444	0.0071398	0.0086985	0.0041077	0.010467	0.0042139	0.011895	-0.0078883	0.0015069	-0.0059312	0.0045158	-0.0039358	0.0020611	-0.0014447	-0.0010172	-0.013253	-0.0017917	-0.0028210	-0.0017229	-7.5174e-05	-0.0082196	-0.0070628	-0.0024695	0.00070614	-0.0074027	0.0036769	-0.0068105	0.00027547	-0.00087021	-0.0036265	0.0045678	0.0026533	-0.0031027								
0.69333	0.0091298	0.015518	0.015705	0.013476	0.0093948	0.022139	0.0016900	0.0054136	-0.0031625	0.00016824	-0.0033670	0.0011904	-0.0015704	6.5783e-05	-0.013400	0.00019641	-0.0065278	-0.00092718	-0.0024951	-0.0019817	0.0011872	0.0063859	-0.0034841	-0.0046129	-0.0084906	0.0088111	-0.00018096	0.0067826	-0.0055203	-0.0027647	-0.0043402	0.0082055								
0.72222	0.011492	0.020790	0.020454	0.016795	-0.0064045	0.029253	-0.0028471	0.011984	0.0047232	0.0011677	0.0011097	0.0057425	0.0012202	0.0038202	0.0024484	-0.0045702	0.0073852	-0.0079485	0.00099516	-0.0086250	-0.0066018	-0.0047015	-0.00019715	-0.0091550	0.0043255	0.0035714	-0.0054806	0.0062808	-0.0011200	0.0081438	-0.00089724	-0.0042806								
0.75111	0.022409	0.028236	0.022198	0.019476	-0.0082512	0.031840	0.0081235	0.017337	0.0046985	-0.0069278	-0.00034956	0.016911	0.0094662	-0.0019318	-0.0085201	-0.00071379	0.0094363	0.0044558	-0.0030768	-0.0056524	-0.0012878	-0.0043618	0.0013083	-0.015265	-0.0076085	0.0018167	9.7970e-05	0.0054026	0.0013308	0.0083542	0.0051279	0.0028132								
0.78000	0.027821	0.031277	0.034168	0.037075	0.0050346	0.044956	0.012445	0.025404	0.0043277	-0.0098512	0.0074413	0.0076828	0.0063991	0.0029298	-0.0063757	0.0026875	0.0056800	0.0013431	0.0024611	-0.00040535	-0.00060835	0.0034503	-0.0062943	-0.0072413	-0.0076604	-0.0062987	-0.0094109	-0.0034797	-0.0057709	-0.0013823	0.0092971	-0.0040712								
0.80889	0.037826	0.043166	0.047100	0.045392	0.0048294	0.052199	0.020558	0.032329	0.00089158	-0.0067779	0.0049928	0.018429	-0.00018772	-0.0011376	-0.0051433	0.0096817	0.0098070	0.0033324	-0.0013084	-0.0042562	0.00036224	-0.0077584	-0.0029572	-0.00016304	-0.0010448	0.0069589	0.0012390	0.0010367	-0.0016770	-0.0086847	0.00071664	-0.0016630								
0.83778	0.044689	0.056123	0.051067	0.051647	0.032683	0.050932	0.023559	0.037149	0.016836	-0.0013059	0.0046465	0.012882	0.010623	0.00095626	-0.0053158	0.011023	0.0027887	0.0064218	0.0048809	0.0067784	-0.0027922	0.011384	0.0025880	-0.0043362	-0.0076344	-0.016437	0.00068118	-0.0084478	-0.0016491	-0.011329	-0.010365	0.00066673								
0.86667	0.055922	0.070002	0.068267	0.059234	0.019705	0.061150	0.029081	0.040320	0.016515	0.0098879	0.011720	0.019921	0.015022	0.0067324	0.011519	0.014616	0.0077805	0.0017409	0.0051834	0.0056299	-0.0016517	-0.00064986	-0.0075489	0.0021195	0.0036250	-0.00027915	-0.0028435	0.0053023	0.0059261	-0.0025543	-0.0016773	0.0011379								
0.89556	0.067155	0.085688	0.078655	0.064869	0.019552	0.063970	0.025672	0.044506	0.027688	0.00074292	0.017285	0.022334	0.018291	0.0060825	0.00013146	0.016676	0.020334	0.0055559	0.0048111	-0.0022519	-0.0074510	-0.0020813	-0.0062190	-0.0019614	-0.00044811	-0.018703	-0.0031224	-0.0076951	0.0065666	0.00012020	0.0051010	0.00045732								
0.92444	0.087743	0.095088	0.095233	0.081575	0.042712	0.084458	0.032201	0.058179	0.019803	0.018958	0.017186	0.025642	0.012131	0.014650	0.0035329	0.012149	0.022904	0.012320	0.013723	0.016372	0.0018181	0.014465	0.0049967	0.0062236	-0.010722	0.027162	-0.00023167	-0.0072685	0.014003	-0.0018632	-0.0085901	0.0044099								
0.95333	0.10428	0.11669	0.10260	0.10612	0.038172	0.083863	0.050254	0.064344	0.024030	0.017459	0.036874	0.032981	0.018693	0.011353	0.0033604	0.019909	0.016059	0.014520	0.0087202	0.012386	0.0069137	0.0029408	-0.0048641	0.0028804	0.0068939	-0.021701	-0.0086249	-0.0077954	0.013418	0.0040569	0.0024650	0.0011379								
0.98222	0.10800	0.13883	0.13075	0.11519	0.038147	0.090150	0.048669	0.065967	0.037502	0.020907	0.024383	0.032234	0.019170	0.018020	0.012825	0.024964	0.017764	0.014543	0.013979	0.020538	0.0033225	0.0063374	-0.0041365	0.0092670	0.0019646	0.012369	-0.00078953	0.0014633	0.0043386	-0.00057097	-0.014642	0.0044361								
1.0111	0.14183	0.15479	0.14013	0.13251	0.045713	0.099851	0.056735	0.086592	0.050307	0.025654	0.032743	0.035592	0.029227	0.022593	0.014575	0.036413	0.027921	0.029569	0.025078	0.024816	0.00065342	0.0080600	-0.0077245	0.013140	-0.0043915	0.015830	-0.0045931	-0.00031820	0.0042551	0.0057097	0.0028147	0.011294								
1.0400	0.16760	0.16916	0.15879	0.15456	0.052125	0.10319	0.068450	0.089484	0.045289	0.019982	0.043230	0.039672	0.036115	0.025047	0.024237	0.032245	0.024091	0.029709	0.029894	0.024659	0.0088064	0.0087878	0.0013334	0.014017	0.0061675	-0.0028137	0.0022280	0.0036211	0.013696	0.0069718	0.0025188	0.0042791								
1.0689	0.19803	0.20212	0.18486	0.17552	0.074311	0.10443	0.079901	0.094405	0.053941	0.025854	0.041029	0.051313	0.035411	0.029909	0.028502	0.036605	0.028613	0.035397	0.024356	0.025987	0.020259	0.016721	-0.0097067	0.014086	-0.0016415	-0.020239	0.0018223	0.00063527	0.016453	0.0033657	0.0046706	0.0053785								
1.0978	0.21175	0.23283	0.19653	0.20958	0.076003	0.10402	0.087895	0.10417	0.066845	0.038322	0.049265	0.048726	0.035914	0.043916	0.032026	0.047144	0.040697	0.041037	0.035734	0.034252	0.014533	0.013058	-0.0052656	0.021510	0.00056368	0.010420	0.0095308	-0.0051106	0.025505	0.012291	-0.0045823	0.016294								
1.1267	0.24292	0.26070	0.23035	0.22388	0.070515	0.13475	0.10271	0.11531	0.071245	0.035924	0.059776	0.061711	0.035738	0.040113	0.026160	0.054713	0.041612	0.047356	0.033687	0.032946	0.012252	0.0081328	0.0046706	0.020634	-0.0014340	0.0042782	0.00022476	0.00035926	0.018180	0.0079635	0.0018464	0.012420								
1.1556	0.27709	0.28877	0.26115	0.25441	0.081543	0.13418	0.10405	0.13966	0.069614	0.032500	0.070461	0.080243	0.048007	0.048441	0.053027	0.065444	0.044676	0.043846	0.041435	0.031460	0.012131	0.011044	0.0039931	0.029049	-0.0054811	-0.014731	-0.0045677	0.0044491	0.026229	0.0070620	0.0067149	0.028990								
1.1844	0.30885	0.31887	0.29746	0.28963	0.10275	0.15169	0.11320	0.13801	0.083037	0.054113	0.088466	0.069099	0.054317	0.049740	0.048516	0.064988	0.034915	0.054026	0.045018	0.036436	0.021594	0.012451	0.0048462	0.034929	-0.0069859	0.0068858	0.011838	0.0097434	0.029877	0.018662	0.0029492	0.020351								
1.2133	0.34895	0.37081	0.32030	0.32047	0.11894	0.15718	0.12674	0.15326	0.096633	0.061634	0.082654	0.082506	0.057510	0.051112	0.046076	0.065348	0.063482	0.066735	0.059840	0.046976	0.021715	0.022326	-0.0016273	0.031401	-0.0034057	0.0051311	-0.00058667	0.0088401	0.028039	0.033807	0.012525	0.022760								
1.2422	0.38579	0.40385	0.35959	0.35860	0.12240	0.16388	0.12580	0.18355	0.10509	0.067331	0.088244	0.089223	0.051602	0.059872	0.045755	0.075480	0.049865	0.066220	0.055931	0.050849	0.029189	0.033777	0.0019356	0.041984	0.0052076	0.0090061	-0.00040917	0.014862	0.025282	0.025393	0.0074411	0.029408								
1.2711	0.42987	0.43672	0.38382	0.39878	0.13274	0.17950	0.13583	0.17995	0.10830	0.063733	0.098088	0.10029	0.056781	0.073326	0.059805	0.092175	0.068820	0.070433	0.061446	0.058776	0.035643	0.030502	0.013728	0.041338	0.011278	-8.4189e-05	0.013816	0.016192	0.037814	0.018962	0.0083826	0.038518								
1.3000	0.45736	0.47520	0.43218	0.42254	0.14964	0.19352	0.15336	0.19945	0.10321	0.074002	0.10506	0.11163	0.062060	0.067814	0.056009	0.10331	0.071538	0.082042	0.079944	0.073301	0.042389	0.035403	0.0079575	0.041730	0.0028726	0.014611	0.016098	0.016292	0.048175	0.024882	0.012686	0.037287								
1.3289	0.49989	0.50458	0.46416	0.47982	0.14543	0.20149	0.15329	0.22109	0.11794	0.084172	0.12710	0.10494	0.078427	0.077008	0.077749	0.10396	0.078013	0.091357	0.075732	0.065442	0.036371	0.037756	0.013854	0.047725	0.0011604	-0.0081265	0.012624	0.024196	0.046114	0.038585	0.00098562	0.029932								
1.3578	0.53567	0.54432	0.50543	0.51522	0.19009	0.20902	0.18622	0.23231	0.13015	0.090468	0.11661	0.12760	0.081443	0.091111	0.078833	0.099528	0.079075	0.094235	0.083155	0.064383	0.038870	0.045156	0.019249	0.048855	0.010370	0.0076900	0.024162	0.030118	0.035141	0.044866	0.0033526	0.052758								
1.3867	0.57001	0.59248	0.54241	0.53753	0.18770	0.22790	0.19477	0.23667	0.14175	0.097090	0.13707	0.12255	0.088282	0.098909	0.082013	0.11081	0.083326	0.10322	0.085435	0.066095	0.042268	0.055467	0.026600	0.048924	0.0065047	0.020070	0.030958	0.027408	0.051099	0.034559	0.015780	0.054799								
1.4156	0.59476	0.61440	0.57197	0.57139	0.21166	0.24681	0.19138	0.26353	0.15112	0.10766	0.15119	0.14186	0.079960	0.093711	0.091675	0.12992	0.089702	0.10561	0.092695	0.088501	0.053090	0.053744	0.026249	0.063034	0.011719	0.022751	0.025937	0.029039	0.050904	0.046819	0.012686	0.048936								
1.4444	0.64814	0.66597	0.60434	0.59948	0.19965	0.25970	0.21064	0.27924	0.15695	0.11081	0.14832	0.13783	0.094290	0.10488	0.10124	0.11594	0.10208	0.10863	0.094184	0.079764	0.071968	0.058936	0.022335	0.053581	0.018231	0.031939	0.033189	0.035236	0.053689	0.051297	0.013305	0.048072								
1.4733	0.66156	0.70715	0.63264	0.63860	0.22217	0.27204	0.22228	0.28677	0.17893	0.12305	0.15725	0.14158	0.12453	0.11441	0.10964	0.13383	0.10589	0.11469	0.10486	0.092150	0.064761	0.053720	0.033325	0.057962	0.024172	0.043003	0.035091	0.027207	0.055638	0.057518	0.022423	0.064956								
1.5022	0.70557	0.72903	0.66493	0.67365	0.24323	0.28603	0.23092	0.30133	0.18323	0.13230	0.17347	0.15477	0.12436	0.11949	0.10868	0.13639	0.10801	0.11544	0.10568	0.097982	0.076117	0.067622	0.034328	0.071865	0.027311	0.013783	0.039249	0.036265	0.058925	0.065271	0.026135	0.065951								
1.5311	0.73622	0.74193	0.69547	0.67646	0.23610	0.30763	0.25879	0.31455	0.19242	0.12577	0.18760	0.17305	0.13756	0.13554	0.12037	0.15912	0.11525	0.13014	0.11882	0.10059	0.073278	0.066287	0.046322	0.077929	0.024976	0.030379	0.041886	0.045448	0.069508	0.061514	0.025140	0.072730								
1.5600	0.76186	0.77555	0.72236	0.70854	0.25862	0.32450	0.27041	0.33852	0.21277	0.15031	0.19835	0.18061	0.13768	0.13544	0.12433	0.15867	0.11839	0.13332	0.11710	0.10618	0.085507	0.077035	0.037691	0.079773	0.031903	0.025018	0.050609	0.035889	0.070148	0.071281	0.025140	0.063071								
1.5889	0.76897	0.79977	0.77004	0.75541	0.29732	0.33622	0.28503	0.34793	0.22330	0.15903	0.20884	0.18673	0.14407	0.13718	0.13200	0.17084	0.12477	0.14760	0.12969	0.11507	0.093054	0.084459	0.048254	0.080373	0.023524	0.051508	0.055148	0.054356	0.066416	0.069598	0.039181	0.077259								
1.6178	0.80110	0.82432	0.77633	0.78003	0.31866	0.35474	0.30627	0.36633	0.22253	0.17220	0.21589	0.19895	0.14437	0.15227	0.13212	0.16897	0.12783	0.14165	0.13053	0.12023	0.089924	0.090864	0.054226	0.086183	0.038597	0.047755	0.051345	0.047456	0.091398	0.069658	0.041736	0.082128								
1.6467	0.80847	0.83414	0.80152	0.79555	0.33959	0.38369	0.31240	0.38482	0.23591	0.17545	0.23592	0.20857	0.16343	0.16784	0.13774	0.19165	0.13544	0.16272	0.13565	0.12152	0.097688	0.098773	0.063961	0.096835	0.055252	0.069397	0.061868	0.053628	0.074771	0.086457	0.029040	0.085609								
1.6756	0.82130	0.85420	0.83617	0.80046	0.36755	0.39574	0.34039	0.40671	0.24483	0.19046	0.24787	0.21755	0.16926	0.16016	0.16520	0.18731	0.14822	0.16592	0.15075	0.14244	0.10608	0.10649	0.064664	0.084800	0.062854	0.064279	0.064302	0.058671	0.085744	0.085976	0.035307	0.084981								
1.7044	0.83889	0.86006	0.85280	0.80781	0.35016	0.40441	0.34341	0.42287	0.26693	0.19544	0.25022	0.23603	0.18465	0.18526	0.16988	0.20593	0.15620	0.17929	0.15359	0.14273	0.10722	0.11071	0.055681	0.090748	0.047236	0.086212	0.077462	0.070791	0.092846	0.10226	0.035092	0.099744								
1.7333	0.82969	0.87007	0.83700	0.83485	0.37229	0.43491	0.36747	0.44413	0.27674	0.21243	0.27288	0.23511	0.19329	0.19843	0.17743	0.19383	0.16191	0.16574	0.16194	0.15135	0.10975	0.10741	0.069757	0.097066	0.064125	0.068251	0.079669	0.063514	0.089281	0.096884	0.039423	0.10446								
1.7622	0.84899	0.89028	0.86596	0.83471	0.37922	0.44166	0.38340	0.45991	0.30722	0.22754	0.28942	0.25728	0.19201	0.17797	0.17555	0.22693	0.15731	0.18132	0.16080	0.14313	0.12159	0.11231	0.080145	0.10991	0.059792	0.071590	0.075434	0.071744	0.10335	0.10464	0.055239	0.10231								
1.7911	0.86512	0.88603	0.87395	0.84284	0.41518	0.47320	0.39651	0.47051	0.29481	0.22427	0.29266	0.27265	0.19850	0.19828	0.18204	0.22008	0.16374	0.19214	0.16518	0.16565	0.12807	0.12471	0.088776	0.11466	0.069314	0.086090	0.091003	0.076612	0.097831	0.096374	0.048514	0.098723								
1.8200	0.86441	0.89915	0.88218	0.84151	0.40410	0.48955	0.40818	0.48921	0.31719	0.23839	0.29627	0.26969	0.21273	0.20721	0.19438	0.22698	0.17849	0.19951	0.17786	0.16349	0.13360	0.13150	0.087497	0.11152	0.068639	0.095668	0.088949	0.078694	0.11123	0.11116	0.051258	0.12508								
1.8489	0.86357	0.89712	0.90748	0.86303	0.43331	0.50618	0.40573	0.51270	0.31808	0.23784	0.31082	0.27670	0.21931	0.21361	0.19096	0.23944	0.18773	0.19995	0.18856	0.16705	0.13142	0.13846	0.094397	0.10643	0.073672	0.094888	0.098078	0.087125	0.10747	0.10866	0.042597	0.11752								
1.8778	0.88351	0.90918	0.92148	0.85856	0.43328	0.52504	0.43526	0.52115	0.32569	0.25950	0.32796	0.29417	0.21997	0.22163	0.21672	0.25833	0.18682	0.20115	0.19563	0.17268	0.14187	0.13905	0.097533	0.11980	0.089887	0.10054	0.10515	0.090487	0.10134	0.12751	0.053948	0.12325								
1.9067	0.89296	0.89922	0.93119	0.88214	0.48486	0.53239	0.46116	0.56100	0.34707	0.28129	0.33807	0.30290	0.24481	0.23580	0.22618	0.26351	0.18129	0.21669	0.18937	0.18835	0.14304	0.13589	0.095727	0.12367	0.083764	0.11365	0.10414	0.097714	0.11209	0.11957	0.062125	0.12925								
1.9356	0.88818	0.90542	0.94617	0.89392	0.47514	0.54527	0.46488	0.55831	0.34873	0.28554	0.34848	0.31994	0.24083	0.23773	0.24092	0.27340	0.20454	0.22766	0.19964	0.19452	0.15221	0.16222	0.10293	0.12911	0.086307	0.11507	0.10553	0.093373	0.11822	0.13544	0.056718	0.14055								
1.9644	0.89221	0.91554	0.94846	0.88280	0.50159	0.57880	0.49484	0.58642	0.38230	0.28444	0.37539	0.33232	0.25501	0.25349	0.24117	0.27810	0.21037	0.24082	0.20827	0.19349	0.16582	0.15144	0.10594	0.13128	0.099123	0.11616	0.10627	0.094577	0.11958	0.13661	0.069844	0.13545								
1.9933	0.89986	0.91955	0.95342	0.90766	0.52431	0.59662	0.51208	0.58741	0.40042	0.30607	0.37569	0.35431	0.26039	0.26370	0.23907	0.28947	0.21316	0.23937	0.22688	0.19828	0.16563	0.17704	0.11086	0.13458	0.092481	0.13069	0.11537	0.10055	0.12919	0.13484	0.067800	0.14074								
2.0222	0.91122	0.93032	0.94312	0.90997	0.54193	0.61318	0.51356	0.61945	0.42044	0.31579	0.39068	0.35787	0.27201	0.26163	0.25344	0.29434	0.22078	0.24814	0.23940	0.19319	0.17213	0.15484	0.12338	0.13880	0.10167	0.13481	0.12257	0.10637	0.12824	0.14938	0.071700	0.15092								
2.0511	0.91544	0.92178	0.96073	0.90162	0.54793	0.61082	0.55341	0.62587	0.41466	0.34868	0.40725	0.37076	0.27208	0.26995	0.25359	0.32399	0.21927	0.26336	0.23149	0.22641	0.16995	0.17114	0.11720	0.13405	0.11352	0.14512	0.12932	0.11410	0.10992	0.16525	0.073287	0.14856								
2.0800	0.92789	0.94259	0.92996	0.89533	0.56204	0.63506	0.55313	0.65288	0.43804	0.36807	0.40604	0.39411	0.28712	0.28947	0.27087	0.30641	0.25159	0.26155	0.24184	0.22130	0.18851	0.18032	0.13427	0.14954	0.11754	0.12650	0.12414	0.11533	0.12306	0.15010	0.073341	0.15377								
2.1089	0.91641	0.94206	0.96851	0.91462	0.57420	0.63931	0.57036	0.66605	0.44707	0.36252	0.42704	0.38556	0.30874	0.28988	0.28413	0.32195	0.23785	0.27024	0.24703	0.21664	0.18380	0.18257	0.12182	0.15461	0.12647	0.13798	0.13284	0.12479	0.11529	0.16252	0.088054	0.15322								
2.1378	0.92999	0.93883	0.95782	0.90999	0.59782	0.68548	0.60195	0.69599	0.45347	0.37196	0.45622	0.41085	0.31480	0.29662	0.29027	0.33601	0.24660	0.27300	0.25224	0.22950	0.19237	0.19810	0.13846	0.15554	0.12719	0.13135	0.13576	0.13480	0.13532	0.17129	0.075090	0.16990								
2.1667	0.94275	0.93220	0.99723	0.91984	0.60697	0.69091	0.60094	0.67990	0.46044	0.39103	0.46381	0.41334	0.31341	0.31611	0.29643	0.34083	0.25485	0.29392	0.25264	0.24033	0.19824	0.19703	0.14465	0.16474	0.13952	0.16405	0.14504	0.13799	0.14284	0.17036	0.087463	0.16741								
2.1956	0.94317	0.94112	0.98484	0.92819	0.64419	0.69464	0.62322	0.70895	0.48254	0.40152	0.47660	0.43145	0.32845	0.32629	0.31531	0.35199	0.26249	0.29254	0.25874	0.24154	0.20557	0.20569	0.14664	0.16801	0.14426	0.14168	0.15036	0.13580	0.15089	0.17712	0.088808	0.16898								
2.2244	0.94209	0.96615	0.97998	0.92797	0.65083	0.71541	0.64255	0.72214	0.49263	0.42036	0.50734	0.44635	0.33413	0.33051	0.30040	0.37055	0.26718	0.29020	0.26621	0.24569	0.20334	0.22180	0.15238	0.16633	0.14227	0.15118	0.14651	0.12973	0.14250	0.16895	0.082164	0.17121								
2.2533	0.95136	0.95625	1.0216	0.92832	0.68435	0.73205	0.65863	0.72460	0.52429	0.42189	0.51479	0.46924	0.34223	0.33859	0.31698	0.38658	0.27391	0.29853	0.28342	0.26145	0.20851	0.21513	0.16691	0.17405	0.14979	0.15194	0.16421	0.13668	0.15002	0.18373	0.10070	0.18401								
2.2822	0.95305	0.95557	0.99323	0.93441	0.66632	0.72962	0.67904	0.74535	0.51945	0.43161	0.51271	0.47262	0.34250	0.37359	0.31748	0.39434	0.28715	0.31506	0.29948	0.26512	0.21777	0.22386	0.16601	0.16377	0.15861	0.17619	0.15739	0.13442	0.15941	0.17974	0.091040	0.19788								
2.3111	0.95658	0.96362	0.98768	0.92350	0.69559	0.74961	0.69392	0.77069	0.53225	0.46561	0.52354	0.48108	0.35771	0.35626	0.33973	0.40409	0.30030	0.32669	0.29852	0.27791	0.21928	0.22280	0.17057	0.18920	0.15609	0.15435	0.15376	0.14343	0.17570	0.19861	0.10484	0.18712								
2.3400	0.96830	0.96420	1.0160	0.94251	0.71280	0.78676	0.68746	0.77605	0.56036	0.46836	0.54798	0.48764	0.37574	0.37698	0.35593	0.40634	0.30692	0.32936	0.29685	0.27075	0.22634	0.22685	0.17316	0.18436	0.16375	0.19164	0.16740	0.15635	0.17166	0.19257	0.11568	0.18833								
