"Time (h)"	"Fluorescence intensity (a.u.) 100 nM JB6"	"Fluorescence intensity (a.u.) 100 nM JB6"	"Fluorescence intensity (a.u.) 100 nM JB6"	"Fluorescence intensity (a.u.) 0 nM JB6"	"Fluorescence intensity (a.u.) 0 nM JB6"	"Fluorescence intensity (a.u.) 0 nM JB6"
97.55500000000000	0.050	0.050	0.051	1.673	2.110	1.692
97.77833333333330	0.052	0.051	0.053	1.671	2.114	1.711
98.00000000000000	0.050	0.051	0.045	1.672	2.133	1.705
98.22166666666670	0.048	0.052	0.053	1.694	2.136	1.713
98.44500000000000	0.053	0.050	0.048	1.683	2.131	1.698
98.66666666666670	0.049	0.051	0.050	1.685	2.156	1.725
98.88833333333330	0.047	0.050	0.048	1.685	2.144	1.714
99.11166666666670	0.048	0.047	0.050	1.680	2.129	1.726
99.33333333333330	0.049	0.050	0.048	1.668	2.152	1.727
99.55500000000000	0.046	0.050	0.050	1.678	2.141	1.721
99.77833333333330	0.048	0.052	0.045	1.680	2.156	1.726
100.00000000000000	0.050	0.050	0.047	1.686	2.150	1.706
100.22166666666700	0.050	0.048	0.049	1.685	2.155	1.729
100.44500000000000	0.052	0.045	0.052	1.698	2.172	1.741
100.66666666666700	0.048	0.049	0.050	1.696	2.164	1.742
100.88833333333300	0.052	0.052	0.051	1.688	2.173	1.733
101.11166666666700	0.049	0.049	0.047	1.697	2.177	1.741
101.33333333333300	0.049	0.046	0.049	1.702	2.172	1.752
101.55500000000000	0.048	0.049	0.047	1.692	2.189	1.749
101.77833333333300	0.050	0.050	0.049	1.689	2.187	1.743
102.00000000000000	0.051	0.052	0.048	1.700	2.189	1.751
102.22166666666700	0.049	0.050	0.049	1.695	2.181	1.762
102.44500000000000	0.047	0.048	0.048	1.718	2.196	1.755
102.66666666666700	0.050	0.051	0.048	1.711	2.199	1.754
102.88833333333300	0.046	0.054	0.052	1.695	2.206	1.757
103.11166666666700	0.052	0.048	0.048	1.715	2.192	1.757
103.33333333333300	0.052	0.054	0.048	1.713	2.209	1.770
103.55500000000000	0.048	0.050	0.048	1.704	2.213	1.762
103.77833333333300	0.047	0.048	0.050	1.704	2.211	1.784
104.00000000000000	0.048	0.050	0.050	1.712	2.214	1.780
104.22166666666700	0.049	0.051	0.051	1.707	2.215	1.766
104.44500000000000	0.049	0.050	0.048	1.730	2.197	1.782
104.66666666666700	0.050	0.050	0.054	1.716	2.219	1.785
104.88833333333300	0.047	0.053	0.054	1.707	2.224	1.770
105.11166666666700	0.047	0.054	0.044	1.711	2.252	1.776
105.33333333333300	0.045	0.050	0.046	1.700	2.220	1.783
105.55500000000000	0.046	0.051	0.043	1.714	2.249	1.782
105.77833333333300	0.052	0.049	0.050	1.712	2.245	1.783
106.00000000000000	0.052	0.048	0.049	1.718	2.247	1.797
106.22166666666700	0.049	0.046	0.053	1.716	2.225	1.802
106.44500000000000	0.052	0.046	0.050	1.728	2.245	1.793
106.66666666666700	0.050	0.051	0.053	1.721	2.248	1.795
106.88833333333300	0.048	0.048	0.052	1.725	2.243	1.789
107.11166666666700	0.049	0.050	0.048	1.721	2.227	1.806
107.33333333333300	0.049	0.048	0.046	1.720	2.242	1.791
107.55500000000000	0.050	0.048	0.045	1.724	2.259	1.813
107.77833333333300	0.048	0.048	0.048	1.718	2.260	1.808
108.00000000000000	0.050	0.046	0.047	1.735	2.262	1.812
108.22166666666700	0.051	0.049	0.047	1.731	2.271	1.806
108.44500000000000	0.053	0.053	0.048	1.727	2.272	1.811
108.66666666666700	0.050	0.050	0.047	1.742	2.267	1.804
108.88833333333300	0.049	0.051	0.044	1.731	2.271	1.812
109.11166666666700	0.050	0.050	0.050	1.722	2.276	1.812
109.33333333333300	0.053	0.049	0.052	1.741	2.280	1.811
109.55500000000000	0.051	0.045	0.045	1.736	2.274	1.826
109.77833333333300	0.052	0.051	0.049	1.742	2.294	1.820
110.00000000000000	0.048	0.053	0.049	1.740	2.279	1.778
110.22166666666700	0.050	0.053	0.051	1.756	2.280	1.774
110.44500000000000	0.049	0.050	0.049	1.740	2.272	1.776
110.66666666666700	0.048	0.051	0.052	1.756	2.284	1.767
110.88833333333300	0.052	0.046	0.050	1.744	2.288	1.758
111.11000000000000	0.048	0.049	0.048	1.754	2.303	1.774
111.33333333333300	0.052	0.052	0.046	1.730	2.299	1.782
111.55500000000000	0.052	0.049	0.054	1.748	2.301	1.795
111.77666666666700	0.046	0.049	0.052	1.744	2.309	1.776
112.00000000000000	0.051	0.046	0.050	1.748	2.313	1.782
112.22166666666700	0.044	0.048	0.053	1.751	2.319	1.787
112.44333333333300	0.050	0.051	0.046	1.757	2.312	1.787
112.66666666666700	0.050	0.051	0.054	1.760	2.294	1.784
112.88833333333300	0.055	0.054	0.048	1.748	2.306	1.784
113.11000000000000	0.048	0.054	0.051	1.745	2.302	1.779
113.33333333333300	0.051	0.047	0.048	1.756	2.310	1.792
113.55500000000000	0.047	0.050	0.050	1.760	2.306	1.795
113.77666666666700	0.054	0.050	0.049	1.766	2.316	1.806
114.00000000000000	0.048	0.046	0.053	1.763	2.327	1.783
