wavelength	0% native	50% native	100% native	0.5 M	1 M	1.5 M	1.8 M	2 M	2.1 M	2.2 M	2.3 M	2.4 M	2.5 M	2.6 M	2.7 M	2.8 M	2.9 M	3 M	3.2 M	3.5 M	4 M	4.5 M	5 M
239.5	-63.8858	-160.03093	-256.17606	-358.90796	-344.92669	-404.73219	-392.43301	-381.42454	-410.24476	-400.16059	-346.53383	-358.84967	-335.35881	-307.39628	-216.80535	-211.80074	-239.23866	-211.67584	-159.83108	-160.90528	-137.68922	-220.07792	-162.82885
239	-135.79063	-234.55048	-333.31033	-481.84149	-377.85219	-428.54781	-441.40491	-449.61546	-411.81026	-407.84654	-395.131	-430.77115	-377.78558	-357.49234	-259.58186	-252.9368	-283.12268	-229.87063	-172.88803	-159.44803	-175.36952	-242.51123	-162.72059
238.5	-153.31926	-291.41651	-429.50543	-529.93903	-460.59896	-504.68283	-478.9603	-506.96446	-451.01442	-395.52238	-437.64104	-496.70543	-418.04729	-418.49695	-306.64684	-289.29309	-341.4626	-249.03138	-160.56387	-183.11375	-145.84149	-205.75524	-149.03911
238	-201.60833	-340.09695	-478.57725	-584.72327	-507.25591	-606.04074	-545.56074	-565.00461	-487.92862	-484.54781	-471.08283	-559.51703	-454.4119	-459.27494	-354.21978	-297.96996	-371.39033	-257.1087	-149.88848	-220.42766	-162.72059	-204.98082	-181.05695
237.5	-205.94677	-374.30483	-542.65457	-597.76357	-563.07271	-671.97502	-628.2742	-595.52357	-541.28892	-572.10766	-541.93011	-589.10335	-465.98662	-482.24119	-375.71212	-339.37249	-361.18959	-286.39524	-188.87613	-211.451	-181.65651	-218.70394	-225.14914
237	-244.79286	-440.49725	-636.19331	-686.21442	-665.43822	-733.84565	-671.36714	-638.99123	-628.57398	-622.48684	-609.43822	-621.91227	-516.21591	-486.97933	-423.45993	-362.82171	-351.05546	-306.78007	-222.08476	-251.30468	-212.90825	-241.17888	-219.37844
236.5	-197.86944	-449.28238	-700.68699	-714.77651	-769.74394	-785.77368	-726.70929	-694.13353	-678.56178	-670.69264	-707.17383	-658.94305	-559.85844	-543.09591	-450.88119	-423.61814	-394.06513	-308.97011	-242.36967	-285.72074	-223.3255	-240.3545	-240.80416
236	-182.83896	-462.35599	-741.86468	-799.33859	-819.22379	-856.31286	-798.53086	-777.06349	-765.62201	-741.7481	-766.08833	-729.91524	-610.62067	-583.73234	-502.32625	-437.86587	-444.3777	-318.82112	-273.9545	-324.79167	-223.09234	-246.20848	-250.47197
235.5	-196.20401	-501.9432	-807.68238	-891.87807	-898.75628	-914.66944	-873.15033	-837.77665	-878.59628	-778.27093	-825.7023	-829.08312	-673.27405	-690.35301	-552.99688	-480.86721	-447.25888	-300.22662	-297.91167	-322.21859	-223.87509	-266.41844	-242.17814
235	-242.70275	-553.03019	-863.34929	-1017.851	-979.92922	-1003.92803	-944.49725	-909.77309	-977.50602	-858.40297	-894.27628	-938.81814	-781.41859	-762.949	-590.33576	-490.07703	-487.02097	-333.41026	-325.79926	-311.89294	-217.23004	-287.86082	-247.89056
