pH	RALS	
8.39	1249.898
8.39	803.8741
8.32	1065.175
8.26	856.3468
8.21	690.4589
8.16	1378.735
8.13	781.476
8.1	743.621
8.08	821.6997
8.05	773.0085
8.04	460.8364
8.02	519.824
7.99	455.7278
7.52	2022.859
7.48	571.1001
7.44	567.7049
7.39	616.3156
7.35	492.4536
7.29	444.7516
7.26	575.3351
7.22	493.5132
7.15	1512.613
7.12	1431.917
7.09	1452.535
7.06	1762.502
6.9	1221.196
6.88	2140.876
6.9	1103.742
6.9	1881.684
6.91	3019.175
6.92	1489.375
6.91	1307.679
6.91	1924.36
6.91	1486.735
6.7	1889.824
6.71	2689.755
6.7	2037.409
6.72	2866.283
6.72	2726.568
6.73	3649.58
6.73	2632.435
6.74	2757.383
6.73	2582.135
6.54	4918.816
6.54	4941.816
6.55	5535.534
6.56	5699.46
6.56	5808.432
6.56	6886.453
6.45	11516.6
6.46	12289.86
6.47	12911.73
6.47	13859.66
6.47	14184.16
6.48	13133.27
6.35	20137.8
6.33	23053.94
6.32	24277.12
6.31	25844.18
6.29	27030.4
6.29	29118.66
6.27	30616.71
6.25	32660.14
6.24	34851.28
6.22	36955.84
6.2	38864.29
6.18	37960.18
6.17	36256.6
6.15	32476.71
6.13	27249.72
6.11	24413.09
6.1	21149.59
6.07	17846.23
6.05	17409.25
6.03	15872.03
6	13511.14
5.98	10357.46
5.95	10064.47
5.93	9203.422
5.9	7991.381
5.87	6528.671
5.83	5430.049
5.8	4736.199
5.77	4045.936
5.72	3963.357
5.68	3289.008
5.63	3291.358
5.58	2244.686
5.51	4054.894
5.46	2100.087
5.39	1848.059
5.3	1927.101
5.19	1774.11
5.08	1440.612
4.93	1630.487
4.78	3244.086
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
