time/h	3 uM CTD	3 uM CTD	3 uM CTD	3 uM CTD	750 nM CTD	750 nM CTD	750 nM CTD	750 nM CTD	187 nM CTD	187 nM CTD	187 nM CTD	187 nM CTD	Ab42 alone	Ab42 alone	Ab42 alone	Ab42 alone
0.0000	16773	15973	16492	15875	16173	15982	16283	16743	15387	16042	16441	16346	15727	15512	15748	15973
0.036111	15545	15712	16080	15870	15592	15991	16227	15898	15550	15852	16139	15944	15409	15540	15481	14863
0.072222	15872	15262	15803	15410	15523	15418	15594	16013	14885	15904	15665	15882	14890	14989	15633	14759
0.10833	15150	14763	14986	15072	15388	15483	15634	15477	14889	15143	15393	15496	15031	15240	15066	14875
0.14444	15096	14834	15255	14954	15016	15318	15232	15393	15023	15589	15421	15366	14549	14690	15205	13941
0.18056	14642	14968	14884	14989	15096	15147	15353	15526	14993	14954	15596	15186	14361	14921	15132	14634
0.21667	15143	14336	14714	14651	15110	14767	15123	15294	14858	14861	15424	15349	14801	14906	14955	14373
0.25278	14924	14538	14621	14689	14835	14736	15024	15051	14206	15435	15322	15112	14674	14957	14890	14373
0.28889	14811	14418	14477	14747	14984	15125	14691	15124	14655	14863	14808	14969	14883	14682	14814	14574
0.32500	14619	14484	14759	14232	14835	14945	14888	15005	14561	15179	14750	14886	14385	14884	15194	14282
0.36111	14351	14184	14678	14272	14575	14732	14849	14826	14327	15318	14787	14909	14817	14848	15077	14491
0.39722	14901	14278	14485	14445	14732	14947	14739	15192	14234	15227	15227	14986	14281	14795	15253	14470
0.43333	14391	14151	14592	14536	14414	14795	14790	15193	14638	14762	14956	15046	14237	14891	14881	14489
0.46944	14523	14519	14748	14454	14517	14846	15115	15371	14492	14686	14575	14947	14482	15022	15068	14571
0.50556	14761	14375	14526	14118	14712	14710	14945	14880	14513	14906	14854	14936	14538	14876	14909	14584
0.54167	14801	14083	14962	14378	14483	14211	14700	15042	14057	15012	14890	14916	14700	15014	15273	14404
0.57778	14513	14470	14752	14526	14390	14800	14910	14691	14482	15169	14702	15208	14894	15062	15245	15075
0.61389	14643	14566	14263	13985	14569	14842	14278	15040	14779	14738	14677	14927	15239	15329	15250	15094
0.65000	14137	14564	14613	14272	14850	14710	14952	15189	14298	15158	14950	15222	15716	15562	15968	15692
0.68611	14739	14081	14665	14711	14834	14761	14760	14686	14730	15123	14692	14854	15963	15778	15941	15599
0.72222	14697	14495	14390	14358	14264	14617	14598	14753	14644	15192	14906	15072	16115	16540	17172	15784
0.75833	14912	14261	14612	14660	14597	14594	14655	15019	15163	15235	14868	14999	16765	16902	17465	17063
0.79444	14417	14137	14795	14899	14479	14873	14502	14804	15043	15301	15279	15123	17554	17574	18107	17490
0.83056	14802	14179	14323	14596	14930	14788	14739	15055	15263	15308	15477	15057	18691	18011	18646	18724
0.86667	14521	13953	14651	14714	14119	14739	15007	14889	15589	15187	15505	15552	19614	19580	19471	19912
0.90278	14508	14398	14946	14720	15062	14352	14669	15183	15644	15470	15757	15591	20360	20426	21185	20797
0.93889	14847	14162	14799	14827	14719	14302	14698	15146	16256	16097	15966	15909	21835	21445	22192	22376
0.97500	14741	14191	14791	14862	14659	14735	14826	15139	16214	16233	16436	16436	22849	23115	24403	23873
1.0111	14332	14421	14708	14717	14428	14691	14660	14975	17029	16309	16528	16597	24970	24724	25393	25623
1.0472	14537	14127	14679	14928	14768	14850	15156	15591	17147	17171	16617	17359	26768	26729	28402	28039
1.0833	14720	14371	14547	14685	14560	14634	14892	15194	18185	18155	16849	17542	29325	29005	30209	31033
1.1194	14596	14358	14638	14389	14798	14846	14803	15523	18316	17813	17661	18480	31994	30851	32686	33083
1.1556	14673	14149	14780	14285	14795	14770	15217	15580	18531	18227	17884	18774	34971	33822	36141	35976
1.1917	14534	14386	14270	14868	14433	14716	14709	15879	19138	18753	18902	19002	37115	36931	39130	38876
1.2278	14658	14366	14669	14479	15248	14913	15001	15974	20086	19230	19301	19436	40492	40426	42699	42349
1.2639	14571	13927	14534	14326	15487	15186	15157	16067	20675	19580	19393	20070	43895	43503	46424	44696
1.3000	14531	13755	14903	14626	15301	15422	15446	16705	20822	20221	20197	21039	47276	47094	49231	47367
1.3361	14624	14247	14935	14585	15521	15374	15618	16523	21954	21049	20439	21348	50098	50219	54228	52679
1.3722	14603	14474	14511	14591	15924	16113	15698	16669	21984	22105	21356	21923	52973	54043	57364	54728
1.4083	14910	14213	14967	14390	15898	15918	15787	16910	22904	22270	22169	22852	56347	57246	59380	56810
1.4444	14797	14466	15041	14519	15934	15901	16029	17615	23547	23544	22940	23710	59189	60978	66003	60909
1.4806	14488	14493	14842	14584	16046	16397	16613	17601	24606	23254	23760	23834	62195	64041	67906	63466
1.5167	14478	14671	14798	14156	16243	16217	16834	17249	24524	24344	23925	24501	64661	66362	69498	66368
1.5528	14882	14486	14801	14528	16959	16645	16902	17847	25521	25253	24594	25319	67195	69673	76274	68948
1.5889	14802	14047	14336	14793	16928	16763	16897	18018	25451	25502	25294	25912	70055	71972	77018	70126
1.6250	14698	14569	14505	14705	16908	17196	17425	18531	26912	26719	25701	26716	70902	72286	75352	72160
1.6611	14475	14311	14948	14370	17713	16984	17616	18332	27597	27464	27112	27520	73724	75397	81227	72633
1.6972	14480	14314	14496	14610	17499	17415	17643	18283	28459	27826	27368	28122	74466	77665	81339	76088
1.7333	14593	14263	14781	14233	17909	17606	18233	18828	29469	28412	28743	29101	77256	77804	80212	77003
1.7694	14777	14368	14729	14755	17901	17834	18125	19200	30308	29290	29299	29923	77571	78479	82470	77062
1.8056	14424	14324	14899	14677	18026	18235	18096	19619	31388	30637	30389	31388	80441	80831	87313	79750
1.8417	14729	14516	14334	14503	18279	18461	18220	19710	31685	31562	31329	31831	82447	81335	88758	80613
1.8778	14992	14510	14518	14799	18568	18910	18925	19711	32487	32098	32355	32988	81573	82381	85710	80559
1.9139	15175	14553	14718	14668	18576	18914	19297	20058	33643	33190	33516	33929	84978	83017	92343	83011
1.9500	14689	14184	15244	14780	19227	19018	19273	20070	34533	34139	33379	34925	82516	83781	89689	82713
1.9861	14686	14241	14853	14863	19441	19524	19144	20558	35673	35583	34880	36098	82827	84798	89198	83229
2.0222	15023	14278	14684	14579	19504	19380	19862	20529	36815	36506	35938	37467	87597	83986	90583	84534
2.0583	14789	14392	14695	14982	19645	19808	19783	20798	37069	37648	37303	38006	84652	84622	92268	82390
2.0944	14730	14279	14602	14820	19933	19982	19781	21098	38560	38725	38143	39664	85939	85086	89342	83263
2.1306	14543	14631	14790	14588	20531	20215	20113	21179	39431	38888	39113	39989	84834	84931	91764	83879
2.1667	14804	14230	14519	14580	20150	21230	21022	21768	40189	40941	40584	40768	85167	85952	95109	84122
2.2028	14901	14318	14558	14969	21232	20975	20811	21788	41890	41968	41793	42597	88659	87639	93986	83782
2.2389	14528	14261	14623	14910	21177	21293	21170	22113	42092	43037	42833	43549	85831	85145	92254	84500
2.2750	14859	14142	14551	15012	21415	21236	21140	21904	43425	43838	43351	44442	85081	84681	93323	83819
2.3111	15045	14525	14647	14675	21698	21940	21424	22649	44913	45200	45390	45181	88957	86339	94709	87702
2.3472	14762	14314	14908	14873	21479	21880	21862	22461	45299	45398	45613	46485	85827	85522	93567	85759
2.3833	14466	14356	15235	14984	21796	22453	22024	22634	45896	47001	47430	47429	88778	84405	92485	84425
2.4194	14958	14271	14731	15000	21943	21954	21985	23045	46457	47498	48120	48305	89336	86278	94863	84972
2.4556	15074	14394	14645	15325	22108	22683	22502	23199	47416	48999	48792	49428	86629	86089	93217	86104
2.4917	14977	14310	14978	15272	22362	23112	22576	23122	48032	49966	49648	50390	84766	85554	93723	85255
2.5278	15046	14741	14719	15075	22913	23069	23167	23452	48137	50504	50359	50965	87460	85481	93740	84505
2.5639	14954	14624	14575	15126	23298	23360	23364	23929	49619	52590	51920	52125	87260	84493	96009	84378
2.6000	15342	14484	14985	15470	23263	23629	23649	24083	50290	52521	51918	52007	86134	85130	94441	84443
2.6361	15117	14079	14293	15010	23653	23756	23690	24913	51044	52942	52674	53361	85671	84667	91874	84397
2.6722	15189	14594	14696	15265	23981	24373	24029	24582	51211	54388	53626	53505	88018	83894	94348	85593
2.7083	14861	14559	14758	15607	24596	24604	23593	24676	51556	54720	54175	54145	87722	85241	96303	85847
2.7444	15689	14264	14625	15223	24121	24493	24346	25016	52055	55151	54209	54058	87132	84427	92216	85897
2.7806	15432	14423	15378	15577	24843	24854	24237	25646	52492	55180	54863	55180	87343	85066	94122	86160
2.8167	15037	14546	15371	15223	24790	25281	24730	25817	52709	55952	56036	55619	87582	84539	95669	87927
2.8528	15224	14737	15202	15675	25052	25564	25196	26448	53200	56083	55514	55765	87532	84792	93103	87244
2.8889	15648	14633	14782	15644	25091	25681	25369	26393	52919	56700	56547	56234	87831	84313	93207	86833
2.9250	15109	14788	14938	15939	25829	25926	25867	26261	53887	56632	56567	56424	87194	84968	95753	87395
2.9611	15293	14928	14909	15859	26264	26012	26076	27048	54452	57494	56899	57003	87122	83916	93825	86291
2.9972	15267	14702	15252	16076	26273	26608	26040	26938	54167	57068	57063	56340	86004	83653	94725	85689
3.0333	15286	14639	15132	16040	26760	26537	26377	27389	54508	58263	56982	57493	88027	84420	96972	87193
3.0694	15514	14616	15206	16258	26841	27582	26473	27486	54817	58197	57161	57385	87445	83162	94556	87008
3.1056	15790	14911	14985	16387	27098	27552	26952	27832	54060	57799	56817	56325	86054	82958	94851	86536
3.1417	16068	14921	15221	15983	27247	28075	27143	28063	54280	57959	56502	56823	86908	82513	94640	85940
3.1778	15873	14891	15172	16241	27435	27768	27610	28021	54839	57542	57006	56893	86852	82902	96123	87003
3.2139	15583	14949	15108	16394	28176	28217	27771	28225	54490	58220	57184	57845	85490	82551	95374	87170
3.2500	15827	14928	15525	16790	28380	27804	27630	28790	54517	57767	56186	57803	85873	82937	93790	86220
3.2861	15968	14960	15197	16325	28705	28926	28358	28990	55502	58494	56957	57486	85064	83101	95021	86934
3.3222	16119	14820	15386	15973	28377	29023	28529	29322	55177	57567	57421	56862	86261	82828	94462	86895
3.3583	15913	15403	15995	16654	28872	29958	29119	30211	54920	58015	56954	57835	85742	83166	95700	87394
3.3944	15795	15531	15304	16803	29255	29936	28810	29495	54986	58644	56514	58161	85278	83730	93749	86172
3.4306	16136	15658	15539	16653	29437	29698	29041	30115	55381	59093	57449	57929	86230	82014	93932	85768
3.4667	16266	15547	15705	16842	29561	30107	29546	30058	54555	58861	56838	58284	85161	83562	95506	85816
3.5028	16586	15355	15864	16839	29731	30899	30012	31041	55246	58745	56844	57751	84049	84305	93230	86314
3.5389	15965	15349	15597	16738	30236	30991	30260	31249	54612	58785	56493	57118	85300	84331	93950	86235
3.5750	15856	15244	15530	17164	30351	31114	30901	31567	55684	58459	57788	58122	85300	83898	94534	85032
3.6111	16302	15218	15636	17142	30539	31319	31267	31209	55245	58450	57504	56965	84533	83541	94715	85161
3.6472	16027	15627	15840	16998	31076	31290	30634	31691	54744	57743	57004	57895	84516	84764	93827	85318
3.6833	16412	15745	15761	17228	31059	31592	30997	31633	55353	58891	57422	57837	84646	83831	93738	86610
3.7194	16405	15775	15986	17389	31766	32268	31094	32645	55543	59023	57358	57673	84199	83904	93664	87011
3.7556	16461	16041	15947	17364	31582	32475	31753	32899	54758	58460	56976	57768	84738	84326	93906	86354
3.7917	16494	15765	16075	17781	32438	32936	32236	32797	54615	59054	57266	58127	83742	84601	93793	86151
3.8278	16521	15808	16106	17360	32516	32704	31921	32939	54784	58559	57064	57849	84110	84106	94334	85313
3.8639	16851	15838	16137	17253	32401	33443	32563	33520	55242	58995	57448	57955	84675	84369	94723	86055
3.9000	16716	16109	16606	17701	33436	34030	32979	33674	54729	57843	57995	58188	84467	84516	94642	85675
3.9361	16682	16406	16365	17506	33123	33452	33053	33843	54958	57890	57112	56702	84436	84855	94343	85791
3.9722	16559	16146	16422	17327	33360	34236	33807	33755	55039	58548	55949	57115	84662	84224	93762	85079
4.0083	16643	16061	16539	17839	34253	34513	33248	34437	54310	57619	56885	57208	84688	84891	94204	85511
4.0444	16904	16140	16437	17940	34260	35034	33651	34601	54656	58240	57582	57938	84590	85348	94380	86236
4.0806	16911	16356	16234	17686	34515	34109	34165	35170	54442	57950	56948	58130	84245	84357	94600	85917
4.1167	17001	16317	16681	17795	34147	35668	34082	35640	54640	57743	57157	57851	84430	85537	94357	85116
4.1528	17213	16452	16402	17812	34433	35854	34862	35263	53967	58324	57216	57259	84886	84876	94354	85648
4.1889	16918	16602	16750	18142	34970	35624	34756	35646	54916	58345	56734	57832	84511	85816	94788	86103
4.2250	17072	16924	16750	17898	35851	36204	35396	35796	54907	59084	57635	57957	84966	85900	94786	85481
4.2611	16897	16735	16833	18618	35332	36611	35460	36797	54815	58341	57936	56686	85181	84550	94826	86213
4.2972	17184	17098	16632	17864	36060	36895	36294	37273	55117	57970	56993	58568	85273	84973	94578	85764
4.3333	17291	17023	16876	18400	36234	37158	35757	36705	55076	58335	57529	57893	86662	85230	94253	84940
4.3694	17376	16970	16732	18232	36123	37122	36930	37346	54282	58195	57325	57885	85867	85691	94685	84982
4.4056	17546	17003	16809	19045	36757	37192	36406	37952	55090	58492	57755	57273	85091	85395	95520	84819
4.4417	17318	17000	17167	18327	36613	37938	36864	37940	55040	57977	57392	57758	84577	84672	95833	85546
4.4778	17128	17291	17087	18896	37274	37576	37194	38642	54917	58701	57149	57607	84315	86316	94874	84686
4.5139	17608	17134	17164	18723	37971	38022	37138	38216	55474	57586	57255	57065	85598	85999	95019	86103
4.5500	17450	17110	17164	18536	37826	38923	37723	38904	55202	58713	56769	58042	85730	85922	95321	84646
4.5861	17564	17226	17053	18738	38029	39591	37827	39127	54371	58139	56992	57550	85396	85839	95012	85790
4.6222	17644	17154	17191	18643	38498	39544	38195	39274	54325	58294	57768	58314	85974	86071	95858	85182
4.6583	17450	17541	17145	18859	39200	39157	38704	39345	54458	57857	56748	58295	85105	85745	95889	85829
4.6944	18103	17705	17401	18407	38132	39849	38588	39063	55524	58409	56882	56825	85404	85836	95810	85486
4.7306	17722	17319	17259	18775	38858	40125	39492	39634	54323	57863	57732	58265	85262	86319	96194	86376
4.7667	18003	17832	17561	18907	38610	40922	39565	40510	54514	58327	57333	57575	85501	85690	95676	85753
4.8028	17747	17678	17596	18898	39483	40984	39714	40910	55172	58744	57495	57207	85661	86920	96060	86247
4.8389	17363	17680	17398	19050	39278	41185	40111	40658	54197	57845	57439	57389	86227	85876	96946	85543
4.8750	17983	17721	17775	18927	39756	40830	40966	41434	55388	58006	57265	57850	85514	86665	96218	85143
4.9111	17976	17552	17305	19325	40042	41354	40466	41110	54618	58705	57889	57235	86224	86976	95709	86387
4.9472	17714	17752	17408	19423	40157	41647	41128	41465	54337	58639	56564	58056	86494	86291	96991	85350
4.9833	18203	17493	17971	19385	40186	42084	41398	41204	54532	57611	57617	57808	85849	86414	96542	85352
5.0194	18143	17867	17889	19396	40804	42037	41508	42733	54722	58461	57159	57813	86023	85654	95506	86370
5.0556	18397	18057	17930	19578	41440	42218	41605	42606	54361	57762	57201	57876	86447	85984	96380	87339
5.0917	18357	18197	17772	19441	41273	43247	41912	42108	54966	58081	57133	57957	85896	85551	96860	86356
5.1278	17909	17867	18087	19196	41336	42560	42071	42676	54603	58705	56725	56709	86344	87346	96794	87088
5.1639	18204	18139	17809	19583	41233	42869	41971	42651	54391	57732	57547	57873	85707	85865	96895	85992
5.2000	18401	17728	18307	19611	42056	43618	41893	43327	55022	57731	57303	57071	86749	85538	95805	86659
5.2361	18616	18382	17902	19959	42544	43879	42816	43385	54265	58104	56944	56981	85814	86008	96437	87520
5.2722	18382	18530	17907	19823	42606	44107	43380	44212	54404	58263	57735	57576	87769	86301	97125	87211
5.3083	18311	18752	18007	20052	42953	43966	43175	43657	54650	58217	57317	57158	86191	86429	96554	86559
5.3444	18223	18330	18118	20163	42128	44785	43457	44126	54965	58287	56928	57922	86038	86067	95461	85788
5.3806	18585	18807	18408	19948	43532	44153	44280	44421	54745	58355	57904	57561	87264	86234	96239	86490
5.4167	18590	18971	18572	20193	42805	44315	43901	44449	54128	57480	57898	57817	86549	87223	96342	87264
5.4528	18649	18753	17935	19955	43095	44239	43888	44639	55733	58464	57744	57593	85570	87012	97340	86937
5.4889	18685	18539	18548	19920	43653	44672	44660	45061	53964	57883	57265	57492	86921	86648	97074	86992
5.5250	18638	18815	18524	20095	43871	45609	44477	44967	54910	57800	56960	58155	86812	87859	96649	86856
5.5611	19061	18900	18600	20050	44447	44625	44761	45670	53901	58361	57626	57391	87164	88029	96713	86542
5.5972	18838	19062	18583	20485	44181	45306	44398	45754	54671	57958	57215	57960	86472	86815	97544	87162
5.6333	18676	18668	18387	20406	45084	45688	45973	46325	54041	57715	57106	57455	87177	86728	97497	86603
5.6694	19040	19201	18866	20478	45309	45722	45274	45549	55337	58762	57205	58279	86591	87476	96892	87614
5.7056	19240	18863	18767	20164	45129	45445	45275	46402	54698	58068	57464	57629	87205	87731	97824	87146
5.7417	18784	19523	18653	20468	44906	45902	45185	46340	54734	58551	57166	57909	87388	87111	97752	87398
5.7778	19053	19393	19182	21152	44204	46438	45959	46143	54640	58988	56897	57424	87723	87975	98509	86649
5.8139	18878	19172	18968	20539	46112	46564	46174	46664	55078	58553	58051	57896	87195	87773	98191	87396
5.8500	19079	19175	18844	20575	45992	45944	47094	46813	54548	58337	57820	57958	88157	87930	97378	87481
5.8861	19243	19471	18968	20754	45833	46572	45707	46658	54534	57900	57394	58643	87297	87586	98319	87294
5.9222	19134	19534	18630	20794	46512	46086	46544	47736	55298	58603	57480	58285	87431	87303	97413	86890
5.9583	19146	19378	18897	20819	46149	46390	47023	47319	55220	58103	57565	57912	88196	88009	98696	87526
5.9944	19300	19558	18960	20851	46210	45928	46771	47037	54860	57535	57699	57637	87777	87623	98746	87424
6.0306	19211	19402	19151	20735	46376	46625	46874	47444	55199	58542	57544	57615	87515	87557	97404	87494
6.0667	19471	19948	19006	21072	46882	47077	46181	47084	55321	58079	58262	56977	87755	87288	97535	87971
6.1028	19632	19472	19263	21079	47187	46948	46967	46952	55248	58237	57945	57722	88675	87774	98752	87927
6.1389	19771	19606	19082	20447	46726	46071	46517	47442	54751	58377	58089	58072	88133	88534	98468	87145
6.1750	20021	19743	19197	20893	46442	46908	47084	47207	54638	58354	57671	57837	88415	87430	97073	87923
6.2111	19636	19820	18909	21021	46536	47022	47169	48148	54224	57419	56884	58254	87148	88063	98551	87799
6.2472	19497	19415	19131	21754	47372	46395	46798	48060	54653	58644	57239	58126	88119	88173	98106	87242
6.2833	19494	20112	19421	21511	46297	47078	47117	47684	55775	58437	57592	58368	88720	87272	98402	87911
6.3194	19696	20216	19271	21348	46576	47056	48031	47662	55001	58099	57638	58388	87590	88528	99201	87374
6.3556	19808	20400	19598	21394	46771	47375	47362	47515	55628	58469	57495	58475	87835	87977	98156	87403
6.3917	20040	19918	19513	21350	47470	46659	47112	48024	54812	58238	58110	57983	88697	88752	98406	88819
6.4278	20148	19916	19184	21295	47402	46920	47451	47862	55118	57633	56995	58010	87549	87442	98048	87898
6.4639	19740	20102	19433	21248	47355	47256	47680	47669	54121	59004	57696	58018	87664	89132	99114	87417
6.5000	20062	20553	19707	21651	47476	46587	47135	48453	54718	58381	58243	59008	88677	88905	99127	87007
6.5361	20432	20169	19875	22007	47650	46283	48298	47284	55270	57659	57613	58583	87926	88270	98979	87973
6.5722	20122	20174	19683	21811	47552	46700	47710	47379	55003	58272	57609	58317	88105	87714	98570	88451
6.6083	20024	20108	19273	21977	47886	46873	47645	47878	53903	58886	57338	58088	86822	88438	98536	89755
6.6444	20100	20311	19640	22078	47109	46883	47916	48022	54122	58424	58318	57518	88816	89051	98342	88726
6.6806	20236	20291	19567	21682	47364	47118	47405	48064	55052	59155	57496	58106	88057	88459	99631	88533
6.7167	20184	20596	20165	22042	47209	46769	47107	47792	54404	58873	56859	57685	88446	88056	99083	88260
6.7528	20457	20653	19658	21852	47088	47078	47298	47951	54534	58089	58468	58258	88703	87982	99286	87744
6.7889	20134	21034	20191	21975	47557	46160	47641	48124	54402	57303	57156	58404	89192	88876	98929	88590
6.8250	19929	21231	19992	21877	48038	46900	47144	48101	54887	58743	57549	58568	87760	89026	1.0061e+05	89403
6.8611	20412	20646	20113	22244	47376	46306	47364	48341	54565	57457	57972	57428	88957	88554	99121	87847
6.8972	20445	21043	20104	22180	47547	47462	47141	48303	54429	57706	58610	57509	87696	88686	98673	87857
6.9333	20500	20547	20215	21951	48020	46959	47201	47899	54703	58075	57696	58020	88918	89238	99237	88888
6.9694	20552	20872	19796	22156	47939	46859	47333	47909	55258	58532	57957	58579	88014	89910	98464	87442
7.0056	20328	20959	20067	22727	47992	46803	47074	48503	55602	58935	58188	58793	87944	88589	98994	88394
7.0417	20493	21081	20070	22491	47627	47047	48089	47998	55203	58126	57772	58415	88441	89476	1.0022e+05	88963
7.0778	20735	21447	20680	22771	47858	46959	48185	47761	54875	58187	57854	58907	88676	88043	98382	87930
7.1139	20751	21217	20063	22318	47462	46587	48108	48017	55140	58487	57921	58655	88336	89158	99761	88812
7.1500	20526	21547	20556	22806	47579	46773	47475	47933	55092	59167	58070	58026	88282	88458	99424	87941
7.1861	20582	21255	20398	22644	47323	47229	47202	47297	55117	58469	58104	57849	88686	88267	99206	87584
7.2222	20189	21428	19971	22948	47115	46414	47710	48100	53790	59272	57956	57868	88124	89084	99316	88714
7.2583	20590	20866	20314	22898	47527	45797	47301	48011	54888	58852	58202	57831	88210	89509	99311	88416
7.2944	20690	21186	20584	22918	47445	46852	47343	47901	55144	58828	58377	57421	87538	90356	1.0012e+05	88572
7.3306	20635	21276	20619	23018	47704	46788	48294	48163	55342	58379	58387	58597	88834	88736	99204	88634
7.3667	21215	21793	20455	23013	47718	46804	47755	47862	55138	58740	58076	58451	88917	89133	99744	87904
7.4028	21100	21895	20595	22849	47780	46752	47945	47804	55279	59152	58320	57841	87815	90125	99727	87890
7.4389	20876	21655	20608	23629	47635	46507	47242	48055	54899	58145	58017	58106	89949	89699	99475	89011
7.4750	21004	21920	20775	23308	48182	46980	47730	47248	54771	58247	57879	58224	89055	88981	1.0013e+05	88387
7.5111	20841	21578	20993	23227	47399	46812	47407	47331	55263	59011	57463	58064	89437	89896	1.0040e+05	88288
7.5472	21060	21903	20705	23052	46868	47000	47148	48416	55260	58630	58168	58580	88264	89485	99990	88385
7.5833	21218	21556	20377	22780	48233	46879	47020	47678	55575	57748	57879	58268	89043	89077	1.0029e+05	88192
7.6194	20999	21531	20808	23467	47239	46804	46875	47223	55209	58372	57991	58332	90175	89361	1.0057e+05	88532
7.6556	21281	22197	21201	23062	47788	46499	47492	48187	54470	59154	58506	58453	88912	90105	1.0137e+05	88697
7.6917	21313	21988	20668	23559	47655	46284	47094	48784	55430	57904	58426	59153	88713	89391	1.0023e+05	89134
7.7278	21275	22297	20876	24030	48068	46541	46868	47608	55824	58377	56967	57608	88821	89594	1.0009e+05	88071
7.7639	21445	22174	21306	23861	47403	46363	47529	48374	55292	58917	57842	58148	89495	89589	1.0028e+05	89693
7.8000	21436	22569	20997	23567	47419	47002	47299	48080	55629	58238	57945	58563	89111	89687	1.0075e+05	88948
7.8361	21339	21832	21312	23560	47576	46385	47488	48343	54003	58130	58218	58397	89374	90099	1.0009e+05	88466
7.8722	21532	22542	21067	23636	48121	46473	46630	47569	55227	58967	57706	58549	89269	88822	1.0047e+05	88745
7.9083	21568	22433	21016	23317	47431	46222	46862	47585	54899	58488	57864	58469	88531	89122	99218	88480
7.9444	21436	22135	21419	23906	47744	46878	47457	47094	55096	58697	57413	57909	89748	89578	1.0021e+05	88545
7.9806	21616	22415	21515	23703	47551	45292	46970	47839	55581	58501	57943	57997	88778	90159	99788	90630
8.0167	22137	22187	21628	24065	47500	46415	47797	47626	56109	58165	57977	57960	89435	90745	1.0020e+05	89707
8.0528	21609	22686	21506	23785	47239	46766	48005	47138	54843	58592	57887	58403	89846	90361	1.0018e+05	88641
8.0889	21388	22364	21374	24132	47819	46388	47127	47431	56133	58770	58665	58414	90114	90644	1.0053e+05	88769
8.1250	22190	22820	20947	23827	47509	46785	47145	47652	55420	58123	58679	57927	89519	90275	1.0029e+05	89148
8.1611	21534	22902	21194	24230	46787	46414	47733	47804	55506	58629	58100	58184	90295	90080	1.0050e+05	89413
8.1972	21577	22762	21869	23826	46948	46422	47391	47552	55581	59259	57760	58282	89833	88936	1.0039e+05	89013
8.2333	22068	22951	21346	24277	47837	46517	47295	47595	54915	58625	58125	58143	88775	90337	1.0090e+05	89483
8.2694	22069	22874	21410	24178	47880	46518	47450	47518	54886	58707	58323	58928	89703	89387	1.0056e+05	89947
8.3056	21784	22411	21424	24105	47514	45632	47308	47392	55235	59205	57239	58674	89526	90573	1.0094e+05	89890
8.3417	21887	23233	21677	24106	46506	47177	47657	47491	55031	58649	57385	58822	89619	90862	1.0076e+05	90014
8.3778	21855	23228	22110	24398	47286	46741	46573	47730	55032	58797	58125	59183	89606	90665	1.0132e+05	89500
8.4139	22080	22736	21379	24767	47152	46424	47045	48146	54657	58937	58688	58384	89518	89561	1.0092e+05	90581
8.4500	21869	23236	21542	24280	47856	46698	46978	47078	54933	58468	58417	57880	90130	89251	1.0156e+05	89839
8.4861	22170	23513	21700	24443	47820	46399	47168	48170	55058	59136	58506	59742	89178	90386	99851	89202
8.5222	22272	23241	21499	24431	46905	46604	47727	47564	55949	57924	58223	59227	90020	89195	1.0171e+05	89284
8.5583	22124	22987	21981	24549	47532	45896	47128	47160	54838	59044	58269	58705	89832	91003	1.0066e+05	89585
8.5944	22422	22836	21973	24348	47089	46644	47271	47561	54339	58702	58807	58289	89664	91483	1.0100e+05	89836
8.6306	22210	22899	21938	24634	47042	46284	47341	47519	54849	58324	58472	59319	89884	89776	1.0018e+05	90212
8.6667	22189	23553	21700	24825	46981	45555	46933	47182	55910	58095	58922	59078	91212	90865	1.0147e+05	89416
8.7028	22466	23121	22000	24249	47022	46952	47234	47499	55218	58786	58306	58451	90891	91690	1.0190e+05	89378
8.7389	22577	23366	21636	24787	47405	46016	47250	47153	56000	58792	58557	58080	90563	90264	1.0081e+05	89057
8.7750	22764	23384	22091	24496	47212	46617	46691	47274	55128	59065	58798	58438	89790	90954	1.0222e+05	90267
8.8111	22522	23265	22343	25162	48144	46764	47164	47358	54791	59436	58425	58865	90946	90433	1.0180e+05	89521
8.8472	22516	23515	22366	25047	47929	46269	46634	48146	55465	59234	58657	58147	89521	89688	1.0090e+05	89819
8.8833	22306	23555	21708	24822	46642	46031	47071	47443	55452	58671	58043	58745	90057	90543	1.0149e+05	89437
8.9194	22700	23553	22246	25366	47468	46507	46614	47013	55349	59160	58945	58614	89296	91397	1.0086e+05	89985
8.9556	23063	23721	22268	24418	46915	46478	46191	47080	55363	58974	57664	58826	89726	90657	1.0108e+05	89898
8.9917	22814	23365	22206	24939	46745	46166	47396	47923	54937	58429	59142	58707	89588	90252	1.0054e+05	89269
9.0278	22979	23910	22479	24984	47643	45718	46718	46891	56020	59300	57945	58771	89121	90154	1.0256e+05	90174
9.0639	23032	23563	22318	25660	47375	46071	47084	47564	55495	59177	57534	58324	91382	91469	1.0274e+05	90430
9.1000	22793	23885	22271	25355	47502	46565	47453	46732	55499	58251	57853	58425	90161	91450	1.0249e+05	89515
9.1361	23013	24015	22330	25355	46504	46529	47360	46887	55557	58653	58698	58366	90411	89332	1.0195e+05	89527
9.1722	22778	23764	22685	25499	47287	45991	47376	47104	55637	59232	59040	58264	90695	90995	1.0243e+05	89879
9.2083	22779	23926	22474	25446	47290	45898	47100	47643	55104	58943	58600	58277	90835	91573	1.0224e+05	89927
9.2444	22841	24362	23217	25609	46958	46461	46695	47339	55469	58987	58347	58141	91359	90942	1.0239e+05	90400
