(ppm)	"Intensity (a.u.) (without JB6)"	"Intensity (a.u.) (With JB6)"
8.96281460862017	-2.30e+007	-4727808.00
8.96257012475734	-1.69e+007	-7856128.00
8.96232564089451	-9022976.00	-1.28e+007
8.96208115703168	132096.00	-1.92e+007
8.96183667316885	8620032.00	-2.64e+007
8.96159218930602	1.39e+007	-3.31e+007
8.96134770544319	1.50e+007	-3.74e+007
8.96110322158036	1.30e+007	-3.87e+007
8.96085873771753	9481728.00	-3.74e+007
8.96061425385470	5164032.00	-3.45e+007
8.96036976999187	557056.00	-3.03e+007
8.96012528612904	-2956800.00	-2.47e+007
8.95988080226620	-3775488.00	-1.80e+007
8.95963631840337	-1358848.00	-1.07e+007
8.95939183454054	3614720.00	-3343360.00
8.95914735067771	9764864.00	3721216.00
8.95890286681488	1.50e+007	9660416.00
8.95865838295205	1.69e+007	1.34e+007
8.95841389908922	1.44e+007	1.44e+007
8.95816941522639	8663040.00	1.39e+007
8.95792493136356	2012672.00	1.35e+007
8.95768044750073	-4365824.00	1.43e+007
8.95743596363790	-1.06e+007	1.59e+007
8.95719147977507	-1.64e+007	1.69e+007
8.95694699591224	-2.13e+007	1.71e+007
8.95670251204941	-2.49e+007	1.76e+007
8.95645802818658	-2.75e+007	1.91e+007
8.95621354432375	-2.92e+007	1.95e+007
8.95596906046092	-2.99e+007	1.45e+007
8.95572457659809	-3.01e+007	1805312.00
8.95548009273526	-3.13e+007	-1.64e+007
8.95523560887243	-3.40e+007	-3.49e+007
8.95499112500960	-3.70e+007	-4.98e+007
8.95474664114677	-3.90e+007	-6.03e+007
8.95450215728394	-3.94e+007	-6.67e+007
8.95425767342111	-3.84e+007	-6.93e+007
8.95401318955828	-3.66e+007	-6.91e+007
8.95376870569545	-3.45e+007	-6.74e+007
8.95352422183262	-3.36e+007	-6.46e+007
8.95327973796979	-3.42e+007	-5.94e+007
8.95303525410696	-3.55e+007	-5.17e+007
8.95279077024413	-3.62e+007	-4.36e+007
8.95254628638130	-3.57e+007	-3.76e+007
8.95230180251847	-3.41e+007	-3.48e+007
8.95205731865564	-3.15e+007	-3.41e+007
8.95181283479281	-2.86e+007	-3.50e+007
8.95156835092998	-2.78e+007	-3.78e+007
8.95132386706714	-3.05e+007	-4.29e+007
8.95107938320432	-3.58e+007	-4.94e+007
8.95083489934148	-4.06e+007	-5.63e+007
8.95059041547865	-4.26e+007	-6.20e+007
8.95034593161582	-4.21e+007	-6.54e+007
8.95010144775299	-4.17e+007	-6.60e+007
8.94985696389016	-4.32e+007	-6.51e+007
8.94961248002733	-4.58e+007	-6.39e+007
8.94936799616450	-4.74e+007	-6.24e+007
8.94912351230167	-4.69e+007	-5.99e+007
8.94887902843884	-4.58e+007	-5.75e+007
8.94863454457601	-4.53e+007	-5.71e+007
8.94839006071318	-4.49e+007	-5.85e+007
8.94814557685035	-4.24e+007	-5.86e+007
8.94790109298752	-3.71e+007	-5.41e+007
8.94765660912469	-3.09e+007	-4.58e+007
8.94741212526186	-2.61e+007	-3.65e+007
8.94716764139903	-2.35e+007	-2.86e+007
8.94692315753620	-2.26e+007	-2.31e+007
8.94667867367337	-2.40e+007	-2.08e+007
8.94643418981054	-2.79e+007	-2.22e+007
8.94618970594771	-3.30e+007	-2.61e+007
8.94594522208488	-3.72e+007	-2.91e+007
8.94570073822205	-3.97e+007	-2.84e+007
8.94545625435922	-4.08e+007	-2.38e+007
8.94521177049639	-4.03e+007	-1.70e+007
8.94496728663356	-3.68e+007	-9381888.00
8.94472280277073	-2.96e+007	-1843200.00
8.94447831890790	-2.03e+007	4613120.00
8.94423383504507	-1.13e+007	8586240.00
