movie_indices,frame_indices,x_coords,y_coords,contrasts,calibrated_values
0.000000000000000000e+00,9.000000000000000000e+00,1.001295475158049157e+02,4.074810434025463479e+01,-1.583433348668085439e-02,4.609750125738376028e+02
0.000000000000000000e+00,1.100000000000000000e+01,2.509338394931386773e+01,4.540617996663497991e+01,-1.288751818149592825e-02,3.749399032426568965e+02
0.000000000000000000e+00,1.100000000000000000e+01,1.397474506169149606e+02,7.360037851919805973e+00,-1.275137639836619423e-03,3.590527567741244042e+01
0.000000000000000000e+00,1.600000000000000000e+01,1.910258830910870742e+01,4.401264379904533541e+01,-1.547505654360995138e-02,4.504855763940774409e+02
0.000000000000000000e+00,1.600000000000000000e+01,1.295875830004847842e+02,4.957744489748879602e+01,-1.452311783886794938e-02,4.226928096078601129e+02
0.000000000000000000e+00,1.800000000000000000e+01,7.308855158239181549e+01,1.392724968164266564e+01,1.522261210085666108e-03,-4.312028618291617477e+01
0.000000000000000000e+00,2.200000000000000000e+01,3.379713560862405330e+01,1.585278678115070861e+01,-1.674696373953588405e-03,4.757077752053671560e+01
0.000000000000000000e+00,2.500000000000000000e+01,7.950343164353917302e+01,3.266288930484759589e+01,-1.759300330885823355e-02,5.123210708633589547e+02
0.000000000000000000e+00,2.800000000000000000e+01,2.607514021539819993e+01,5.114250351133421901e+01,-1.173433222299372037e-03,3.293591731047128235e+01
0.000000000000000000e+00,2.800000000000000000e+01,2.944547875150479754e+01,2.789200256579293580e+01,1.433413085107128945e-03,-4.052627965222213646e+01
0.000000000000000000e+00,2.900000000000000000e+01,1.348741390981683423e+02,2.663364209591958698e+01,-1.402666060766306596e-03,3.962859068063417567e+01
0.000000000000000000e+00,3.100000000000000000e+01,3.020715981867442679e+01,1.009869577797615214e+01,-1.400492599744838050e-02,4.075637000051594327e+02
0.000000000000000000e+00,3.200000000000000000e+01,5.469617864039212662e+01,1.419772342506712981e+01,1.489393093636663407e-03,-4.216066988554443640e+01
0.000000000000000000e+00,3.300000000000000000e+01,1.124143305693958581e+02,3.463191588603422133e+01,1.336427703155431508e-03,-3.769469807157164354e+01
0.000000000000000000e+00,3.400000000000000000e+01,1.410068399475295564e+02,2.272451768039744735e+01,1.342734689395838968e-03,-3.787883660573391609e+01
0.000000000000000000e+00,3.400000000000000000e+01,1.304248055365789583e+02,5.063978681493403400e+01,-1.260206958876426437e-03,3.546936007505385646e+01
0.000000000000000000e+00,3.600000000000000000e+01,3.247103740132743610e+01,2.139651563261753608e+01,-1.332676629480563464e-03,3.758518186498795899e+01
0.000000000000000000e+00,3.800000000000000000e+01,5.782110928707886899e+00,2.377281292265848478e+01,-1.518434509923430147e-02,4.419979759473589525e+02
0.000000000000000000e+00,4.000000000000000000e+01,6.578272164923154719e+01,4.126953754082848036e+01,-1.458767716202910049e-02,4.245776811899859808e+02
0.000000000000000000e+00,4.100000000000000000e+01,4.397149736559534006e+01,2.683491649295468662e+01,1.324214204815578116e-03,-3.733811323127417836e+01
0.000000000000000000e+00,4.400000000000000000e+01,2.419542342697677384e+01,1.986152818515904173e+01,-1.255233130112544133e-03,3.532414435666721175e+01
0.000000000000000000e+00,4.600000000000000000e+01,1.750177478657680297e+01,3.314734093947487281e+01,-1.495932361056429537e-02,4.354282569882082043e+02
0.000000000000000000e+00,4.600000000000000000e+01,1.374374491537996050e+02,2.808386532674144220e+01,-1.555941234055130016e-03,4.410360690186017507e+01
0.000000000000000000e+00,4.800000000000000000e+01,1.068887656280339513e+02,2.898390674501803943e+01,-1.341882319015537915e-03,3.785395083202056554e+01
0.000000000000000000e+00,4.900000000000000000e+01,6.425491547721328800e+01,4.566559230738742770e+01,-1.304528809605083432e-02,3.795461477616191814e+02
0.000000000000000000e+00,5.000000000000000000e+01,6.529231345105583273e+01,1.668511724218259218e+01,-1.438440521142461508e-02,4.186429609299655112e+02
0.000000000000000000e+00,5.300000000000000000e+01,1.247877718031637961e+01,5.624969251404444925e+00,-1.259293738446240138e-02,3.663393333205947897e+02
0.000000000000000000e+00,5.500000000000000000e+01,1.392632717297578360e+01,1.480937430641809982e+01,1.473455702935503025e-03,-4.169536242327644970e+01
0.000000000000000000e+00,5.600000000000000000e+01,6.795709868347618965e+01,5.266346624673647625e+01,-1.681653146995329071e-02,4.896512281232224382e+02
0.000000000000000000e+00,5.700000000000000000e+01,9.556955904271731583e+01,2.546717972558954912e+01,-1.486974530759207352e-02,4.328129322081460373e+02
0.000000000000000000e+00,6.000000000000000000e+01,5.945732928371623416e+01,4.614914052802450328e+01,-1.694328550931815513e-03,4.814395782462939621e+01
0.000000000000000000e+00,6.000000000000000000e+01,1.317095009125609124e+02,3.340466984595725819e+01,1.279591321445478587e-03,-3.603530519893361372e+01
0.000000000000000000e+00,6.100000000000000000e+01,1.870332564926337326e+01,3.000253483516912922e+01,-1.577086390337046826e-02,4.591219569955983957e+02
0.000000000000000000e+00,6.300000000000000000e+01,1.157001034707274414e+02,1.848225537055730427e+01,-2.018294537040469031e-02,5.879369223334223307e+02
0.000000000000000000e+00,6.500000000000000000e+01,3.952469094553635642e+01,4.989077582574668668e+01,1.412623359403383577e-03,-3.991930359887401636e+01
0.000000000000000000e+00,6.700000000000000000e+01,1.126556907294109351e+02,4.721361822418771226e+01,-1.713491365244412335e-03,4.870343463390771177e+01
0.000000000000000000e+00,7.400000000000000000e+01,8.444202573433966563e+01,4.205571146994537202e+01,-1.358303864659422648e-02,3.952462927036857536e+02
0.000000000000000000e+00,7.700000000000000000e+01,3.173942287259265527e+01,1.574148630651825975e+01,1.444005865714988786e-03,-4.083554607829061212e+01
0.000000000000000000e+00,7.800000000000000000e+01,9.355400872061044026e+01,4.145044209871667107e+01,1.426863937641863677e-03,-4.033507098800463098e+01
0.000000000000000000e+00,7.900000000000000000e+01,7.051708706544519600e+01,3.179923035704302237e+01,1.411898854940988853e-03,-3.989815099371298146e+01
0.000000000000000000e+00,8.000000000000000000e+01,7.125172696715206655e+01,1.544069805890230818e+01,-1.351322298591086822e-03,3.812956012230674929e+01
0.000000000000000000e+00,8.200000000000000000e+01,2.568497821727886787e+01,3.182155573535402837e+01,-1.467267565830929210e-02,4.270592941053204754e+02
0.000000000000000000e+00,8.200000000000000000e+01,8.446515230635857563e+01,1.054326528961172116e+01,1.481635790245176181e-03,-4.193418794613430833e+01
0.000000000000000000e+00,8.500000000000000000e+01,2.688689844655039707e+01,1.602773941003781744e+01,1.462761240303439830e-03,-4.138312729263596879e+01
0.000000000000000000e+00,8.600000000000000000e+01,6.292511463711255004e+01,5.123107453035929382e+01,1.349937621835234185e-03,-3.808913315158058310e+01
0.000000000000000000e+00,9.000000000000000000e+01,5.693244513863533918e+00,4.788253844047937946e+01,-1.314927513258851675e-02,3.825821493874433941e+02
0.000000000000000000e+00,9.600000000000000000e+01,5.150457959971656408e+01,3.167327068680004842e+01,-1.599075490083954471e-02,4.655418863257153816e+02
0.000000000000000000e+00,9.800000000000000000e+01,1.154314995184358565e+02,1.711300511280182590e+01,-1.451437947838328177e-02,4.224376847622850164e+02
0.000000000000000000e+00,1.010000000000000000e+02,8.445888805326482895e+01,2.199164053817271025e+01,-1.252998482506089556e-02,3.645013727530435972e+02
0.000000000000000000e+00,1.070000000000000000e+02,1.357807183284452890e+02,2.194864533796053152e+01,-1.784932627868343960e-02,5.198046666944932213e+02
0.000000000000000000e+00,1.110000000000000000e+02,7.094187467086884169e+01,3.195460896497127479e+01,1.352784760239597074e-03,-3.817225809784693524e+01
0.000000000000000000e+00,1.120000000000000000e+02,1.363236057297607431e+02,3.964625258296096177e+01,1.359478815295066170e-03,-3.836769747864317281e+01
0.000000000000000000e+00,1.130000000000000000e+02,6.801889429697833833e+00,1.005728617399646652e+01,-1.618248422260131023e-03,4.592272523611875812e+01
0.000000000000000000e+00,1.150000000000000000e+02,2.351889043242005073e+01,3.353189535566627200e+01,-1.460941877461248255e-02,4.252124484970364620e+02
0.000000000000000000e+00,1.220000000000000000e+02,1.198040068837802892e+02,1.673806455755488543e+01,-1.511800758795154263e-02,4.400611884514041208e+02
0.000000000000000000e+00,1.220000000000000000e+02,1.178299713939159403e+02,3.525201572970176045e+01,-1.676062481909219859e-02,4.880189796376417348e+02
0.000000000000000000e+00,1.220000000000000000e+02,6.525830661917574105e+01,2.086034768567861164e+01,-1.332915687304789092e-03,3.759216138827451914e+01
0.000000000000000000e+00,1.230000000000000000e+02,9.216954840944021043e+01,3.577599788358634214e+01,1.512609388719013837e-03,-4.283849196762759703e+01
0.000000000000000000e+00,1.240000000000000000e+02,1.200449989627961003e+02,5.292096409756561570e+01,1.593705313071738837e-03,-4.520616553906712909e+01
0.000000000000000000e+00,1.250000000000000000e+02,1.923132779975795970e+01,9.818068429836145583e+00,1.687409732694825776e-03,-4.794195626639986330e+01
0.000000000000000000e+00,1.260000000000000000e+02,1.070601072134476368e+02,5.346628546551725591e+00,-1.265338749290258712e-03,3.561918763585887859e+01
