0nM	0nM	0nM	0nM	0nM	0nM	0nM	0nM	0nM	0nM	10nM_HIC	10nM_HIC	10nM_HIC	10nM_HIC	10nM_HIC	10nM_HIC	10nM_HIC	10nM_HIC	10nM_HIC	10nM_HIC	100nM_HIC	100nM_HIC	100nM_HIC	100nM_HIC	100nM_HIC	100nM_HIC	100nM_HIC	100nM_HIC	100nM_HIC	100nM_HIC	1000nM_HIC	1000nM_HIC	1000nM_HIC	1000nM_HIC	1000nM_HIC	1000nM_HIC	1000nM	1000nM	1000nM	1000nM	10nM	10nM	10nM	10nM	10nM	10nM	10nM	10nM	10nM	10nM	100nM	100nM	100nM	100nM	100nM	100nM	100nM	100nM
240914_noSeedspH7p4_platereader2_file1to4: A01 X	240914_noSeedspH7p4_platereader2_file1to4: A01 Y	240914_noSeedspH7p4_platereader2_file1to4: A02 X	240914_noSeedspH7p4_platereader2_file1to4: A02 Y	240914_noSeedspH7p4_platereader2_file1to4: A03 X	240914_noSeedspH7p4_platereader2_file1to4: A03 Y	240914_noSeedspH7p4_platereader2_file1to4: A04 X	240914_noSeedspH7p4_platereader2_file1to4: A04 Y	240914_noSeedspH7p4_platereader2_file1to4: A05 X	240914_noSeedspH7p4_platereader2_file1to4: A05 Y	240914_noSeedspH7p4_platereader2_file1to4: B09 X	240914_noSeedspH7p4_platereader2_file1to4: B09 Y	240914_noSeedspH7p4_platereader2_file1to4: B10 X	240914_noSeedspH7p4_platereader2_file1to4: B10 Y	240914_noSeedspH7p4_platereader2_file1to4: B11 X	240914_noSeedspH7p4_platereader2_file1to4: B11 Y	240914_noSeedspH7p4_platereader2_file1to4: B12 X	240914_noSeedspH7p4_platereader2_file1to4: B12 Y	240914_noSeedspH7p4_platereader2_file1to4: C01 X	240914_noSeedspH7p4_platereader2_file1to4: C01 Y	240914_noSeedspH7p4_platereader2_longTimes: C02 X	240914_noSeedspH7p4_platereader2_longTimes: C02 Y	240914_noSeedspH7p4_platereader2_file1to4: C03 X	240914_noSeedspH7p4_platereader2_file1to4: C03 Y	240914_noSeedspH7p4_platereader2_longTimes: C04 X	240914_noSeedspH7p4_platereader2_longTimes: C04 Y	240914_noSeedspH7p4_platereader2_file1to4: C05 X	240914_noSeedspH7p4_platereader2_file1to4: C05 Y	240914_noSeedspH7p4_platereader2_file1to4: C06 X	240914_noSeedspH7p4_platereader2_file1to4: C06 Y	240914_noSeedspH7p4_platereader2_longTimes: C09 X	240914_noSeedspH7p4_platereader2_longTimes: C09 Y	240914_noSeedspH7p4_platereader2_longTimes: C10 X	240914_noSeedspH7p4_platereader2_longTimes: C10 Y	240914_noSeedspH7p4_platereader2_longTimes: C11 X	240914_noSeedspH7p4_platereader2_longTimes: C11 Y	240914_noSeedspH7p4_platereader2_longTimes: B04 X	240914_noSeedspH7p4_platereader2_longTimes: B04 Y	240914_noSeedspH7p4_platereader2_longTimes: B05 X	240914_noSeedspH7p4_platereader2_longTimes: B05 Y	240914_noSeedspH7p4_platereader2_file1to4: A06 X	240914_noSeedspH7p4_platereader2_file1to4: A06 Y	240914_noSeedspH7p4_platereader2_longTimes: A07 X	240914_noSeedspH7p4_platereader2_longTimes: A07 Y	240914_noSeedspH7p4_platereader2_file1to4: A08 X	240914_noSeedspH7p4_platereader2_file1to4: A08 Y	240914_noSeedspH7p4_platereader2_file1to4: A09 X	240914_noSeedspH7p4_platereader2_file1to4: A09 Y	240914_noSeedspH7p4_platereader2_file1to4: A10 X	240914_noSeedspH7p4_platereader2_file1to4: A10 Y	240914_noSeedspH7p4_platereader2_longTimes: A11 X	240914_noSeedspH7p4_platereader2_longTimes: A11 Y	240914_noSeedspH7p4_platereader2_longTimes: B01 X	240914_noSeedspH7p4_platereader2_longTimes: B01 Y	240914_noSeedspH7p4_platereader2_longTimes: B02 X	240914_noSeedspH7p4_platereader2_longTimes: B02 Y	240914_noSeedspH7p4_platereader2_file1to4: B03 X	240914_noSeedspH7p4_platereader2_file1to4: B03 Y
11040.0	0.0006263701847791939	40320.0	0.0007232899359371905	40320.0	0.00013714317061296142	40320.0	-0.0002712024290304728	40320.0	0.0010882099137832287	252347.0	-0.0007738849022090856	157280.0	0.0003444134374227358	303547.0	0.001156991269555914	248667.0	-0.00015036140437552664	248667.0	-0.0005184748476980174	428507.0	0.00012310798416831324	378587.0	-0.0006343960696950406	428507.0	-0.00016552180749813787	336507.0	-0.0005613414359283957	78720.0	0.0008509695115435004	1215547.0	-3.747142803611678e-05	918267.0	-0.00012190591185621539	1228667.0	-3.183435946085329e-05	585947.0	-0.00040493586338422673	585947.0	0.0014586695514923489	239547.0	-0.0003062735969884953	699707.0	0.0006448860535949917	239547.0	0.0005692251193536583	378587.0	-0.000679732121676616	321787.0	-0.0007673951664616966	647227.0	-0.00029548250840431524	585947.0	0.0010547056096430298	585947.0	0.00046034356581338453	252347.0	-0.00037390049884558223
11200.0	-0.00048587593772593567	40480.0	0.0008709001269447777	40480.0	0.0007200016457180473	40480.0	-0.00038911652860892986	40480.0	0.0002863710299429549	252507.0	-2.6382439848033144e-05	157440.0	-0.00022960895828181047	303707.0	-0.00031805736095362317	248827.0	0.0010310496300035346	248827.0	-1.6724995087036497e-05	428667.0	0.00028725196305939756	378747.0	-0.00022867765302960337	428667.0	-0.00045518497061987915	336667.0	-0.0006038673022866082	78880.0	0.0018800489208519195	1215707.0	0.0005245999925057201	918427.0	-5.805043421719514e-06	1228827.0	0.0006685215486779191	586107.0	-0.0009274337516219284	586107.0	0.0013256601698973004	239707.0	0.000640390248248672	699867.0	0.0	239707.0	-0.0007161219243481412	378747.0	0.0009625736756628488	321947.0	-0.0002417820387482189	647387.0	-0.0005861210412610014	586107.0	-6.567763869571234e-05	586107.0	0.0010111820206328275	252507.0	-0.00021810862432658962
11360.0	0.00018732566273769538	40640.0	0.00013284917190684186	40640.0	-0.00017142896326620175	40640.0	0.0016154231642248407	40640.0	-0.00021000542195816693	252667.0	-0.0012575629660897666	157600.0	0.001978169486735675	303867.0	0.0005116574937079916	248987.0	-0.0013854729403172724	248987.0	0.001781211976768978	428827.0	0.00028725196305939756	378907.0	0.0003983417181806178	428827.0	-8.276090374906894e-05	336827.0	0.0005868569557433386	79040.0	-0.0009301294661056865	1215867.0	0.00014988571214449552	918587.0	0.00048762364742488797	1228987.0	-0.00041384667299109275	586267.0	-0.00031785288201127644	586267.0	0.0005276038803270095	239867.0	0.0006960763567920347	700027.0	0.0006448860535949917	239867.0	6.426735218509414e-05	378907.0	0.000460758015364679	322107.0	-0.0009250791047757399	647547.0	-0.00015016324197597214	586267.0	0.000320661412455578	586267.0	6.68875266566395e-05	252667.0	-0.0008101177474987615
11520.0	0.0010361450720179257	40800.0	-0.00016237121010833245	40800.0	0.001371431706129614	40800.0	0.0003183680688618127	40800.0	0.0008209302858364707	252827.0	1.758829323202876e-05	157760.0	-0.0005828535094846082	304027.0	-0.00027196209125020015	249147.0	0.00033294310968863474	249147.0	-0.0012292871388969067	428987.0	-0.00016414397889108432	379067.0	-0.0004499786075743873	428987.0	-0.0015724571712323098	336987.0	0.0003742276239522767	79200.0	-0.0009697094433867796	1216027.0	-0.00016237618815652497	918747.0	-0.00023800678029071127	1229147.0	0.0007321902675996257	586427.0	-0.0008403507702489781	586427.0	-0.0016892191462571319	240027.0	0.0009745068995088486	700187.0	0.00039685295605845647	240027.0	-0.00044069041498346993	379067.0	-0.0007253517271582678	322267.0	-0.0003469046642909144	647707.0	-0.0005376812857848871	586427.0	0.0009774377994127717	586427.0	-0.0012708630064762936	252827.0	-0.0008101177474987615
11680.0	-1.7561780881670588e-05	40960.0	0.0007970950314409841	40960.0	-0.00013714317061296142	40960.0	8.253986970489852e-05	40960.0	-5.727420598859098e-05	252987.0	0.001336710285633886	157920.0	0.0007418135575258831	304187.0	-0.0005485337094707384	249307.0	-0.001439173441879957	249307.0	0.0004850248575239443	429147.0	0.00014362598152969878	379227.0	-0.0005237455924226486	429147.0	0.0001241413556236034	337147.0	-0.0001786086387044843	79360.0	-1.978998864054652e-05	1216187.0	0.0005870523725659242	918907.0	5.224539079552842e-05	1229307.0	-0.0006685215486779191	586587.0	0.001989846124371906	586587.0	-0.0001374430276482329	240187.0	-0.000640390248248672	700347.0	-0.0014881985852192117	240187.0	0.000798751377157551	379227.0	-0.00013229685589679436	322427.0	-0.0001892207259768711	647867.0	-0.0005376812857848871	586587.0	-6.567763869571234e-05	586587.0	0.0001455787344879885	252987.0	0.0006231674980759703
11840.0	-0.00025171885930380314	41120.0	-0.00023617630561212602	41120.0	-0.0006514300604115666	41120.0	-0.000624944727765844	41120.0	-0.0007063818738592887	253147.0	0.00014950049247221449	158080.0	-0.0005828535094846082	304347.0	0.000972610190742222	249467.0	-0.00015036140437552664	249467.0	-0.0002675999213925269	429307.0	-0.0005129499340346385	379387.0	0.0010622445818149696	429307.0	0.00033104361499627574	337307.0	0.0004592793566687015	79520.0	-0.0002968498296081978	1216347.0	-0.00016237618815652497	919067.0	-0.0007604606882459428	1229467.0	0.00015917179730426644	586747.0	-0.0005791018261301272	586747.0	-0.00040346179083832986	240347.0	0.00036195970553185806	700507.0	0.0002480330975365353	240347.0	0.00038560411311054405	379387.0	9.580117151146463e-05	322587.0	0.00144017996993491	648027.0	-0.0006345607967371158	586747.0	-0.00029748106938648657	586747.0	0.000184924338403663	253147.0	-6.231674980759704e-05
12000.0	-0.00048587593772593567	41280.0	0.00020665426741063545	41280.0	-0.001062859572250451	41280.0	-9.433127966278713e-05	41280.0	-0.0005154678538973188	253307.0	0.00028141269171240023	158240.0	-0.00031792009608250986	304507.0	-0.0005024384397673154	249627.0	0.0016217551471930651	249627.0	-0.00018397494595736344	429467.0	-0.000266733965698012	379547.0	0.00010327377878757256	429467.0	0.00020690225937267234	337467.0	-0.0006889190350030329	79680.0	-0.0008509695115435004	1216507.0	-0.0016612333096014233	919227.0	-0.0006733850369200708	1229627.0	0.0016872210514252244	586907.0	-0.001101599714367829	586907.0	-0.00040346179083832986	240507.0	0.0005847041397053092	700667.0	0.0005952794340876847	240507.0	0.0006151303709144368	379547.0	-0.0007253517271582678	322747.0	0.0006517602783646933	648187.0	0.0011092704004030012	586907.0	-0.0004133827847318737	586907.0	-0.00016918609683740752	253307.0	0.0006854842478835674
12160.0	-0.0007200330161480681	41440.0	-0.0011587399994095458	41440.0	0.0002057147559194421	41440.0	-0.0012145152256581295	41440.0	-0.0005536506578897128	253467.0	0.00028141269171240023	158400.0	-0.0006711646472853075	304667.0	-0.0003641526306570462	249787.0	-0.0006873664200023726	249787.0	-0.0001421624582397817	429627.0	0.0003898419498663253	379707.0	-0.0005606290848467793	429627.0	0.00033104361499627574	337627.0	0.0007994862875344006	79840.0	0.000494749716013663	1216667.0	0.0006495047526261283	919387.0	-0.0005282589513769509	1229787.0	-9.550307838255987e-05	587067.0	0.002294636559177232	587067.0	0.0010153049461755206	240667.0	-0.0018097985276592902	700827.0	-0.00019842647802922824	240667.0	-0.000532500918105027	379707.0	0.0005976168318096344	322907.0	0.0015453025954776055	648347.0	4.3595779928485305e-05	587067.0	-0.0001429454489259704	587067.0	-0.0006413333438255016	253467.0	0.00043621724865317924
12320.0	-7.610105048720373e-05	41600.0	-0.0004575915921235068	41600.0	-0.0008571448163310088	41600.0	-0.00021224537924124421	41600.0	0.0003245538339353489	253627.0	0.00010552975939215258	158560.0	-0.000759475785086007	304827.0	-0.0009172958670981227	249947.0	-0.0011169704325038495	249947.0	0.00019233744350087217	429787.0	-0.00012310798416831324	379867.0	0.0006196426727254018	429787.0	0.0002482827112472068	337787.0	-0.0005613414359283957	80000.0	-0.0007322295797002212	1216827.0	-0.00022482856821672906	919547.0	0.0005456740816421359	1229947.0	-0.0002865092351476796	587227.0	-0.00031785288201127644	587227.0	-0.0015562097646620835	240827.0	-2.7843054271681388e-05	700987.0	4.960661950730706e-05	240827.0	-0.0008079324274696983	379867.0	-0.00013229685589679436	323067.0	-0.0009776404175470877	648507.0	0.0005764330901657433	587227.0	-0.00018157935404109946	587227.0	-0.0005626421359941526	253627.0	0.00021810862432658962
